ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,SUR,NAF,EFC
C3B05,5,,,2,,,2,,,5,,,7,,,5,,,3,,,3,,,6,,,6,,,2,,,,7,,4.18181818181818,7,
C3C01,5,5,6,6,5,7,6,5,,6,5,6,6,2,3,6,3,5,6,6,6,6,2,7,7,5,2,6,3,6,6,6,6,,6,5,6,4.41666666666667,5.36363636363636
C3C02,5,6,5,6,3,2,5,2,6,7,2,5,6,6,5,6,5,6,6,2,6,6,5,3,7,6,2,6,5,6,5,6,6,,5,6,5.90909090909091,4.41666666666667,4.83333333333333
C3C04,2,5,6,2,6,4,5,5,2,7,1,6,3,2,6,1,2,6,6,1,5,7,2,6,2,7,5,3,6,2,4,1,3,,3,6,3.81818181818182,3.41666666666667,4.75
C3C05,,5,7,5,5,7,7,6,6,6,5,5,4,5,6,6,6,6,3,5,5,3,2,6,6,6,2,2,5,5,2,3,6,,6,6,4.4,4.91666666666667,5.58333333333333
C3C06,5,6,5,7,4,2,6,5,5,5,5,4,6,6,5,5,6,6,6,5,5,3,5,2,6,3,2,6,2,5,3,5,6,,7,3,5.27272727272727,4.91666666666667,4.16666666666667
C3C11,1,5,7,6,6,5,3,6,7,6,2,7,2,6,7,7,7,6,3,6,1,7,1,7,2,5,1,1,7,6,5,3,6,,2,7,3.90909090909091,4.66666666666667,5.58333333333333
C3C10,3,4,5,5,3,2,4,,7,7,2,1,7,2,4,7,3,6,6,4,5,7,2,6,7,2,6,6,4,5,6,6,6,,,5,5.90909090909091,3.2,4.83333333333333
C3D01,2,4,7,4,4,6,6,4,6,4,1,6,5,2,6,4,4,4,6,5,4,5,3,7,6,2,4,4,4,3,4,4,7,,3,6,4.54545454545455,3.33333333333333,5.5
C3D02,5,6,6,3,3,6,5,6,5,6,5,6,6,6,3,6,6,5,3,5,6,6,5,7,6,5,7,4,6,5,5,6,6,,5,2,5,5.33333333333333,5.33333333333333
C3D03,1,1,1,1,3,5,2,1,5,1,1,1,6,1,1,1,1,1,7,7,1,7,,,,,,,,,,,,,1,1,3.25,2,2
C3D04,4,3,7,2,6,6,2,5,5,5,4,5,2,5,6,3,,4,4,6,,4,6,4,5,4,6,5,6,6,3,3,2,,2,5,3.54545454545455,4.54545454545455,5.09090909090909
C3D05,4,6,7,7,2,5,4,5,1,3,4,4,4,6,6,6,4,2,5,3,2,2,7,4,5,6,3,4,1,3,5,4,5,,3,3,4.45454545454545,4.25,3.75
C3D06,7,6,7,7,5,4,6,6,4,6,4,7,6,2,6,6,1,2,4,5,7,7,4,6,6,7,2,5,5,3,7,6,4,,6,7,6.09090909090909,4.75,4.91666666666667
C3D07,2,4,7,4,3,6,6,6,4,6,6,6,3,5,6,4,7,6,5,3,6,7,6,7,6,7,3,4,3,6,4,5,5,,6,6,4.63636363636364,5.08333333333333,5.66666666666667
C3D08,5,6,7,2,3,5,5,6,3,6,3,2,6,3,6,7,6,5,7,5,6,7,3,4,7,3,6,4,2,5,6,5,4,,5,3,5.63636363636364,4.16666666666667,4.66666666666667
C3D10,6,7,7,5,7,6,2,6,5,3,5,7,7,6,5,7,6,3,2,6,5,5,5,7,6,6,3,5,7,6,2,5,7,,3,6,4.54545454545455,5.75,5.58333333333333
C3D09,5,5,6,7,2,6,5,6,2,3,3,4,4,4,7,7,6,6,3,3,4,3,4,4,7,1,4,4,4,5,3,5,5,,4,5,4.63636363636364,3.91666666666667,4.83333333333333
C3D11,4,5,7,2,1,3,3,5,6,3,1,2,5,1,5,1,2,7,5,2,4,3,1,6,5,6,4,2,6,7,3,5,5,,7,4,3.27272727272727,3.5,5
C3D13,3,2,6,1,2,4,5,3,5,7,4,4,2,2,6,1,4,5,6,2,4,5,3,6,3,4,4,1,4,2,4,2,5,,5,6,3.45454545454545,3.08333333333333,4.75
C3D12,1,5,6,3,4,,3,2,7,5,1,7,4,5,6,6,2,6,3,2,6,4,3,6,6,5,4,1,5,5,4,1,6,,2,6,3.63636363636364,3.08333333333333,5.90909090909091
