ID,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,CHAOSC
AA303,1,,4,,4,1,4,1,,,,1,2,2,1,2.1
AA306,1,1,2,1,3,2,2,2,2,2,1,1,3,2,1,1.7333333333333334
AA404,1,2,2,1,4,1,2,1,,3,2,2,1,1,1,1.7142857142857142
BA315,1,2,2,1,2,1,3,1,1,1,,4,4,4,1,2.0
AB304,3,1,2,1,2,1,2,1,1,2,1,1,3,1,1,1.5333333333333334
BB217,2,2,4,4,4,3,2,1,2,2,1,3,2,3,3,2.533333333333333
BB214,1,1,1,1,4,2,3,1,1,1,1,3,2,1,4,1.8
BB222,1,2,2,,,2,,1,2,,,,,,,1.6666666666666667
AB313,2,2,3,2,2,2,3,2,2,2,2,3,2,3,2,2.2666666666666666
BA308,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1.3333333333333333
BC110,2,2,2,2,3,2,3,2,2,3,2,3,2,2,1,2.2
BC109,2,2,2,2,3,2,3,2,2,3,2,3,2,2,1,2.2
AA305,1,2,2,3,2,1,3,1,2,2,2,3,4,2,2,2.1333333333333333
AA301,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1.2
AA302,2,3,3,2,3,3,2,3,2,2,2,3,3,3,1,2.466666666666667
AB408,1,1,2,1,3,1,2,1,1,2,1,1,3,1,1,1.4666666666666666
AB404,1,2,3,2,1,1,2,2,,4,2,1,3,1,1,1.8571428571428572
BB202,2,1,2,2,2,2,1,1,2,1,1,2,3,1,1,1.6
AA308,1,2,3,2,3,2,3,2,2,2,1,2,3,2,1,2.066666666666667
AB301,2,2,3,2,3,2,3,2,2,2,2,3,3,3,2,2.4
BA304,2,2,3,1,2,3,1,2,2,1,1,1,2,1,1,1.6666666666666667
AB401,2,2,3,1,3,3,3,2,1,2,1,2,1,2,3,2.066666666666667
AB403,1,2,3,2,2,2,3,2,1,2,2,2,3,3,1,2.066666666666667
BA312,2,1,2,2,2,2,3,1,4,,1,1,2,1,2,1.8571428571428572
AA410,3,2,1,,3,2,1,1,1,1,1,3,2,3,1,1.7857142857142858
BA301,2,3,2,2,4,2,2,3,2,2,1,3,2,3,1,2.2666666666666666
AA405,1,3,3,2,3,2,3,3,2,2,2,3,3,3,2,2.466666666666667
BA306,2,2,2,2,2,2,2,1,1,1,1,1,4,1,1,1.6666666666666667
AB311 ,2,2,1,2,2,2,4,2,1,3,2,2,2,2,2,2.066666666666667
AB402,2,2,2,2,4,1,3,1,2,2,1,3,3,2,1,2.066666666666667
BA311,3,2,3,2,2,2,3,2,1,1,1,3,2,2,2,2.066666666666667
AA403,2,2,3,2,4,3,3,2,2,3,2,3,3,2,1,2.466666666666667
