"ID","tb_score","tb_errors","tb_meanrt_correct","tb_meanrt_incorrect","ne_score","ne_errors","ne_meanrt_correct","ne_meanrt_incorrect","mt_score","mt_errors","mt_meanrt_correct","mt_meanrt_incorrect","bcd_score","bcd_lgst_streak","bcd_meanrt_correct","bcd_meanrt_incorrect","bci_score","bci_lgst_streak","bci_meanrt_correct","bci_meanrt_incorrect","sm_score","sm_lgst_streak","sm_meanrt_correct","sm_meanrt_incorrect","cs_score","cs_meanrt_correct","cs_meanrt_incorrect","jm_tot_test_trials","jm_score","jm_errors","jm_complete","jm_meanrt_correct","jm_meanrt_incorrect","jm_tot_ax_trial","jm_ax_score","jm_ax_errors","jm_tot_else_trial","jm_else_score","jm_else_errors","jm_ax_meanrt_correct","jm_ax_meanrt_incorrect","jm_else_meanrt_correct","jm_else_meanrt_incorrect","jm_drt_ax"
"AA101",23,1,956.882352941176,1081,15,3,2506.93333333333,1901.5,24,0,1455.75,NA,5,4,2160.4,1532.33333333333,2,1,5780,6263,6,6,2917.33333333333,854.666666666667,10,4159.1,6927.8,60,39,21,TRUE,748.487179487179,705.842105263158,42,30,12,18,9,9,714.2,824.6,862.777777777778,573.888888888889,-148.577777777778
"AA102",24,0,1145.88235294118,NA,16,2,4800.5,4929,14,10,4712.21428571429,3851.6,2,1,5711.5,2405,1,1,2690,4869.66666666667,10,8,8552,9063,13,9239.38461538462,9810,60,54,6,TRUE,1094.42592592593,1271.66666666667,42,38,4,18,16,2,1032.76315789474,978,1240.875,1418.5,-208.111842105263
"AA103",20,4,980.714285714286,99,13,5,6911.46153846154,4070,15,9,4642.4,4117.5,2,2,9935.5,3885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA104",23,1,960.375,NA,15,3,7188.26666666667,3634.66666666667,20,4,4124.4,4936.75,2,1,5535.5,2418,3,3,6058.33333333333,2199.66666666667,3,1,1508.66666666667,5340.6,13,6430.30769230769,6452.5,60,44,16,TRUE,1060.68181818182,1156.44444444444,42,32,10,18,12,6,1127.90625,1110.4,881.416666666667,1214,246.489583333333
"AA105",22,2,991.764705882353,1443.5,12,6,5727.5,7145.83333333333,18,6,3110.94444444444,3581.66666666667,1,1,12618,6601,2,1,5621,2355,6,3,2748,2546.75,13,7667.23076923077,9700,60,50,10,TRUE,1887.22,1503.14285714286,42,40,2,18,10,8,1894.4,NA,1858.5,1503.14285714286,35.9000000000001
"AA108",23,1,906.875,NA,12,6,2167.16666666667,3104.5,19,5,2502.94736842105,2239,2,1,4709,2185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA203",24,0,1092.64705882353,NA,15,3,1963.13333333333,2799,16,8,2947.125,4067.375,3,2,8284.66666666667,4448,3,2,3217,2683.66666666667,5,2,3187.4,1890.25,10,4281.1,6616.6,60,50,10,TRUE,1293.66,1919.5,42,37,5,18,13,5,1178.24324324324,2208,1622.15384615385,1631,-443.910602910603
"AA204",23,1,1260.9375,NA,17,1,3993.58823529412,14515,12,12,3793.58333333333,4614.91666666667,2,2,10690.5,3858.33333333333,5,3,5789.6,7342,5,5,3733.2,4300,11,7628.18181818182,18311.25,60,54,6,TRUE,1377.94444444444,2684,42,38,4,18,16,2,1299.44736842105,NA,1564.375,2684,-264.927631578947
"AA301",23,1,981.875,NA,1,17,2057,3978.64705882353,16,8,2149.3125,2665.625,2,1,2679.5,974.666666666667,2,2,3962.5,881,3,2,1920.33333333333,2285.5,8,3387.125,6513.85714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA302",23,1,1059.875,NA,15,3,2974.46666666667,5871.66666666667,12,12,3226.83333333333,3531.33333333333,1,1,5470,1898.66666666667,0,0,NA,2419,7,5,3045.42857142857,4535.33333333333,9,5796.44444444444,4793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
