IDN,NEFNNR,NEFNR,NEFPR,NEFPPR,NEFNENR,NEFNCR,NEFPCR,NEFER,NEFECR,NITDR,NITFR,NITAR,NITMR,NITCDFR,NITCFAR,NITER,NITAIR,NITCFAIR,NITEIR,NPDRR,NPDDR,NAMBR,NAFR,NIPPR,NIPDR,NIDGR,NIDPR,NIDDR,NTRANS,NINTER
240503_01_BC103_LL.XLSX,0.0,0.0,0.6,0.2,0.3,0.0,0.7,0.9,0.7,0.0,0.3,0.7,0.0,0.3,1.0,0.7,0.7,1.0,0.7,0.0,0.0,0.2,0.0,0.4,0.7,0.1,0.0,0.0,0.0,0.0
240503_01_BC103_SC.XLSX,0.0,0.1,0.4,0.0,0.5,0.1,0.4,0.3,0.3,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.1,0.0,0.1,0.1,0.3,0.7,0.0,0.0,0.0,0.0,0.0
240503_02_BC110_LL.XLSX,0.0,0.3,0.1,0.0,0.6,0.3,0.1,-0.2,-0.2,0.6,0.3,0.1,0.0,0.9,0.4,-0.5,0.1,0.4,-0.5,0.1,0.0,0.1,0.5,0.4,0.2,0.0,0.0,0.1,0.0,0.0
240503_02_BC110_SZ.XLSX,0.0,0.2,0.0,0.0,0.8,0.2,0.0,-0.2,-0.2,0.3,0.7,0.0,0.0,1.0,0.7,-0.3,0.0,0.7,-0.3,0.0,0.0,0.2,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0
240503_03_BC104_SC.XLSX,0.2,0.1,0.2,0.0,0.6,0.3,0.2,-0.4,-0.2,0.2,0.2,0.1,0.5,0.4,0.3,-0.2,0.6,0.8,0.4,0.0,0.0,0.1,0.3,0.5,0.1,0.0,0.0,0.1,0.0,0.0
240503_03_BC104_SZ.XLSX,0.0,0.0,0.6,0.2,0.4,0.0,0.6,0.8,0.6,0.5,0.4,0.1,0.0,0.9,0.5,-0.4,0.1,0.5,-0.4,0.0,0.0,0.2,0.3,0.7,0.1,0.5,0.0,0.3,0.0,0.0
240506_01_AA301_LM.XLSX,0.0,0.1,0.6,0.0,0.3,0.1,0.6,0.5,0.5,0.0,0.2,0.8,0.0,0.2,1.0,0.8,0.8,1.0,0.8,0.3,0.1,0.1,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0
240506_01_AA301_PVM.XLSX,0.0,0.0,0.9,0.0,0.1,0.0,0.9,0.9,0.9,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.2,0.1,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
240506_01_AA302_LL.XLSX,0.0,0.2,0.4,0.2,0.5,0.2,0.5,0.2,0.1,0.1,0.8,0.2,0.1,0.9,0.9,0.0,0.2,0.9,0.1,0.3,0.0,0.1,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0
240506_02_AA304_PVM.XLSX,0.0,0.1,0.5,0.1,0.3,0.1,0.6,0.6,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.9,0.1,0.8,0.3,0.3,0.1,0.0,0.0,0.0,0.0
240506_02_AA306_LL.XLSX,0.0,0.2,0.4,0.1,0.3,0.2,0.5,0.4,0.3,0.1,0.7,0.2,0.0,0.8,0.9,0.1,0.2,0.9,0.1,0.0,0.0,0.0,0.9,0.4,0.3,0.0,0.0,0.0,0.0,0.0
240506_02_AA306_LM.XLSX,0.0,0.1,0.4,0.1,0.4,0.1,0.5,0.5,0.4,0.0,0.2,0.8,0.0,0.2,1.0,0.8,0.8,1.0,0.8,0.0,0.0,0.0,0.8,0.3,0.1,0.0,0.0,0.0,0.0,0.0
240506_03_AA303_LM.XLSX,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.5,0.1,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
240506_03_AA305_LL.XLSX,0.0,0.0,0.1,0.1,0.8,0.0,0.2,0.3,0.2,0.6,0.1,0.3,0.0,0.7,0.4,-0.3,0.3,0.4,-0.3,0.0,1.0,0.1,0.0,0.3,0.4,0.0,0.0,0.1,0.0,3.0
240506_03_AA305_PVM.XLSX,0.0,0.0,0.2,0.2,0.6,0.0,0.4,0.6,0.4,0.6,0.1,0.3,0.0,0.7,0.4,-0.3,0.3,0.4,-0.3,0.0,1.0,0.1,0.3,0.2,0.4,0.0,0.0,0.1,0.0,0.0
240507_01_AB404_AB.XLSX,0.0,0.0,0.9,0.1,0.1,0.0,0.9,1.0,0.9,0.2,0.6,0.3,0.1,0.8,0.8,0.0,0.3,0.8,0.1,0.5,0.0,0.4,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0
240507_01_AB404_KL.XLSX,0.0,1.0,0.2,0.1,0.0,1.0,0.3,-1.0,-1.0,0.8,0.2,0.0,0.0,1.0,0.2,-0.8,0.0,0.2,-0.8,0.5,0.0,0.1,0.6,0.0,0.2,0.0,0.0,0.0,0.0,4.0
240510_01_BC101_AB.XLSX,0.0,0.3,0.9,0.4,0.1,0.3,0.9,0.7,0.3,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.0,0.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
240510_01_BC102_SC.XLSX,0.0,0.2,0.0,0.0,0.8,0.2,0.0,-0.2,-0.2,0.1,0.4,0.5,0.0,0.5,0.9,0.4,0.5,0.9,0.4,0.0,0.2,0.0,0.7,0.0,0.1,0.0,0.0,0.1,0.0,0.0
240510_01_BC105_SZ.XLSX,0.0,0.5,0.5,0.0,0.2,0.5,0.5,-0.2,-0.2,0.3,0.8,0.1,0.2,0.9,0.9,0.0,0.3,0.9,0.2,0.2,0.0,0.3,1.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0
240510_02_BC107_AB.XLSX,0.0,0.5,0.1,0.0,0.5,0.5,0.1,-0.5,-0.5,0.1,0.5,0.5,0.1,0.6,0.9,0.3333333333333333,0.5,0.9,0.4,0.0,0.1,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,3.0
240510_02_BC111_SC.XLSX,0.0,0.0,0.4,0.1,0.5,0.0,0.5,0.6,0.5,0.3,0.3,0.4,0.0,0.6,0.7,0.1,0.4,0.7,0.1,0.0,0.1,0.1,0.6,0.5,0.1,0.0,0.0,0.0,0.0,2.0
240510_02_BC113_SZ.XLSX,0.0,0.1,0.2,0.2,0.5,0.1,0.4,0.5,0.3,0.2,0.5,0.3,0.0,0.7,0.8,0.1,0.3,0.8,0.1,0.1,0.3,0.0,0.8,0.2,0.5,0.0,0.1,0.0,0.0,0.0
240510_03_BC104_SC.XLSX,0.0,0.0,0.3,0.0,0.7,0.0,0.3,0.3,0.3,0.5,0.2,0.3,0.0,0.7,0.5,-0.2,0.3,0.5,-0.2,0.0,0.4,0.1,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0
240510_03_BC106_SZ.XLSX,0.0,0.0,0.4,0.2,0.4,0.0,0.6,0.8,0.6,0.0,0.2,0.8,0.0,0.2,1.0,0.8,0.8,1.0,0.8,0.0,0.0,0.4,0.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0
240510_03_BC108_AB.XLSX,0.0,0.0,0.2,0.0,0.8,0.0,0.2,0.2,0.2,0.0,0.0,0.9,0.1,0.0,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,1.0
240510_04_BC108_SC.XLSX,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.2,0.6,0.6,0.0,0.5,0.7,0.2,0.0,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,1.0
240510_04_BC110_AB.XLSX,0.0,0.0,0.3,0.2,0.5,0.0,0.5,0.7,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2,0.1,0.2,0.3,0.0,0.0,0.0,0.0,1.0
240510_04_BC110_SZ.XLSX,0.0,0.0,0.3,0.0,0.7,0.0,0.3,0.3,0.3,0.1,0.3,0.6,0.0,0.4,0.9,0.5,0.6,0.9,0.5,0.0,0.0,0.2,0.3,0.4,0.3,0.0,0.0,0.0,0.0,1.0
240510_05_BC101_SZ.XLSX,0.0,0.0,0.3,0.0,0.7,0.0,0.3,0.3,0.3,0.0,0.4,0.6,0.0,0.4,1.0,0.6,0.6,1.0,0.6,0.0,0.7,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
240510_05_BC103_AB.XLSX,0.1,0.0,0.5,0.3,0.3,0.1,0.6,0.7,0.5,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
240510_05_BC103_SC.XLSX,0.0,0.4,0.2,0.0,0.4,0.4,0.2,-0.2,-0.2,0.4,0.2,0.3,0.1,0.6,0.5,-0.1111111111111111,0.4,0.6,0.0,0.1,0.2,0.1,0.3,0.5,0.4,0.0,0.0,0.0,0.0,0.0
240510_06_BC102_AB.XLSX,0.1,0.2,0.4,0.3,0.4,0.3,0.5,0.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
240510_06_BC108_SZ.XLSX,0.1,0.2,0.1,0.0,0.7,0.2,0.1,-0.2,-0.1,0.3,0.1,0.5,0.1,0.4,0.6,0.2222222222222222,0.6,0.7,0.3,0.3,0.6,0.0,0.4,0.6,0.1,0.0,0.1,0.0,0.0,1.0
