IDNA,IDNB,NEFNNRA,NEFNNRB,NEFNRA,NEFNRB,NEFPRA,NEFPRB,NEFPPRA,NEFPPRB,NEFNENRA,NEFNENRB,NEFNCRA,NEFNCRB,NEFPCRA,NEFPCRB,NEFERA,NEFERB,NEFECRA,NEFECRB,NITDRA,NITDRB,NITFRA,NITFRB,NITARA,NITARB,NITMRA,NITMRB,NITCDFRA,NITCDFRB,NITCFARA,NITCFARB,NITERA,NITERB,NITAIRA,NITAIRB,NITCFAIRA,NITCFAIRB,NITEIRA,NITEIRB,NPDRRA,NPDRRB,NPDDRA,NPDDRB,NAMBRA,NAMBRB,NAFRA,NAFRB,NIPPRA,NIPPRB,NIPDRA,NIPDRB,NIDGRA,NIDGRB,NIDPRA,NIDPRB,NIDDRA,NIDDRB
05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,0.7,0,0,0,0.3,0.3,0,0.1,0,0.6,0.7,0,0.3,0.4,-1.1,0.5,-0.4,0.4,0,0.2,0.7,0.5,0.3,0.3,0,0,0.7,0.7,1,0.8,0.3,0.1,0.3,0.3,1,0.8,0.3,0.1,0,0.1,0,0,0,0.1,0.3,0.4,0.7,0.2,0,0.1,0,0,0,0,0,0
05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,0.1,0,0.3,0,0,0.1,0,0,0.6,0.9,0.4,0,0,0.1,-0.5,0.1,-0.4,0.1,0.7,0.7,0.3,0,0.1,0.1,0.1,0.2,1,0.7,0.4,0.1,-0.666666666666667,-0.75,0.1,0.3,0.4,0.3,-0.5,-0.4,0,0.6,0.8,0.8,0.2,0.1,0.4,0.2,0.3,0.1,0,0.3,0,0.1,0,0,0.3,0.1
05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,0,0,0,0,0,0.2,0.4,0,0.6,0.8,0,0,0.4,0.2,0.8,0.2,0.4,0.2,0,0,0.4,0,0.6,1,0,0,0.4,0,1,1,0.6,1,0.6,1,1,1,0.6,1,0,0,0,0,0,0,0,0,0.9,0.3,0,0,0,0,0.1,0,0,0
05_19_04_BA102_JIN.xlsx,05_19_04_BA102_MD.xlsx,0,0.2,0.2,0,0,0,0,0.1,0.8,0.7,0.2,0.2,0,0.1,-0.2,-0.2,-0.2,-0.1,0,0,0.2,0,0.8,1,0,0,0.2,0,1,1,0.8,1,0.8,1,1,1,0.8,1,0,0,0.2,0.1,0,0,0,0,0.5,0.4,0.4,0.2,0,0,0.2,0.2,0,0
05_22_01_BB02_ADN.xlsx,05_22_01_BB02_JIN.xlsx,0,0,0,0,0.2,0.2,0,0,0.8,0.8,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0.1,0.4,0.9,0.6,0,0,0.1,0.4,1,1,0.9,0.6,0.9,0.6,1,1,0.9,0.6,0,0,0,0,0.9,1,0.1,0.3,0,0,0.2,0.2,0,0,0,0,0,0
05_22_02_BB04_MD.xlsx,05_22_02_BB04_ZVT.xlsx,0,0,0.1,0.1,0.2,0.1,0,0.2,0.7,0.6,0.1,0.1,0.2,0.3,0.1,0.4,0.1,0.2,0.1,0,0.6,0.4,0.3,0.6,0,0,0.7,0.4,0.9,1,0.2,0.6,0.3,0.6,0.9,1,0.2,0.6,0,0,0.4,0.3,0.1,0.2,0,0.1,0.5,0.3,0.2,0.3,0,0.1,0.3,0.2,0.6,0
05_22_03_BB01_ADN.xlsx,05_22_03_BB01_JIN.xlsx,0,0,0,0.1,0,0,0,0,1,0.9,0,0.1,0,0,0,-0.1,0,-0.1,0,0,0.4,0.7,0.5,0.3,0.1,0,0.4,0.7,0.9,1,0.555555555555556,0.3,0.6,0.3,1,1,0.6,0.3,0,0,0,0,0,0,0,0.1,0.2,0.1,0.2,0.2,0,0,0,0,0,0
05_22_04_BB03_MD.xlsx,05_22_04_BB03_ZVT.xlsx,0,0,0.2,0.1,0.1,0.2,0,0,0.7,0.7,0.2,0.1,0.1,0.2,-0.1,0.1,-0.1,0.1,0,0.2,0.7,0.6,0.1,0.2,0.2,0,0.7,0.8,0.8,0.8,0.125,0,0.3,0.2,1,0.8,0.3,0,0.2,0.7,0.3,0.4,0,0.2,0.3,0.4,0.3,0,0,0,0,0,0.3,0.2,0,0
05_22_05_BB05_ADN.xlsx,05_22_05_BB05_JIN.xlsx,0,0,0,0,0,0.5,0,0,1,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0.1,0.1,0.9,0.9,0,0,0.1,0.1,1,1,0.9,0.9,0.9,0.9,1,1,0.9,0.9,0,0,0,0,0.1,0.1,0.3,0.2,0.3,0.1,0.2,0.2,0,0,0,0,0,0
05_22_06_BB06_MAC.xlsx,05_22_06_BB06_ZVT.xlsx,0,0,0,0,0.1,0,0,0.1,0.9,0.9,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0,0,1,0.2,0,0.8,0,0,1,0.2,1,1,0,0.8,0,0.8,1,1,0,0.8,0,0.2,0.3,0.2,0.1,0.2,0.2,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0
