ID,Tipo de actividad,Ciclo,NXLSX,DXLSX
AB106,Lectoescritura,05_09_01,05_09_01_AB106_GP.xlsx,05_09_01_AB1D_JIN.xlsx
AB106,Juego con números,05_09_02,05_09_02_AB106_GP.xlsx,05_09_02_AB1D_JIN.xlsx
BA205,Juego libre,05_12_01,05_12_01_BA205_ZVT.xlsx,05_12_01_BA2D_JIN.xlsx
BA202,Juego libre,05_12_02,05_12_02_BA202_JIN.xlsx,05_12_02_BA2D_ZVT.xlsx
AB205,Juego con números,05_16_01,05_16_01_AB205_JIN.xlsx,05_16_01_AB2D_GP.xlsx
AB202,Juego con números,05_16_02,05_16_02_AB202_GP.xlsx,05_16_02_AB2D_JIN.xlsx
AB201,Juego con números,05_16_03,05_16_03_AB201_JIN.xlsx,05_16_03_AB2D_GP.xlsx
AB203,Juego con números,05_16_04,05_16_04_AB203_JIN.xlsx,05_16_04_AB2D_GP.xlsx
AB204,Exposición docente,05_16_05,05_16_05_AB204_GP.xlsx,05_16_05_AB2D_JIN.xlsx
AA202,Exposición docente,05_17_01,05_17_01_AA202_MAC.xlsx,05_17_01_AA2D_JIN.xlsx
AA203,Juego con números,05_17_02,05_17_02_AA203_JIN.xlsx,05_17_02_AA2D_MAC.xlsx
AA204,Juego con números,05_17_03,05_17_03_AA204_MAC.xlsx,05_17_03_AA2D_JIN.xlsx
AA204,Juego con números,05_17_04,05_17_04_AA204_MAC.xlsx,05_17_04_AA2D_JIN.xlsx
BA101,Lectoescritura,05_19_01,05_19_01_BA101_JIN.xlsx,05_19_01_BA1D_MD.xlsx
BA104,Lectoescritura,05_19_02,05_19_02_BA104_JIN.xlsx,05_19_02_BA1D_ZVT.xlsx
BA103,Juego libre,05_19_03,05_19_03_BA103_ZVT.xlsx,05_19_03_BA1D_JIN.xlsx
BA102,Juego libre,05_19_04,05_19_04_BA102_JIN.xlsx,05_19_04_BA1D_ZVT.xlsx
BB02,Exposición docente,05_22_01,05_22_01_BB02_JIN.xlsx,05_22_01_BBD_ZVT.xlsx
