,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,True,False,False,False,False
1,True,False,False,False,False
2,True,False,False,False,False
3,True,False,False,False,False
4,True,False,False,False,False
5,True,False,False,False,False
6,True,False,False,False,False
7,False,False,True,False,True
8,False,False,True,False,True
9,False,False,True,False,True
10,False,False,True,False,True
11,False,False,False,False,False
12,True,False,False,False,False
13,True,False,False,False,False
14,True,False,False,False,False
15,True,False,False,False,False
16,True,False,False,False,False
17,True,False,False,False,False
18,True,False,False,False,False
19,True,False,False,False,False
20,True,False,False,False,False
21,True,False,False,False,False
22,True,False,False,False,False
23,True,False,False,False,False
24,True,False,False,False,False
25,True,False,False,False,False
26,True,False,False,False,False
27,True,False,False,False,False
28,True,False,False,False,False
29,True,False,False,False,False
30,True,False,False,False,False
31,True,False,False,False,False
32,False,False,True,False,True
33,False,False,True,False,True
34,True,False,False,False,False
35,True,False,False,False,False
36,True,False,False,False,False
37,True,False,False,False,False
38,True,False,False,False,False
39,True,False,False,False,False
40,True,False,False,False,False
41,True,False,False,False,False
42,True,False,False,False,False
43,True,False,False,False,False
44,True,False,False,False,False
45,False,False,True,False,True
46,False,True,True,True,True
47,False,True,True,True,True
48,False,True,True,True,True
49,,,,,
50,False,True,True,True,True
51,False,False,True,False,True
52,False,False,True,False,True
53,,,,,
54,,,,,
55,,,,,
56,False,True,True,True,True
57,False,True,True,False,True
58,False,True,True,True,True
59,False,True,True,True,True
60,False,True,True,True,True
61,False,True,True,True,True
62,False,True,True,True,True
63,False,True,True,True,True
64,False,True,True,True,True
65,False,True,True,True,True
66,False,True,True,False,True
67,False,True,True,True,True
68,False,True,True,True,True
69,False,True,True,False,True
70,,,,,
71,False,True,True,True,True
72,False,True,True,True,True
73,False,True,True,True,True
74,False,True,True,True,True
75,False,True,True,True,True
76,,,,,
77,False,True,False,True,False
78,False,True,False,True,False
79,False,True,True,True,True
80,False,True,True,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,False,True,True,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,,,,,
87,False,True,True,True,True
88,,,,,
89,False,False,True,False,True
90,False,True,True,True,True
91,,,,,
92,,,,,
93,False,True,True,True,True
94,,,,,
95,False,True,True,True,True
96,False,True,True,True,True
97,False,True,True,True,True
98,False,True,True,True,True
99,False,True,True,True,True
100,False,True,True,False,True
101,False,True,True,False,True
102,False,True,True,False,True
103,False,True,True,False,True
104,False,True,True,True,True
105,False,True,True,True,True
106,False,True,True,True,True
107,False,True,True,True,True
108,False,True,True,True,True
109,True,False,False,False,False
110,False,False,True,False,True
111,False,True,True,False,True
112,False,True,True,True,True
113,False,True,True,False,True
114,False,True,True,False,True
115,False,True,True,True,True
116,False,True,True,True,True
117,False,True,True,True,True
118,False,True,True,True,True
119,False,True,True,True,True
120,False,True,True,True,True
121,False,True,True,True,True
122,False,False,True,False,True
123,,,,,
124,False,True,True,True,True
125,False,True,True,False,True
126,False,True,True,False,True
127,False,True,True,True,True
128,False,True,True,True,True
129,False,True,True,True,True
130,False,True,True,True,True
131,False,True,True,True,True
132,False,True,True,True,True
133,False,True,True,True,False
134,False,False,False,False,False
135,False,False,False,False,False
136,True,False,False,False,False
137,True,False,False,False,False
138,True,False,False,False,False
139,False,True,True,True,True
140,False,True,True,True,True
141,False,True,True,True,True
142,False,True,True,True,True
143,False,True,True,True,True
144,False,True,True,True,True
145,False,True,True,True,True
146,False,True,True,True,True
147,False,False,True,False,True
148,False,True,True,True,True
149,False,True,True,False,True
150,False,True,True,True,True
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,False,True,True,True,True
158,False,True,True,True,True
159,False,True,True,True,True
160,,,,,
161,False,True,True,True,True
162,False,True,True,True,True
163,,,,,
164,False,True,True,True,True
165,False,True,True,True,True
166,False,True,True,True,True
167,False,True,True,True,True
168,False,True,True,True,True
169,False,True,True,False,True
170,False,True,True,True,True
171,False,True,True,False,True
172,False,True,True,True,True
173,False,True,True,True,True
174,False,True,True,True,True
175,,,,,
176,,,,,
177,False,True,True,True,True
178,,,,,
179,False,True,True,True,True
180,False,True,True,True,True
181,False,True,True,False,True
182,,,,,
183,False,True,True,True,True
184,,,,,
185,False,True,True,True,True
186,,,,,
187,False,False,True,False,True
188,False,False,True,True,True
189,False,False,True,True,True
190,False,False,True,False,True
191,False,False,True,False,True
192,False,False,True,False,True
193,,,,,
194,,,,,
195,False,True,True,True,True
196,False,True,True,False,True
197,,,,,
198,False,True,True,True,True
199,,,,,
200,,,,,
201,False,True,True,True,True
202,,,,,
203,False,True,True,False,True
204,False,True,True,True,True
205,False,True,True,False,True
206,,,,,
207,,,,,
208,False,False,False,False,False
209,False,False,False,False,False
210,True,False,False,False,False
211,True,False,False,False,False
212,True,False,False,False,False
213,True,False,False,False,False
214,True,False,False,False,False
215,True,False,False,False,False
216,False,False,False,False,False
217,True,False,False,False,False
218,True,False,False,False,False
219,True,False,False,False,False
220,True,False,False,False,False
221,True,False,False,False,False
222,True,False,False,False,False
223,False,False,False,False,False
224,True,False,False,False,False
225,False,False,False,False,False
226,True,False,False,False,False
227,False,False,False,False,False
228,False,False,False,False,False
229,,,,,
230,False,False,False,False,False
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,True,False,False,False,False
240,True,False,False,False,False
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,True,False,False,False,False
247,True,False,False,False,False
248,True,False,False,False,False
249,,,,,
250,,,,,
251,True,False,False,False,False
252,,,,,
253,,,,,
254,True,False,False,False,False
255,False,False,False,False,False
256,True,False,False,False,False
257,True,False,False,False,False
258,True,False,False,False,False
259,True,False,False,False,False
260,False,False,False,False,False
261,False,False,False,False,False
262,False,False,False,False,False
263,,,,,
264,True,False,False,False,False
265,True,False,False,False,False
266,True,False,False,False,False
267,True,False,False,False,False
268,True,False,False,False,False
269,True,False,False,False,False
270,True,False,False,False,False
271,False,False,False,False,False
272,False,False,False,False,False
273,True,False,False,False,False
274,True,False,False,False,False
275,True,False,False,False,False
276,,,,,
277,False,True,False,True,False
278,False,True,False,True,False
279,True,False,False,False,False
