,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,False,False,False,False
1,,,,,
2,,,,,
3,False,False,True,False,True
4,,,,,
5,,,,,
6,False,False,False,False,False
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,False,False,False,False,False
18,False,False,False,False,False
19,,,,,
20,,,,,
21,False,True,False,True,False
22,False,True,False,True,False
23,True,False,False,False,False
24,False,False,False,False,False
25,True,False,False,False,False
26,False,False,False,False,False
27,True,False,False,False,False
28,True,False,False,False,False
29,False,False,False,False,False
30,True,False,False,False,False
31,,,,,
32,True,False,False,False,False
33,True,False,False,False,False
34,,,,,
35,,,,,
36,True,False,False,False,False
37,True,False,False,False,False
38,True,False,False,False,False
39,True,False,False,False,False
40,,,,,
41,True,False,False,False,False
42,True,False,False,False,False
43,,,,,
44,False,False,False,False,False
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,False,False,False,False,False
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,True,False,False,False,False
61,False,False,False,False,False
62,True,False,False,False,False
63,True,False,False,False,False
64,,,,,
65,,,,,
66,False,False,True,False,True
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,False,False,True,False,True
72,False,True,True,True,True
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,False,False,True,False,True
80,False,False,True,False,True
81,False,False,True,False,True
82,False,False,True,False,True
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,False,False,True,False,True
89,False,False,True,False,True
90,False,False,True,False,True
91,False,False,True,False,True
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,False,True,True,True,True
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,False,False,True,False,False
104,False,False,True,False,True
105,,,,,
106,,,,,
107,False,False,True,False,True
108,False,False,True,False,False
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,False,False,True,False,True
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
