,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,True,True,True,True
1,False,True,True,True,True
2,,,,,
3,False,True,True,True,True
4,,,,,
5,False,True,True,True,True
6,False,True,True,True,True
7,False,True,True,True,True
8,False,True,True,True,True
9,False,True,True,True,True
10,False,True,True,True,True
11,False,True,True,True,True
12,False,True,True,True,True
13,False,True,True,True,True
14,False,True,False,True,False
15,False,True,True,True,True
16,False,True,True,True,True
17,False,True,True,True,True
18,False,True,True,True,True
19,False,True,True,True,True
20,False,True,True,True,True
21,False,True,True,True,True
22,False,True,True,True,True
23,,,,,
24,False,True,True,True,True
25,False,True,True,True,True
26,False,True,True,True,True
27,,,,,
28,,,,,
29,False,False,True,False,True
30,False,False,True,False,True
31,False,True,True,False,True
32,False,True,True,True,True
33,False,True,True,True,True
34,,,,,
35,False,True,True,True,True
36,,,,,
37,False,True,True,True,True
38,False,True,True,True,True
39,False,True,True,True,True
40,False,True,True,True,True
41,,,,,
42,False,True,True,True,True
43,,,,,
44,False,True,True,True,True
45,False,True,True,True,True
46,False,True,True,True,True
47,False,True,True,True,True
48,False,True,True,True,True
49,False,True,True,True,True
50,False,True,True,True,True
51,False,True,True,True,True
52,False,True,True,True,True
53,False,True,True,True,True
54,False,True,True,True,True
55,False,True,True,True,True
56,False,True,True,True,True
57,False,True,True,True,True
58,False,True,True,True,True
59,False,True,True,True,True
60,False,True,True,True,True
61,False,True,True,True,True
62,False,True,True,True,True
63,False,True,True,True,True
64,False,True,True,True,True
65,False,True,True,True,True
66,False,True,True,True,True
67,False,True,True,True,True
68,,,,,
69,False,False,True,False,True
70,,,,,
71,,,,,
72,,,,,
73,False,False,True,True,True
74,False,True,True,True,True
75,,,,,
76,False,True,True,True,True
77,False,True,True,True,True
78,False,True,True,True,True
79,False,True,True,True,True
80,False,True,True,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,False,True,True,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,False,True,True,True,True
87,False,True,True,True,True
88,False,True,True,True,True
89,False,True,True,False,True
90,False,True,True,True,True
91,False,True,True,True,True
92,False,True,True,True,True
93,False,True,True,True,True
94,False,True,True,True,True
95,False,True,True,True,True
96,False,True,True,True,True
97,False,True,True,True,True
98,False,True,True,False,True
99,False,True,True,True,True
100,False,True,True,True,True
101,False,True,True,True,True
102,,,,,
103,False,True,True,True,True
104,False,True,True,True,True
105,False,True,True,True,True
106,False,True,True,True,True
107,False,True,True,True,True
108,False,True,True,True,True
109,False,True,True,True,True
110,False,True,True,True,True
111,False,True,True,True,True
112,False,True,True,True,True
113,False,True,True,True,True
114,,,,,
115,False,True,True,True,True
116,False,True,True,True,True
117,False,True,True,True,True
118,False,True,True,True,True
119,,,,,
120,,,,,
121,False,False,False,True,False
122,False,False,False,False,False
123,True,False,False,False,False
124,False,False,False,False,False
125,False,False,False,False,False
126,,,,,
127,,,,,
128,False,False,False,False,False
129,,,,,
130,True,False,False,False,False
131,,,,,
132,,,,,
133,,,,,
134,False,True,False,True,False
135,False,True,False,True,False
136,,,,,
137,False,True,False,True,False
138,False,True,True,True,True
139,False,True,True,True,True
140,False,True,True,True,True
141,False,True,True,True,True
142,False,True,False,True,False
143,False,True,False,True,False
144,False,False,False,True,False
145,False,False,True,True,True
146,False,True,True,True,True
147,False,True,True,True,True
148,False,True,True,True,True
149,False,True,False,True,False
150,False,False,False,False,False
151,True,False,False,False,False
152,False,False,False,True,False
153,True,False,False,False,False
154,True,False,False,False,False
155,True,False,False,True,False
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,False,False,False,False,False
173,False,False,False,False,False
174,,,,,
175,,,,,
176,,,,,
177,False,False,False,False,False
178,False,False,False,False,False
179,False,False,False,False,False
