,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,True,True,True,True
1,False,True,True,True,True
2,False,True,True,True,True
3,False,True,True,True,True
4,False,True,True,True,True
5,False,True,True,True,True
6,False,True,True,True,True
7,False,True,True,True,True
8,False,True,True,True,True
9,False,True,True,True,True
10,False,True,True,True,True
11,False,True,True,True,True
12,False,True,True,True,True
13,False,True,True,True,True
14,False,True,True,True,True
15,False,True,True,True,True
16,False,True,True,True,True
17,False,True,True,True,True
18,False,True,True,True,True
19,False,True,True,True,True
20,False,True,False,True,False
21,False,True,False,True,False
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,False,False,True,False,True
41,False,True,True,True,True
42,False,True,True,True,True
43,False,True,True,True,True
44,False,True,False,True,False
45,False,True,True,True,True
46,False,True,False,True,False
47,False,True,True,True,True
48,False,True,True,True,True
49,False,True,True,True,True
50,False,True,True,True,True
51,False,True,True,True,True
52,False,True,True,True,True
53,False,True,True,True,True
54,False,True,True,True,True
55,,,,,
56,False,True,True,True,True
57,False,True,True,True,True
58,False,True,True,True,True
59,False,True,True,True,True
60,False,True,True,True,True
61,False,True,True,True,True
62,False,True,True,True,True
63,False,True,True,True,True
64,,,,,
65,False,True,True,True,True
66,False,True,True,True,True
67,False,True,True,True,True
68,,,,,
69,False,True,True,True,True
70,False,True,True,True,True
71,False,True,True,True,True
72,False,True,True,True,True
73,False,True,True,True,True
74,False,True,True,True,True
75,False,True,True,True,True
76,False,True,True,True,True
77,False,True,True,True,True
78,False,True,True,True,True
79,False,True,True,True,False
80,False,True,True,True,False
81,False,True,True,True,True
82,False,True,True,True,True
83,,,,,
84,False,True,True,True,False
85,False,True,True,True,True
86,,,,,
87,,,,,
88,False,True,True,True,True
89,False,True,True,True,True
90,False,True,True,True,True
91,False,True,True,True,True
92,False,True,True,True,True
93,False,True,True,True,True
94,False,True,True,True,True
95,False,True,True,True,True
96,False,True,True,True,True
97,False,True,True,True,True
98,False,True,True,True,True
99,False,True,True,True,True
100,False,True,True,True,True
101,False,True,True,True,True
102,False,True,True,True,True
103,False,True,True,True,True
104,False,True,True,True,True
105,False,True,True,True,True
106,False,True,True,True,True
107,False,True,True,True,True
108,False,True,True,True,True
109,False,True,True,True,True
110,False,True,True,True,True
111,False,True,True,True,True
112,False,True,True,True,True
113,False,True,True,True,True
114,False,True,True,True,True
115,False,True,True,True,True
116,False,True,True,True,True
117,False,True,True,True,True
118,False,True,True,True,True
119,False,True,True,True,True
120,,,,,
121,False,True,True,True,True
122,False,True,True,True,True
123,False,True,True,True,True
124,False,True,True,True,True
125,False,True,True,True,True
126,False,True,True,True,True
127,,,,,
128,,,,,
129,False,True,True,True,True
130,False,True,True,True,True
131,False,True,True,True,True
132,,,,,
133,False,True,True,True,True
134,False,True,True,True,True
135,False,True,True,True,True
136,False,True,True,True,True
137,False,True,True,True,True
138,False,True,True,True,True
139,False,True,True,True,True
140,False,True,True,True,True
141,False,False,True,True,True
142,False,True,True,True,True
143,False,True,True,True,True
144,False,True,True,True,True
145,False,True,True,True,True
146,False,True,True,True,True
147,False,True,True,True,True
148,False,True,True,True,False
149,False,True,True,True,True
150,,,,,
151,False,False,False,False,False
152,False,False,False,False,False
153,True,False,False,False,False
154,False,False,True,False,True
155,False,False,True,False,True
156,,,,,
157,False,False,True,False,True
158,False,False,True,False,True
159,False,True,True,True,True
160,,,,,
161,False,True,True,True,False
162,,,,,
163,False,True,True,True,True
164,,,,,
165,False,True,True,True,False
166,False,True,True,True,True
167,False,True,True,True,True
168,False,True,True,True,True
169,False,True,True,True,True
170,False,True,True,True,True
171,,,,,
172,False,True,True,True,True
173,False,True,True,True,True
174,False,True,True,True,True
175,False,True,True,True,False
