,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,False,False,False,False,False
10,False,False,False,False,False
11,False,True,False,True,False
12,False,True,False,True,False
13,False,True,False,True,False
14,False,True,True,True,True
15,False,True,True,True,True
16,False,True,True,True,True
17,False,True,True,True,True
18,False,True,False,True,False
19,,,,,
20,False,True,True,True,True
21,False,False,False,False,False
22,False,True,False,True,False
23,False,True,False,True,False
24,False,True,False,True,False
25,True,False,False,True,False
26,True,False,False,False,False
27,False,True,True,True,True
28,False,False,False,False,False
29,False,False,False,False,False
30,True,False,False,False,False
31,,,,,
32,False,True,False,True,False
33,False,False,True,True,True
34,False,True,True,True,True
35,False,True,True,True,True
36,False,True,True,True,False
37,False,True,True,True,True
38,False,True,True,True,True
39,False,False,True,True,False
40,False,False,False,True,False
41,False,True,False,True,False
42,False,True,True,True,True
43,,,,,
44,False,False,False,True,False
45,False,False,False,False,False
46,False,False,False,False,False
47,False,False,False,False,False
48,False,False,False,False,False
49,False,False,False,False,False
50,False,False,False,False,False
51,False,False,False,False,False
52,True,False,False,False,False
53,False,False,False,True,False
54,False,True,False,True,False
55,False,True,False,True,False
56,False,True,False,True,False
57,False,True,False,True,False
58,False,True,False,True,False
59,False,True,False,True,False
60,False,True,False,True,False
61,,,,,
62,,,,,
63,False,False,False,False,False
64,False,False,False,False,False
65,False,False,False,False,False
66,False,False,False,False,False
67,False,False,False,False,False
68,False,False,False,False,False
69,False,True,False,True,False
70,False,True,False,True,False
71,False,True,False,True,False
72,False,True,False,True,False
73,False,False,False,False,False
74,True,False,False,False,False
75,False,False,False,False,False
76,False,True,False,True,False
77,False,True,False,True,False
78,False,True,False,True,False
79,False,True,False,True,False
80,False,True,False,True,False
81,False,True,False,True,False
82,False,True,False,True,False
83,False,True,True,True,True
84,False,True,True,True,True
85,,,,,
86,,,,,
87,,,,,
88,False,True,True,True,True
89,False,True,True,True,True
90,False,True,True,True,True
91,,,,,
92,False,False,True,True,True
93,False,False,True,False,True
94,False,False,True,False,True
95,,,,,
96,,,,,
97,False,False,False,False,False
98,False,True,True,True,True
99,False,True,False,True,False
100,True,False,False,True,False
101,False,True,True,True,True
102,False,True,True,True,True
103,False,True,True,True,True
104,False,False,True,False,True
105,,,,,
106,False,True,True,True,True
107,False,True,True,True,True
108,False,True,True,True,True
109,False,True,False,True,False
110,False,False,False,True,False
111,False,False,True,True,True
112,False,True,True,True,True
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,False,False,False,False,False
120,False,False,False,False,False
121,,,,,
122,False,False,False,False,False
123,False,True,False,True,False
124,False,False,False,False,False
125,False,False,False,False,False
126,False,False,False,False,False
127,False,False,False,False,False
