,0,1,2,3,4
0,,,,,
1,False,False,True,False,True
2,False,False,True,False,
3,,,,,
4,False,False,True,False,
5,,,,,
6,False,False,True,False,
7,,,,,False
8,False,False,True,False,False
9,,,,,
10,False,False,True,False,
11,,,,,
12,True,False,False,False,
13,True,False,False,False,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,False
20,,,,,False
21,,,,,False
22,,,,,False
23,False,False,True,False,
24,,,,,False
25,False,False,False,False,False
26,False,False,False,False,False
27,True,False,False,False,False
28,True,False,False,False,False
29,False,True,True,,False
30,,,,False,False
31,True,False,False,False,False
32,False,False,False,False,False
33,False,False,False,False,False
34,False,False,False,False,True
35,False,False,False,False,True
36,False,False,False,True,
37,False,True,False,False,
38,False,False,False,False,
39,False,False,False,False,
40,False,False,False,False,
41,False,True,False,True,
42,False,True,True,,
43,,,,,
44,,,,,
45,,,,,True
46,,,,,
47,,,,,
48,,,,,True
49,,,,,
50,,,,,
51,,,,True,
52,False,True,True,,
53,,,,,
54,,,,True,
55,False,True,True,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,True
62,,,,,
63,,,,,
64,,,,,
65,,,,,True
66,,,,,
67,,,,True,
68,False,False,True,,
69,,,,,
70,,,,,
71,,,,True,
72,False,True,True,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,True
109,,,,,
110,,,,,True
111,,,,,
112,,,,,
113,,,,,
114,,,,True,
115,False,True,True,,
116,,,,True,
117,False,True,True,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,True
139,,,,,
140,,,,,
141,,,,,
142,,,,,True
143,,,,,
144,,,,True,
145,False,True,True,,
146,,,,,
147,,,,,
148,,,,True,
149,False,True,True,,
150,,,,,
151,,,,,False
152,,,,,False
153,,,,,False
154,,,,,False
155,,,,,False
156,,,,,
157,,,,True,
158,False,True,False,False,
159,False,False,False,False,
160,False,False,False,True,
161,False,False,False,True,
162,False,True,False,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,True
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,True,
190,False,True,True,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,False
204,,,,,False
205,,,,,False
206,,,,,False
207,,,,,False
208,,,,,False
209,,,,False,False
210,True,False,False,True,False
211,False,True,False,False,False
212,False,False,False,False,False
213,False,False,False,False,False
214,False,False,False,False,False
215,False,False,False,False,False
216,False,False,False,True,False
217,False,False,False,True,False
218,False,False,False,True,False
219,False,False,False,False,False
220,False,False,False,False,False
221,False,False,False,False,False
222,False,False,False,True,False
223,False,False,False,False,False
224,False,False,False,False,False
225,False,False,False,False,False
226,False,False,False,False,False
227,False,False,False,False,False
228,False,False,False,False,False
229,False,False,False,False,False
230,False,False,False,False,False
231,False,False,False,False,False
232,False,False,False,False,False
233,False,False,False,False,False
234,True,False,False,True,
235,False,False,False,False,
236,False,False,False,False,
237,False,False,False,False,
238,False,False,False,False,
239,False,False,False,True,
240,False,False,False,,
241,,,,,
242,,,,,False
243,,,,,False
244,,,,,False
245,,,,,False
246,,,,,False
247,,,,,False
248,,,,True,False
249,False,True,False,False,False
250,False,False,False,False,False
251,False,False,False,False,False
252,False,False,False,False,False
253,False,False,False,False,False
254,False,False,False,False,False
255,False,False,False,False,False
256,False,False,False,False,False
257,False,False,False,False,False
258,False,False,False,False,False
259,False,False,False,False,False
260,False,False,False,False,False
261,False,False,False,False,False
262,False,False,False,False,False
263,False,False,False,False,False
264,True,False,False,False,False
265,True,False,False,False,False
266,False,False,False,False,False
267,False,False,False,False,False
268,False,False,False,False,False
269,False,False,False,False,False
270,False,False,False,False,False
271,False,False,False,False,False
272,False,False,False,False,False
273,False,False,False,False,False
274,False,False,False,False,False
275,False,False,False,False,False
276,False,False,False,False,False
277,False,False,False,False,False
278,False,False,False,False,False
279,False,False,False,False,False
280,False,False,False,False,False
281,False,False,False,False,
282,False,False,False,False,
283,False,False,False,False,
284,True,False,False,False,
285,True,False,False,False,True
286,False,False,False,False,False
287,True,False,False,,False
288,,,,,False
289,,,,,False
290,,,,,False
291,,,,True,False
292,False,True,False,False,False
293,True,False,False,False,False
294,False,False,False,False,False
295,False,False,False,False,False
296,False,False,False,False,False
297,False,False,False,False,False
298,True,False,False,False,False
299,False,False,False,False,False
300,False,False,False,False,False
301,True,False,False,False,False
302,True,False,False,False,False
303,True,False,False,False,False
304,True,False,False,False,False
305,True,False,False,False,False
306,True,False,False,False,False
307,False,False,False,False,False
308,False,False,False,False,False
309,False,False,False,True,False
310,True,False,False,True,False
311,True,False,False,False,False
312,False,False,False,False,False
313,False,False,False,False,False
314,False,False,False,False,False
315,False,False,False,False,True
316,False,False,False,False,False
317,False,False,False,False,False
318,False,False,False,False,False
319,False,False,False,False,False
320,False,False,False,False,False
321,False,False,False,False,False
322,False,False,False,False,False
323,False,False,False,False,False
324,False,False,False,False,False
325,False,False,False,False,False
326,False,False,False,False,False
327,False,False,False,False,False
328,False,False,False,False,False
329,False,False,False,False,False
330,False,False,False,False,False
331,False,False,False,False,False
332,True,False,False,False,False
333,True,False,False,False,False
334,True,False,False,False,False
335,False,False,False,False,False
336,False,False,False,False,False
337,False,False,False,False,False
338,False,False,False,False,False
339,False,False,False,False,False
340,False,False,False,False,False
341,False,False,False,False,False
342,False,False,False,False,False
343,False,False,False,False,False
344,False,False,False,False,False
345,False,False,False,False,False
346,False,False,False,False,False
347,False,False,False,False,False
348,False,False,False,False,False
349,False,False,False,False,False
350,False,False,False,False,False
351,False,False,False,False,False
352,False,False,False,False,False
353,False,False,False,False,False
354,False,False,False,False,False
355,False,False,False,False,False
356,False,False,False,False,False
357,False,False,False,False,False
358,False,False,False,False,False
359,False,False,False,False,False
360,False,False,False,False,False
361,False,False,False,False,False
362,False,False,False,False,False
363,False,False,False,False,False
364,False,False,False,True,False
365,False,False,False,False,False
366,False,False,False,False,False
367,False,False,False,False,False
368,False,False,False,False,False
369,False,False,False,False,False
370,False,False,False,False,False
371,False,False,False,False,False
372,False,False,False,False,False
373,False,False,False,False,False
374,False,False,False,True,False
375,False,True,False,False,
376,False,False,False,True,
377,False,False,False,False,False
378,False,False,False,False,False
379,False,False,False,False,False
380,False,False,False,False,False
381,False,False,False,,False
382,,,,,False
383,,,,False,False
384,True,False,False,False,False
385,False,False,False,False,False
386,False,False,False,False,False
387,False,False,False,False,False
388,True,False,False,False,False
389,False,False,False,True,False
390,False,True,False,False,False
391,False,False,False,False,False
392,False,False,False,False,False
393,False,False,False,False,False
394,False,False,False,False,False
395,True,False,False,False,False
396,False,False,False,False,False
397,False,False,False,True,False
398,False,True,False,False,False
399,False,False,False,False,False
400,False,False,False,False,False
401,False,False,False,True,False
402,False,True,False,False,False
403,False,False,False,False,False
404,False,False,False,False,False
