,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,False,False,False,False
1,False,False,False,False,False
2,False,False,False,False,False
3,True,False,False,False,False
4,True,False,False,False,False
5,False,False,False,False,False
6,False,False,False,False,False
7,False,False,False,False,False
8,False,False,False,False,False
9,True,False,False,False,False
10,True,False,False,False,False
11,False,False,False,False,False
12,True,False,False,False,False
13,True,False,False,False,False
14,False,False,False,False,False
15,True,False,False,False,False
16,True,False,False,False,False
17,True,False,False,False,False
18,False,False,False,False,False
19,True,False,False,False,False
20,True,False,False,False,False
21,False,False,False,False,False
22,False,False,False,False,False
23,False,False,False,False,False
24,False,False,False,False,False
25,False,False,False,False,False
26,,,,,
27,,,,,
28,False,False,False,False,False
29,False,False,False,False,True
30,False,False,False,False,True
31,False,False,False,False,True
32,,,,,
33,,,,,
34,,,,,
35,True,False,False,False,False
36,True,False,False,False,False
37,True,False,False,False,False
38,False,False,False,False,False
39,False,False,False,False,True
40,False,False,False,False,False
41,False,False,False,False,False
42,True,False,False,False,False
43,False,False,False,False,False
44,True,False,False,False,False
45,False,False,False,False,False
46,False,False,False,False,False
47,False,False,False,False,False
48,True,False,False,False,False
49,False,False,False,False,False
50,True,False,False,False,False
51,True,False,False,False,False
52,True,False,False,False,False
53,False,False,False,False,False
54,True,False,False,False,False
55,False,False,False,False,False
56,False,False,False,False,True
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,False,False,False,False,True
62,False,False,False,False,True
63,True,False,False,False,False
64,False,False,False,False,False
65,,,,,
66,False,False,False,True,False
67,False,False,False,True,False
68,False,False,False,True,False
69,,,,,
70,,,,,
71,False,False,False,False,False
72,False,False,False,False,False
73,False,False,False,True,False
74,False,False,False,False,False
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,False,False,False,False,False
82,False,False,False,False,False
83,,,,,
84,False,False,False,False,False
85,False,False,False,True,False
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,True,False,True,True,False
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,True,False,True,False,False
135,False,False,True,False,False
136,False,False,True,False,False
137,True,False,True,False,False
138,False,False,True,False,False
139,False,False,True,False,True
140,False,False,True,False,True
141,False,False,False,False,False
142,False,False,False,False,False
143,False,False,False,False,False
144,False,False,True,False,False
145,False,False,True,False,True
146,False,False,False,False,True
147,True,False,False,False,False
148,False,False,False,False,False
149,False,False,False,False,False
150,False,False,False,False,False
151,False,False,True,False,True
152,False,False,True,False,True
153,False,False,True,False,True
154,False,False,True,False,True
155,True,False,False,False,False
156,False,False,True,False,True
157,True,False,False,False,False
158,True,False,False,False,False
159,True,False,False,False,False
160,True,False,True,False,False
161,,,,,
162,,,,,
163,False,False,True,False,True
164,False,False,True,False,True
165,False,False,True,False,True
166,False,False,True,False,True
167,False,False,False,False,False
168,False,False,False,False,False
169,False,False,False,False,False
170,True,False,False,False,False
171,True,False,False,False,False
172,False,False,False,False,False
173,False,False,False,False,False
174,True,False,False,False,False
175,True,False,False,False,False
176,True,False,False,False,False
177,False,False,False,False,False
178,True,False,False,False,False
179,True,False,False,False,False
180,True,False,False,False,False
181,True,False,False,False,False
182,True,False,False,False,False
183,True,False,False,False,True
184,True,False,False,False,True
185,True,False,False,False,True
186,True,False,False,False,False
187,True,False,False,False,False
188,True,False,False,False,False
189,True,False,False,False,False
190,True,False,False,False,False
191,True,False,False,False,False
192,True,False,False,False,False
193,False,False,False,False,False
194,True,False,False,False,False
195,True,False,False,False,False
196,False,False,False,False,True
197,True,False,False,False,True
198,False,False,False,False,True
199,True,False,False,False,False
200,True,False,False,False,False
201,True,False,False,False,True
202,True,False,False,False,True
203,True,False,False,False,True
204,True,False,False,False,True
205,True,False,False,False,True
206,True,False,False,False,True
207,False,False,False,False,True
208,True,False,False,False,True
209,True,False,False,False,False
210,True,False,False,False,False
211,True,False,False,False,False
212,True,False,False,False,False
213,True,False,False,False,False
214,True,False,False,False,False
215,True,False,False,False,False
216,False,False,False,False,True
217,,,,,
218,False,False,False,False,False
219,,,,,
220,,,,,
221,False,False,False,True,False
222,,,,,
223,,,,,
224,,,,,
225,False,False,False,True,False
226,,,,,
227,False,False,False,True,False
228,False,False,False,True,False
229,False,False,False,True,False
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,False,False,False,True,False
239,False,False,False,True,False
240,False,False,False,True,False
241,False,False,False,True,False
242,False,False,False,True,False
243,False,False,False,False,False
244,False,False,False,True,False
245,False,False,False,True,False
246,False,False,False,True,False
247,False,False,False,True,False
248,False,False,False,True,False
249,False,False,False,True,False
250,False,False,False,True,False
251,False,False,False,True,False
252,False,False,False,False,False
253,False,False,False,True,False
254,False,False,False,True,False
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,False,False,False,True,False
261,False,False,False,True,False
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,False,False,False,True,False
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,False,False,False,False,False
282,False,False,False,False,False
283,False,False,True,False,True
284,,,,,
285,,,,,
286,,,,,
