Sujeto,Onset,Offset
Adultx,22322,23048
Adultx,23909,24364
Niñx,24364,24415
Adultx,25529,25545
Niñx,25545,30000
Niñx,33089,34523
Niñx,34776,35198
Niñx,36953,39366
Niñx,41391,42066
Niñx,42505,42674
Niñx,42960,43180
Niñx,43787,44766
Niñx,45576,46437
Niñx,46572,46926
Niñx,47348,47618
Niñx,47972,48428
Niñx,48495,48833
Niñx,50689,52259
Niñx,54064,54284
Niñx,54689,55043
Niñx,55313,55583
Niñx,56494,57810
Niñx,58148,58688
Niñx,58755,59785
Niñx,61118,61405
Niñx,61607,62029
Niñx,64257,65489
Niñx,66045,67463
Niñx,67952,71277
Adultx,68408,68644
Niñx,72036,73386
Niñx,74567,75985
Niñx,76474,78769
Niñx,79478,80237
Niñx,81503,84743
Niñx,85165,88590
Niñx,89164,92573
Niñx,93434,94716
Niñx,98918,104689
Niñx,104858,107035
Niñx,107474,107592
Niñx,107642,107659
Niñx,108604,109920
Niñx,115962,116552
Niñx,116670,117531
Niñx,117970,117987
Niñx,118459,123825
Niñx,125445,127504
Niñx,128635,129327
Adultx,128905,129209
Niñx,130255,132432
Niñx,134372,134794
Niñx,135284,135402
Niñx,135925,135942
Niñx,136060,136077
Niñx,136127,136161
Niñx,136212,136431
Niñx,137477,138017
Niñx,139469,140987
Adultx,140025,140498
Niñx,141139,150336
Adultx,141595,142304
Niñx,150775,151416
Niñx,152277,155112
Niñx,155685,158200
Adultx,156141,156225
Adultx,160917,160934
Niñx,160934,160950
Adultx,160950,160967
Niñx,160967,162621
Niñx,162975,166620
Adultx,166165,168899
Niñx,167228,171480
Niñx,172324,175362
Niñx,175547,177960
Adultx,175716,175902
Adultx,176914,176965
Niñx,183074,187343
Niñx,188254,192574
Niñx,195426,199274
Niñx,200708,201012
Niñx,201434,201855
Niñx,201974,204420
Adultx,206024,207728
Niñx,207728,208994
Adultx,207897,207930
Niñx,210023,211120
Niñx,211727,212031
Niñx,212605,225025
Adultx,212672,213617
Adultx,222426,222460
Niñx,225666,225852
Niñx,227354,229007
Niñx,229210,229699
Niñx,230644,231032
Niñx,239200,239385
Niñx,239453,239487
Niñx,240212,240499
Niñx,240567,240870
Niñx,240938,241427
Niñx,241815,241934
Niñx,241967,244262
Adultx,243182,243857
Niñx,244752,247215
Adultx,246017,246507
Niñx,248481,251755
Niñx,252362,252835
Niñx,262352,262791
Niñx,262892,263348
Niñx,264968,268529
Adultx,265559,265694
Adultx,265778,266200
Adultx,266588,266942
Niñx,268950,271769
Niñx,271785,271853
Niñx,271870,272190
Niñx,272207,272258
