Sujeto,Onset,Offset
Adultx,79343,81081
Niñx,80406,86498
Adultx,82026,82870
Adultx,82954,83039
Adultx,83342,83460
Adultx,83477,83865
Adultx,83967,86025
Niñx,86565,97028
Adultx,90784,90852
Adultx,92657,93434
Niñx,98682,100437
Niñx,100724,102192
Adultx,100791,102023
Niñx,105330,107558
Niñx,107794,109195
Adultx,108216,108486
Niñx,110292,113650
Niñx,115945,118712
Adultx,117261,118527
Niñx,119252,120265
Niñx,120467,121311
Adultx,120602,120619
Niñx,122054,123741
Adultx,122087,122644
Niñx,124669,125850
Niñx,127605,128264
Niñx,128955,130964
Adultx,130525,130862
Adultx,130964,133191
Niñx,133191,136836
Adultx,136836,136853
Niñx,136853,137022
Niñx,137494,137832
Niñx,139519,141595
Niñx,142911,147417
Niñx,152580,153154
Niñx,154774,156225
Niñx,156867,159651
Adultx,156968,158605
Niñx,161018,163229
Niñx,164359,165979
Niñx,168460,168865
Niñx,173016,175244
Niñx,176779,178686
Niñx,180306,181352
Niñx,183057,183614
Niñx,187579,188794
Niñx,190634,195494
Niñx,195510,195544
Niñx,195578,195595
Niñx,195612,199392
Niñx,200607,203307
Niñx,204083,204674
Niñx,206209,208774
Niñx,208943,209702
Niñx,210377,214917
Niñx,217262,219338
Niñx,219895,221363
Niñx,223253,225312
Niñx,225683,228839
Adultx,227607,227691
Niñx,230475,232062
Niñx,234205,235352
Niñx,238255,243132
Niñx,244414,245106
Niñx,246557,246945
Niñx,250371,256514
Niñx,259079,262167
Niñx,278957,281472
Niñx,282822,288762
Niñx,289234,291529
Niñx,291647,292947
Niñx,293453,293655
Niñx,293909,295596
Niñx,297874,298397
Niñx,302059,302279
Niñx,302667,303443
Niñx,307662,308438
Niñx,310294,310800
Niñx,316082,316555
Niñx,317989,318647
Niñx,323946,327810
Niñx,328907,330409
Niñx,331118,331928
Niñx,332772,333295
Niñx,333615,333919
Niñx,337311,337497
Adultx,339505,341580
Niñx,345310,347183
Niñx,349731,351014
Niñx,352954,355705
Niñx,356903,357882
Niñx,359097,360312
Niñx,363062,364446
Niñx,370926,371905
Adultx,372411,372698
Niñx,373390,374622
Niñx,376410,377980
Niñx,379212,379532
Niñx,382232,382469
Niñx,383734,384308
Niñx,384612,387582
Niñx,389978,390855
Niñx,391075,391682
Niñx,391767,392442
Niñx,392627,397572
Niñx,398618,401892
Niñx,402449,403562
Niñx,404507,405385
Niñx,407511,408186
Niñx,408490,410987
Adultx,410025,410565
Niñx,411780,412067
Niñx,414194,416168
Niñx,417653,418699
Niñx,420758,420910
Niñx,421349,421889
Niñx,422192,423357
Adultx,422209,422665
Niñx,424504,427626
Niñx,428419,429246
Niñx,430360,430866
Niñx,431997,434055
Niñx,436300,436755
Niñx,438747,439894
Niñx,440805,441565
Niñx,442223,443100
Niñx,447539,448197
Niñx,449783,450340
Niñx,483347,485980
Niñx,486975,492173
Adultx,488427,489439
Niñx,492426,492477
Adultx,492477,492713
Niñx,498585,498974
Adultx,498974,499024
Adultx,499041,499058
Niñx,509335,510398
Niñx,515140,516878
Niñx,517587,519662
Adultx,518633,519595
Adultx,522210,522227
Adultx,522244,522396
Niñx,522919,523493
Niñx,525569,526125
Adultx,526125,526800
Adultx,528218,528269
Niñx,528707,530766
Adultx,530766,530817
Niñx,532504,532757
Adultx,532757,533348
Niñx,533787,535778
Niñx,536774,536976
Adultx,536976,537229
Niñx,537972,540064
Niñx,541802,542292
Niñx,543237,543439
Niñx,545481,546443
Niñx,548046,548637
Niñx,549869,555437
Niñx,556382,557429
Niñx,558863,559065
Niñx,566474,566609
Niñx,568094,568465
Niñx,573966,574034
Niñx,575046,577172
Niñx,578607,579045
Niñx,580294,581880
Niñx,587483,588225
Niñx,593727,594233
Niñx,600055,600831
Niñx,601557,603683
Niñx,604324,604932
Niñx,604965,605016
Niñx,605151,605860
Niñx,605910,607041
Adultx,606012,606839
Niñx,608948,614027
Adultx,609893,609977
Adultx,610062,610112
Adultx,613049,613420
Adultx,614027,614145
Niñx,614145,614264
Adultx,614264,614500
Niñx,614787,620541
Niñx,629586,631493
Niñx,633704,634362
Niñx,634817,635610
Niñx,636218,636809
Niñx,637467,638226
Niñx,639357,639829
Niñx,640251,644993
Adultx,640285,640538
Niñx,645280,649279
Niñx,650106,650865
Niñx,652604,653886
Niñx,654291,655405
Niñx,658341,658965
Niñx,662627,668702
Niñx,668972,676634
Niñx,677967,678473
Adultx,684379,684514
Niñx,688497,691163
Niñx,691416,695449
Adultx,693863,694167
Niñx,695534,697390
Adultx,695770,697035
Niñx,697575,697964
Niñx,698470,699820
Adultx,698655,699685
Adultx,700562,700782
Niñx,711261,718534
Adultx,715075,715480
Niñx,721977,722449
Niñx,722736,724896
Niñx,725115,727309
Niñx,728069,728102
Niñx,728254,729452
Adultx,728744,728811
Niñx,729672,730161
Niñx,731342,732254
Adultx,731427,731849
Niñx,733469,733502
Adultx,733502,733620
Niñx,733620,733975
Adultx,733975,734025
Niñx,734025,734599
Adultx,734970,735004
Niñx,735004,735038
Adultx,735038,735055
Niñx,735055,735105
Adultx,735105,735173
Niñx,735173,735561
Adultx,735561,735595
Niñx,735595,739510
Niñx,741383,743020
Niñx,743138,747711
Adultx,745551,746327
Niñx,748808,761059
Adultx,754005,755136
Adultx,755744,757617
Adultx,758140,758427
Niñx,761987,762004
Niñx,762038,764029
Niñx,764130,764350
Niñx,767573,767860
Niñx,767978,767995
Niñx,768231,772247
Adultx,768400,768855
Adultx,769868,769969
Niñx,772855,779082
Adultx,775386,775926
Adultx,776719,777715
Niñx,779487,781225
Niñx,781394,784853
Niñx,786169,789257
Adultx,786844,787249
Niñx,789932,792801
Niñx,794539,794877
Niñx,795029,797087
Adultx,795788,796935
Niñx,797830,801357
Niñx,802977,807398
Niñx,807550,809153
Niñx,809423,817776
Adultx,811937,812123
Adultx,813625,813726
Adultx,814401,814924
Niñx,818232,819818
Niñx,820324,821489
Niñx,821927,822704
Niñx,823024,823952
Niñx,825049,826028
Niñx,826500,829622
Adultx,827159,827867
Niñx,829892,831023
Niñx,831630,832491
Niñx,832964,834280
Niñx,834364,837419
Adultx,835529,836406
Niñx,837959,840338
Adultx,839410,840270
Niñx,841064,851880
Adultx,842852,843713
Adultx,845974,846818
Adultx,848792,852049
Adultx,852927,853686
