Sujeto,Onset,Offset
Niñx,6696,9244
Adultx,7658,8029
Adultx,8265,8367
Niñx,11522,12231
Niñx,12366,12872
Niñx,13159,14037
Niñx,14205,15049
Adultx,15049,16838
Niñx,15876,16315
Adultx,19403,21934
Adultx,23166,23858
Adultx,24550,25967
Niñx,25967,27115
Niñx,31013,33696
Niñx,34439,34962
Niñx,35249,35789
Niñx,36396,37982
Adultx,38168,39164
Niñx,39383,39754
Niñx,42100,44277
Niñx,44564,46015
Adultx,46302,46977
Niñx,46977,47179
Adultx,47179,47618
Niñx,47618,47669
Niñx,47820,49727
Niñx,50183,57017
Adultx,57119,58097
Niñx,58097,59430
Niñx,59565,62856
Adultx,63109,65269
Niñx,64476,64949
Niñx,65033,65387
Niñx,65522,66248
Niñx,66552,73454
Niñx,73960,76221
Niñx,77217,78314
Adultx,79917,81722
Niñx,81385,84051
Niñx,84979,86565
Niñx,86768,87426
Niñx,88624,90177
Niñx,90430,90970
Niñx,91527,91763
Niñx,93349,94632
Niñx,94919,95020
Niñx,96269,98361
Niñx,100892,103272
Niñx,104959,106208
Niñx,107187,108587
Niñx,109920,110393
Niñx,111405,112806
Niñx,113346,114207
Niñx,115725,116063
Niñx,117497,117801
Adultx,118139,118155
Niñx,118155,118324
Adultx,118324,118341
Niñx,118341,118375
Niñx,120130,120484
Niñx,121311,121851
Niñx,122526,123505
Niñx,123758,123893
Niñx,123910,126306
Adultx,126424,126947
Niñx,126947,129765
Niñx,131436,133208
Niñx,133377,134035
Niñx,134609,137292
Niñx,139435,140616
Niñx,144396,147822
Niñx,150269,152024
Niñx,156765,157474
Niñx,159162,159567
Niñx,160934,164798
Niñx,165119,166114
Niñx,167430,168713
Niñx,170012,171362
Niñx,172037,172071
Adultx,172071,173303
Niñx,173303,178568
Adultx,176813,178720
Niñx,178720,178770
Niñx,179209,180947
Niñx,182584,184356
Niñx,187360,188946
Niñx,191798,192017
Niñx,195713,196337
Niñx,204370,204927
Niñx,205095,206496
Niñx,206952,211660
Niñx,211879,212115
Niñx,212689,219405
Niñx,221228,222409
Adultx,225632,226560
Niñx,226932,228029
Adultx,228029,228045
Niñx,228045,228062
Adultx,228062,228383
Adultx,231269,233310
Niñx,233648,234019
Niñx,234323,234779
Adultx,235572,235825
Adultx,241124,242119
Niñx,242119,243925
Niñx,245190,247013
Adultx,247013,247671
Niñx,248515,249747
Niñx,250979,251805
Niñx,254860,255855
Adultx,259281,263078
Niñx,260243,261019
Niñx,262572,262859
Adultx,264310,264344
Niñx,264344,266217
Adultx,266419,266436
Niñx,266436,267381
Adultx,267381,267972
Niñx,267972,268022
Adultx,268022,268073
Niñx,268073,268174
Adultx,268174,268967
Niñx,268967,269001
Adultx,269001,269035
Niñx,269997,270840
Niñx,274165,277928
Niñx,279767,281522
Niñx,282079,287834
Adultx,284492,285758
Adultx,288188,290264
Niñx,290399,291259
Niñx,291799,297689
Adultx,296929,297486
Niñx,297790,302312
Niñx,304962,305249
Niñx,305924,308185
Niñx,309045,310109
Niñx,310530,311610
Niñx,313939,318074
Niñx,318765,320875
Niñx,321330,322680
Niñx,324756,325600
Niñx,325870,330578
Niñx,331185,334223
Niñx,335252,335759
Niñx,344449,344753
Adultx,345833,346035
Niñx,347200,349410
Niñx,352009,352195
Niñx,352769,353798
Niñx,354709,355485
Niñx,356886,357629
Adultx,357629,359097
Adultx,359299,360666
Niñx,359333,359552
Niñx,362556,364463
Niñx,364750,366015
Niñx,367568,369677
Niñx,369863,370926
Niñx,376815,376832
Adultx,376832,376917
Niñx,376917,377035
Adultx,377035,377727
Niñx,377727,379431
Niñx,380460,381456
Niñx,385270,385911
Niñx,389590,391530
Niñx,394163,395901
Adultx,413586,415999
Niñx,417282,418497
Adultx,419003,419965
Niñx,419965,420387
Adultx,420387,420792
Niñx,420792,421973
Adultx,420876,421821
Adultx,421973,422344
Niñx,422344,422699
Adultx,422699,423137
Adultx,423745,424437
Niñx,425112,427727
Adultx,427035,427660
Adultx,427727,428149
Adultx,428790,432182
Niñx,432233,433144
Adultx,433380,433836
Adultx,433904,434174
Niñx,434174,435186
Adultx,435456,437279
Niñx,437279,437295
Niñx,437312,439472
Niñx,442122,442864
Niñx,442965,443792
Adultx,444349,445902
Niñx,445969,447117
Adultx,447910,448062
Niñx,448062,448112
Adultx,448112,448197
Adultx,448990,450239
Adultx,451234,451707
Adultx,452567,454424
Niñx,455909,456735
Adultx,457090,457967
Niñx,457967,459824
Adultx,460262,460836
Niñx,461444,463384
Niñx,463485,463519
Adultx,463519,463924
Niñx,463992,464380
Niñx,465038,467299
Niñx,467434,467789
Adultx,468464,468852
Niñx,471434,471957
Adultx,472632,473813
Niñx,474454,475264
Niñx,476580,476817
Niñx,477289,478015
Adultx,479331,480715
Niñx,481204,481896
Niñx,485271,486891
Niñx,489490,490654
Niñx,491903,493034
Niñx,496864,498248
Niñx,499868,499969
Adultx,499969,500273
Niñx,500779,504407
Niñx,504964,506922
Niñx,510668,511022
Niñx,511596,512035
Adultx,513807,515444
Adultx,515832,515933
Niñx,518481,518751
Adultx,518599,518768
Niñx,518768,518802
Adultx,518802,518852
Niñx,518852,518954
Adultx,518954,518970
Niñx,518970,519072
Adultx,519072,519392
Niñx,519392,519662
Adultx,519662,519679
Niñx,519679,519713
Adultx,520894,520911
Niñx,520911,521637
Niñx,525045,530226
Niñx,531374,535322
Niñx,536132,538444
Niñx,544013,544620
Niñx,546443,547017
Niñx,548029,548097
Adultx,548097,549869
Adultx,553530,554374
Niñx,555235,555859
Adultx,556045,557580
Niñx,557580,557631
Adultx,557631,557699
Niñx,557699,557850
Adultx,557850,557867
Adultx,558728,559690
Niñx,564449,564803
Niñx,564972,565073
Niñx,565191,565326
Niñx,565849,570287
Niñx,570878,570979
Adultx,570979,571604
Niñx,571604,571637
Adultx,577493,578100
Niñx,578809,580024
Adultx,579417,579889
Adultx,582572,584125
Adultx,584142,584175
Adultx,588580,589002
