Sujeto,Onset,Offset
Adultx,60966,62772
Adultx,62856,62873
Niñx,62873,62907
Adultx,62907,62974
Niñx,62974,68627
Niñx,69015,69539
Niñx,69707,72576
Niñx,73251,79815
Adultx,75310,75428
Adultx,76187,76862
Adultx,77824,78955
Niñx,79832,94058
Adultx,88523,88540
Adultx,90261,90666
Adultx,91999,93214
Adultx,94514,95239
Niñx,95239,100049
Adultx,95813,97416
Adultx,100049,100099
Niñx,100099,100150
Adultx,100150,101500
Niñx,100960,103120
Adultx,102090,102344
Adultx,103120,103221
Niñx,103221,106377
Adultx,103238,105111
Niñx,107085,115742
Adultx,107170,107845
Adultx,110730,111119
Adultx,112739,112772
Niñx,116181,118240
Niñx,118307,124416
Adultx,121159,121919
Adultx,123994,124264
Niñx,124467,124500
Niñx,124534,125867
Niñx,126863,132347
Adultx,133107,133731
Adultx,134001,134254
Adultx,134744,134777
Niñx,134777,146033
Adultx,135064,135486
Adultx,137039,137680
Adultx,138726,139536
Adultx,140279,140565
Adultx,141038,141544
Adultx,143080,144700
Niñx,146202,150977
Adultx,147062,147484
Niñx,152952,153610
Niñx,154335,154875
Niñx,155314,157238
Niñx,157457,157710
Niñx,159162,165524
Adultx,160427,160512
Adultx,160529,160562
Adultx,161659,162992
Niñx,166013,166334
Niñx,166485,167532
Niñx,168105,172257
Adultx,169084,169540
Adultx,170839,171210
Niñx,172392,172527
Niñx,172864,175024
Niñx,175665,176374
Niñx,176729,176982
Adultx,176982,177032
Adultx,177876,178095
Niñx,182972,186820
Niñx,187849,192979
Niñx,193435,193620
Niñx,195494,197316
Niñx,197468,198430
Niñx,198801,199814
Adultx,200657,200826
Adultx,200978,201096
Niñx,203560,206310
Niñx,207053,207441
Niñx,208032,213752
Adultx,213752,215727
Niñx,216419,221667
Adultx,221667,221717
Adultx,221835,222595
Niñx,223152,223894
Adultx,223894,224063
Adultx,224181,225143
Niñx,225599,230644
Niñx,230965,234188
Niñx,234576,237057
Niñx,237394,250034
Adultx,244330,245022
Adultx,246895,247722
Niñx,251924,253037
Niñx,253763,255400
Adultx,254016,254117
Niñx,256429,259686
Adultx,257408,257577
Niñx,259973,260732
Niñx,262487,263517
Niñx,266875,267027
Niñx,268090,269980
Niñx,271971,272427
Niñx,275515,276156
Niñx,277911,283041
Adultx,278029,279396
Adultx,282383,284256
Niñx,283665,287732
Adultx,287732,287800
Niñx,288795,289133
Niñx,290415,291377
Niñx,292626,294094
Niñx,295512,296035
Niñx,299292,302549
Adultx,300979,301587
Niñx,303224,308151
Niñx,309434,317179
Niñx,318867,321550
Niñx,323457,323946
Adultx,323946,324351
Niñx,324351,324452
Niñx,325077,325380
Niñx,325971,326410
Niñx,328317,331742
Niñx,334037,335337
Niñx,335742,336822
Adultx,335809,336029
Niñx,339471,340349
Niñx,340669,343605
Niñx,343825,349022
Adultx,346592,347267
Niñx,349124,358725
Adultx,356211,356481
Adultx,357257,357679
Niñx,358979,359400
Niñx,359974,364311
Adultx,362303,362573
Niñx,365121,366353
Niñx,366893,367804
Niñx,368310,368564
Niñx,368682,369559
Niñx,370200,373474
Adultx,371095,371550
Adultx,372377,372529
Niñx,373980,374065
Niñx,374250,375719
Niñx,375752,378857
Adultx,377676,377828
Niñx,382992,385388
Niñx,385540,385844
Niñx,387008,388037
Adultx,388037,388577
Niñx,388864,388898
Adultx,388898,389404
Niñx,388915,389337
Niñx,389404,390029
Adultx,390029,391784
Niñx,391986,392003
Adultx,392003,394889
Niñx,440991,441582
Niñx,442712,442949
Niñx,443084,443100
Niñx,443117,443235
Niñx,444045,444214
Niñx,448517,448551
Adultx,448551,448804
Niñx,461849,462861
Niñx,462962,463030
Niñx,463249,463266
Niñx,463283,465105
Niñx,489625,490958
Niñx,492342,494029
Niñx,500526,500880
Niñx,503175,503277
Niñx,503614,504846
Adultx,503682,503800
Niñx,507495,510803
Adultx,510314,510364
Adultx,510803,510820
Niñx,512777,514448
Niñx,515190,518076
Niñx,518329,519224
Niñx,524100,526733
Adultx,529129,529146
Niñx,529146,529247
Adultx,529247,529298
Adultx,529349,529382
Adultx,529467,529484
Niñx,530310,530462
Niñx,530513,536099
Adultx,532217,532302
Niñx,536470,538022
Adultx,536824,537027
Niñx,540722,541752
Niñx,543220,547017
Niñx,548468,550695
Niñx,553142,556939
Niñx,557969,561023
Adultx,561023,563858
Niñx,561293,561479
Niñx,562424,562964
Niñx,563436,563622
