Sujeto,Onset,Offset
Adultx,135402,138929
Niñx,135503,136026
Adultx,140059,140700
Niñx,140279,141190
Adultx,140802,142034
Niñx,142034,143299
Adultx,142050,142574
Niñx,143991,144717
Niñx,144970,145307
Niñx,146657,147248
Niñx,147450,150572
Adultx,148125,148294
Niñx,150758,152209
Niñx,152395,157272
Adultx,154589,155534
Niñx,157710,158470
Niñx,160242,166502
Adultx,162199,163144
Adultx,163920,165102
Niñx,167785,169894
Adultx,167970,168494
Adultx,168764,168780
Niñx,171717,173033
Niñx,173860,175784
Niñx,176627,179327
Niñx,179564,180475
Niñx,180863,181251
Niñx,181386,181572
Niñx,182280,183310
Niñx,183563,184137
Niñx,184609,185065
Niñx,185301,186027
Niñx,187630,188254
Niñx,189554,189975
Niñx,190549,191275
Niñx,192203,192321
Niñx,192726,194262
Niñx,194532,196034
Niñx,196202,197147
Niñx,197265,198919
Adultx,197670,197924
Niñx,198970,199695
Niñx,201805,203847
Niñx,204235,204623
Niñx,204640,205737
Adultx,205062,205112
Adultx,205129,205180
Niñx,205872,210462
Adultx,208386,208892
Adultx,209449,209517
Niñx,211491,212419
Niñx,212639,216317
Adultx,214174,214259
Niñx,216452,222038
Adultx,218224,219861
Niñx,222156,224805
Adultx,222224,222392
Adultx,222477,223877
Niñx,225210,225362
Niñx,225852,231893
Adultx,226257,226341
Adultx,227455,227556
Adultx,229092,230830
Adultx,231302,232214
Niñx,232214,233159
Adultx,232619,233142
Adultx,233159,234964
Niñx,234087,236213
Adultx,236213,236534
Niñx,236534,236567
Adultx,236567,236888
Niñx,236905,240887
Niñx,240989,243520
Niñx,244279,245258
Niñx,245393,247266
Niñx,247975,255096
Niñx,255602,257374
Adultx,256750,256885
Niñx,258910,260395
Niñx,262909,262926
Niñx,262943,263145
Niñx,266250,267162
Niñx,268748,268934
Niñx,269069,269912
Niñx,270452,270621
Niñx,270638,271043
Niñx,271971,272005
Niñx,272106,272123
Niñx,272207,273861
Niñx,274401,275515
Niñx,278586,278620
Niñx,278637,279379
Niñx,280712,281033
Niñx,297368,298853
Niñx,300962,301030
Niñx,301199,301502
Niñx,301975,302025
Niñx,302650,304219
Niñx,304962,305232
Niñx,305249,305282
Niñx,305299,307139
Niñx,307155,308573
Niñx,308725,310058
Niñx,311155,316217
Adultx,311729,312100
Adultx,312876,312994
Adultx,313450,313770
Adultx,314226,314665
Adultx,314682,314699
Niñx,316268,317027
Niñx,325296,326055
Niñx,327608,328401
Niñx,329549,330409
Niñx,330983,331034
Niñx,331185,331236
Niñx,331304,331371
Niñx,332485,334189
Niñx,335590,336214
Niñx,336720,337665
Niñx,337784,337834
Niñx,337851,337902
Niñx,337935,338408
Niñx,338965,342593
Niñx,344027,346255
Niñx,347520,348027
Niñx,348229,348314
Niñx,348330,348347
Niñx,348972,349005
Niñx,349984,351621
Niñx,353663,356785
Niñx,359873,359940
Niñx,361476,361560
Niñx,361577,362303
Niñx,367787,367821
Niñx,367855,367889
Niñx,367956,368024
Niñx,373964,376427
Niñx,379347,380123
Niñx,383667,384764
Niñx,384814,385405
Adultx,387329,387666
Adultx,387683,387700
Niñx,391514,393252
Niñx,405537,405874
Niñx,406009,406026
Niñx,406077,406397
Niñx,407427,407680
Niñx,409485,409941
Niñx,410684,412118
Adultx,411207,411730
Niñx,412489,413940
Adultx,412793,412844
Niñx,413991,414345
Niñx,414970,417366
Adultx,415358,415493
Niñx,417383,417400
Niñx,417417,418514
Adultx,417822,417906
Niñx,418750,419796
Niñx,419830,424926
Adultx,424437,424470
Niñx,424943,429314
Adultx,428183,428284
Niñx,429972,430022
Niñx,430174,430208
Niñx,430461,430562
Niñx,436739,438510
Niñx,438696,439320
Niñx,440434,442409
Niñx,445564,448349
Niñx,450644,451150
Niñx,453107,453664
Niñx,455250,456904
Niñx,462102,462186
Niñx,462844,464937
Niñx,466860,467772
Niñx,468717,470421
Niñx,470843,473239
Niñx,474505,475365
Niñx,475787,477627
Niñx,478234,479601
Niñx,479685,480360
Niñx,480479,482284
Niñx,486098,487262
Niñx,490519,493489
Adultx,490857,490874
Adultx,492089,492375
Niñx,493962,494232
Niñx,495885,498062
Niñx,498282,498923
Niñx,499598,501488
Niñx,501589,502855
Adultx,502264,502332
Niñx,503294,503648
Niñx,503850,506027
Niñx,506112,506567
Niñx,506804,508795
Niñx,509672,510482
Niñx,515764,517637
Niñx,518633,519207
Niñx,519460,520337
Niñx,522008,522025
Niñx,522312,524134
Niñx,525180,526885
Adultx,526024,526176
Adultx,526227,526294
Niñx,527948,529450
Niñx,530547,531880
Niñx,533145,534546
Niñx,534934,536706
Adultx,535052,535559
Niñx,536790,538545
Niñx,540064,541515
Niñx,541752,542849
Niñx,543135,544806
Niñx,547135,549700
Niñx,550054,550071
Niñx,550560,551944
Adultx,550611,550932
Niñx,552197,553041
Niñx,553750,553817
Niñx,553952,554070
Niñx,554340,554357
Niñx,554391,554442
Niñx,554745,554864
Niñx,557445,557547
Niñx,559892,560449
Niñx,560972,562289
Niñx,562727,563959
Niñx,563976,564010
Niñx,565309,569039
Niñx,569190,570540
Niñx,570760,571907
Niñx,572920,573915
Niñx,573949,573966
Niñx,575822,576008
Niñx,576210,576936
Niñx,577425,578421
Niñx,580530,582319
Niñx,582640,582910
Niñx,584952,587989
Adultx,586420,586690
Niñx,588327,589035
Niñx,589829,590554
Niñx,590807,591600
Niñx,596511,597743
Niñx,601523,602249
Niñx,603025,604071
Niñx,604459,607210
Niñx,616052,617352
Niñx,618820,619022
Niñx,619765,622330
Niñx,622499,624203
Niñx,624389,625502
Niñx,630835,631037
Niñx,631105,632033
Niñx,632117,632961
Niñx,639930,642799
Niñx,642934,644132
Niñx,644385,645904
Niñx,646697,649313
Niñx,649735,652199
Adultx,649819,650562
Niñx,653279,654224
Niñx,656299,657278
Niñx,658830,661530
Niñx,661969,662273
Niñx,662307,662340
Niñx,662357,662374
Niñx,662543,662644
Niñx,662695,662830
Niñx,664517,667605
Niñx,667808,669546
Niñx,670272,675030
Adultx,670896,671588
Adultx,673934,674001
Niñx,675081,676026
Niñx,692412,694167
Niñx,695095,696495
Niñx,696968,697609
Niñx,698402,700579
Niñx,701760,703077
Niñx,712004,712037
Niñx,712071,713539
Niñx,723225,723867
Niñx,725132,725774
Niñx,725976,727107
Niñx,727174,728153
Niñx,728187,728237
Niñx,728946,730212
Niñx,730583,733654
Niñx,733772,735443
Adultx,734717,735224
Niñx,736725,737991
Niñx,738987,740455
Adultx,739139,739358
Niñx,767033,768130
Niñx,769767,771910
Niñx,781815,783942
Niñx,784583,785764
Niñx,789865,791046
Niñx,791637,792565
Niñx,792683,794421
Niñx,796176,796665
Niñx,797070,798167
Niñx,798420,801390
Niñx,803517,803787
Niñx,805508,805626
Niñx,809811,810216
Niñx,810857,811887
Niñx,812680,813338
Niñx,813389,813591
Niñx,814789,816645
Niñx,817219,818215
Niñx,819818,820780
Niñx,822282,822299
Niñx,822383,822569
Niñx,822585,822687
Niñx,822704,822720
Niñx,822754,823024
Niñx,824273,827614
Niñx,828762,830112
Niñx,832626,832947
Niñx,834752,835022
Adultx,845130,845164
Niñx,845164,845637
Adultx,845637,845654
Niñx,846869,849029
Niñx,849855,851948
Niñx,851965,852015
Niñx,852623,854091
Adultx,852809,853247
Niñx,856167,858057
Niñx,859879,861533
Niñx,864975,865617
Niñx,865819,867237
Niñx,868502,870645
Niñx,871624,873497
Niñx,874105,877345
Adultx,875269,875387
Niñx,879690,881580
Niñx,882627,883200
Niñx,883234,884297
Niñx,893157,893460
Niñx,897021,899384
Niñx,900565,902556
Niñx,903940,904919
Niñx,906235,907939
Adultx,906842,906910
Niñx,908580,909779
Niñx,916613,918621
Adultx,917254,917727
Niñx,923346,924561
Niñx,925725,927818
Niñx,928020,928982
Niñx,929759,931024
Niñx,931834,933876
Niñx,934079,937808
Niñx,951966,952675
Niñx,953974,955594
Niñx,955763,956117
Niñx,957164,957754
Niñx,957957,959965
Niñx,960353,961095
Niñx,961467,963306
Niñx,967575,968031
Niñx,968183,969077
Niñx,969972,970900
Niñx,971136,971693
Niñx,972655,972874
Niñx,973448,974039
Niñx,974123,977262
Niñx,978207,978257
Niñx,979202,979877
Niñx,980519,982341
Niñx,983978,984484
Adultx,985497,986003
Niñx,986914,989867
Niñx,992669,994390
Niñx,1000077,1001140
Niñx,1004160,1005122
Niñx,1005477,1005865
Niñx,1005966,1006050
Niñx,1006962,1008008
Niñx,1009965,1010894
Niñx,1010978,1012058
Niñx,1012345,1016007
Niñx,1016935,1017762
Adultx,1017087,1017627
Niñx,1017795,1019669
Niñx,1020850,1021204
Niñx,1021390,1023600
Adultx,1022571,1022622
Niñx,1024140,1028106
Niñx,1031346,1031751
Niñx,1060574,1060759
Niñx,1060810,1060894
Niñx,1060962,1061181
Niñx,1061907,1063358
Niñx,1063797,1068032
Adultx,1066480,1066952
Adultx,1066969,1067003
Adultx,1067020,1067037
Adultx,1067054,1067104
Adultx,1067155,1067408
Niñx,1068876,1069028
Adultx,1069028,1069365
Niñx,1069365,1069433
Adultx,1069433,1069467
Niñx,1069973,1070007
Niñx,1070024,1070074
Niñx,1070479,1070513
Niñx,1070614,1071340
Adultx,1071340,1071930
Niñx,1071930,1072032
Adultx,1072032,1072437
Niñx,1072437,1072538
Adultx,1072538,1072572
Niñx,1073230,1077094
Niñx,1090240,1093210
Niñx,1095522,1096129
Niñx,1096382,1098779
Adultx,1099285,1099673
Niñx,1114337,1115029
Niñx,1115198,1116278
Niñx,1116497,1118269
Adultx,1116987,1117037
Adultx,1117257,1117392
Niñx,1118522,1118539
Niñx,1118556,1122150
Adultx,1121273,1121290
Adultx,1121374,1121594
Niñx,1127399,1130301
Niñx,1130892,1132765
Niñx,1132967,1133035
Niñx,1133052,1133220
Niñx,1133355,1133372
Niñx,1133389,1134030
Niñx,1134047,1134098
Niñx,1135313,1138080
Niñx,1139397,1144274
Niñx,1144527,1146079
Niñx,1146315,1146687
Adultx,1146687,1147109
Niñx,1147109,1147125
Niñx,1147176,1148003
Niñx,1148796,1153319
Adultx,1149015,1149353
Niñx,1153707,1153825
Niñx,1154145,1158887
Adultx,1156778,1157200
Niñx,1159444,1160744
Niñx,1161773,1162262
Niñx,1162431,1162532
Niñx,1164557,1165148
Niñx,1167460,1168793
Adultx,1167747,1167814
Niñx,1175965,1176049
Niñx,1176269,1182462
Niñx,1182580,1184554
Niñx,1184672,1186714
Adultx,1185077,1185617
Niñx,1187085,1187794
Niñx,1188435,1194561
Adultx,1188469,1189364
Adultx,1189887,1191996
Adultx,1192401,1192502
Adultx,1192941,1193970
Niñx,1195725,1197615
Niñx,1198274,1200636
Niñx,1201598,1203032
Niñx,1207032,1207740
Niñx,1207960,1208027
Niñx,1208145,1209107
Niñx,1210457,1212584
Niñx,1212955,1214119
Niñx,1241322,1242824
Niñx,1245355,1246317
Niñx,1247954,1248443
Niñx,1250063,1250738
Niñx,1253522,1254029
Niñx,1255851,1256037
Niñx,1277822,1279290
Niñx,1279645,1279662
Niñx,1280910,1281754
Adultx,1285298,1287053
