Sujeto,Onset,Offset
Adultx,36565,37881
Niñx,67125,67497
Niñx,68003,68037
Niñx,68138,68442
Niñx,68459,68475
Niñx,80389,80929
Niñx,80963,81284
Niñx,84962,86397
Niñx,87814,92100
Adultx,90649,90683
Niñx,92860,93434
Niñx,93602,93670
Niñx,114915,123032
Niñx,145341,149796
Niñx,150707,150944
Niñx,150960,151028
Niñx,162975,163026
Niñx,163971,164039
Niñx,186010,186516
Niñx,190769,190870
Niñx,190971,191039
Niñx,195190,201383
Niñx,201434,201467
Niñx,201484,201805
Niñx,219692,220789
Niñx,226679,231083
Adultx,228450,228636
Adultx,228822,228855
Adultx,230695,230796
Niñx,231117,231285
Niñx,240432,241360
Niñx,243452,243874
Niñx,329937,331658
Niñx,357814,360480
Niñx,394146,394180
Niñx,394197,394214
Niñx,394365,394399
Niñx,397622,397994
Adultx,401554,401723
Adultx,401976,402077
Niñx,403107,403731
Adultx,404170,404659
Niñx,406887,408287
Niñx,409232,412034
Niñx,412388,413029
Niñx,413232,413434
Niñx,415594,416117
Niñx,419729,420117
Niñx,423171,424116
Adultx,427238,427356
Adultx,427947,427980
Niñx,427980,428352
Niñx,429179,430596
Niñx,431355,433701
Niñx,433971,434039
Niñx,434309,436924
Niñx,437481,438274
Niñx,438915,439590
Niñx,508508,509605
Adultx,509605,509622
Adultx,511579,512305
Adultx,512963,513705
