Sujeto,Onset,Offset
Adultx,53322,54030
Adultx,54435,56967
Niñx,54452,55870
Niñx,56444,57220
Adultx,57220,57270
Niñx,58637,60359
Niñx,60392,63413
Adultx,60595,61320
Adultx,61675,63227
Niñx,63615,65489
Niñx,65624,68408
Adultx,65759,68357
Adultx,68408,68425
Niñx,69235,69944
Adultx,69944,70787
Niñx,71766,75209
Adultx,72205,77267
Niñx,75462,82566
Adultx,78195,83039
Niñx,84540,90531
Adultx,88034,88810
Adultx,89046,90362
Niñx,91172,91881
Niñx,92860,94092
Adultx,93045,93788
Niñx,94227,115624
Adultx,114089,114494
Niñx,115962,118628
Niñx,119084,120467
Niñx,121024,125631
Adultx,124214,124821
Niñx,127049,135672
Adultx,127099,127470
Adultx,133039,133799
Niñx,135874,136026
Niñx,137174,139502
Niñx,140346,145358
Niñx,145898,148986
Adultx,146269,146421
Niñx,149070,149864
Niñx,150218,158504
Adultx,152530,153087
Niñx,159769,160157
Niñx,162081,162925
Niñx,163600,165000
Niñx,166519,167684
Niñx,171227,173927
Niñx,175311,181892
Niñx,182449,190245
Niñx,190735,193435
Adultx,192675,192979
Niñx,193654,195426
Niñx,195780,202902
Adultx,203492,203948
Niñx,203948,203965
Adultx,203965,204218
Niñx,204859,210344
Adultx,205112,205990
Niñx,212487,214292
Niñx,215676,218967
Niñx,220249,222629
Niñx,223067,224654
Adultx,223810,223962
Adultx,224029,224468
Niñx,224687,224805
Adultx,224805,224957
Niñx,224957,224974
Adultx,224974,225025
Niñx,225025,227269
Niñx,228332,230644
Adultx,229277,229919
Niñx,231066,235285
Adultx,233699,235150
Niñx,235808,237428
Niñx,237512,237749
Niñx,238289,238997
Adultx,238373,238424
Adultx,238457,238643
Niñx,239655,240229
Niñx,240584,241967
Adultx,240651,241478
Niñx,242558,245545
Adultx,242575,243284
Adultx,244380,244667
Niñx,245680,249291
Niñx,249561,251856
Adultx,251856,252261
Niñx,252936,253341
Niñx,253932,255957
Adultx,255957,255974
Niñx,255974,255990
Adultx,255990,256007
Niñx,256007,256109
Niñx,256480,256784
Niñx,257189,260344
Niñx,261509,264715
Adultx,264715,266166
Niñx,265356,265964
Niñx,266841,272039
Niñx,272325,272477
Niñx,275498,276038
Adultx,276038,276865
Niñx,276865,276966
Adultx,276966,277034
Niñx,278620,283007
Adultx,279075,279447
Niñx,283244,293858
Adultx,289420,289707
Niñx,294482,296946
Niñx,297115,299865
Niñx,300675,301755
Niñx,306919,307037
Niñx,308505,310379
Niñx,312977,312994
Niñx,313703,318765
Adultx,313754,315036
Adultx,317500,318445
Niñx,318782,319289
Adultx,319879,320031
Niñx,320031,320571
Niñx,321111,321786
Niñx,322292,324030
Niñx,324925,327085
Niñx,329194,335084
Adultx,329565,329633
Adultx,330764,330915
Adultx,331034,331405
Adultx,332569,334662
Niñx,335219,339269
Adultx,336012,336923
Adultx,338442,338830
Niñx,339370,343217
Adultx,341547,342272
Niñx,344264,345765
Niñx,346002,346694
Niñx,346947,348617
Niñx,349377,350980
Adultx,350102,350879
Adultx,351587,351604
Niñx,351925,352262
Adultx,352262,352380
Niñx,352380,352482
Adultx,352482,353039
Niñx,353039,360362
Niñx,360835,363164
Adultx,360902,362759
Niñx,363687,365408
Adultx,364615,365239
Niñx,365745,380663
Adultx,368715,369458
Adultx,372394,372985
Adultx,374740,374858
Niñx,381794,410346
Adultx,391564,391902
Adultx,397572,398365
Adultx,398719,398922
Adultx,403765,405503
Adultx,405537,405773
Adultx,407477,407865
Adultx,408456,408794
Niñx,410464,413282
Niñx,415409,416843
Niñx,417265,422209
Adultx,417687,418649
Adultx,419070,419324
Adultx,421602,423104
Niñx,423964,430748
Niñx,431069,433752
Niñx,434022,436266
Adultx,434140,434393
Niñx,437177,439388
Niñx,440232,441582
Niñx,442189,444467
Niñx,444518,449715
Adultx,444720,444805
Niñx,450576,451572
Adultx,450795,451184
Niñx,452027,453850
Adultx,452179,452989
Niñx,454035,457917
Adultx,454339,455065
Niñx,458288,462152
Niñx,463080,465662
Adultx,463367,463958
Adultx,465224,467333
Adultx,493894,494029
Niñx,494029,494063
Adultx,494063,494097
Niñx,494097,494282
Adultx,494282,494367
Adultx,494738,495025
Niñx,495025,499210
Adultx,496712,497252
Niñx,499851,501572
Adultx,499885,501522
Niñx,502787,504036
Niñx,504239,505133
Niñx,506010,507394
Adultx,506179,506989
Niñx,508322,508643
Niñx,509723,510702
Niñx,510769,513469
Niñx,513722,516962
Niñx,518582,522582
Niñx,522885,526902
Adultx,523695,524100
Niñx,527762,530766
Niñx,531644,533449
Adultx,532589,533264
Niñx,533618,535694
Adultx,534479,535643
Niñx,535980,536774
Niñx,537685,542629
Niñx,543389,545025
Niñx,545245,548637
Niñx,549059,552282
Niñx,552805,553564
Niñx,554070,555370
Adultx,554222,555252
Niñx,555454,556872
Niñx,557496,558981
Niñx,559825,567621
Adultx,565883,566946
Niñx,567773,569292
Adultx,567908,568600
Niñx,569680,570895
Niñx,572700,579062
Adultx,572920,573038
Adultx,574945,576008
Niñx,579400,580463
Niñx,581070,581627
Niñx,582353,587989
Niñx,588377,589710
Niñx,590824,596309
Niñx,596899,602468
Adultx,597000,597625
Adultx,600612,600780
Niñx,602738,615293
Adultx,603700,604290
Niñx,615799,616845
Adultx,616002,616559
Niñx,617605,618870
Niñx,619900,622735
Niñx,623207,624625
Adultx,623359,623528
Niñx,625030,628202
Niñx,628877,634294
Niñx,634919,635931
Niñx,636167,637315
Niñx,637433,639340
Adultx,637551,637973
Adultx,638445,640605
Niñx,641129,646410
Niñx,647001,648469
Niñx,648857,649144
Niñx,650730,654308
Niñx,657582,659910
Niñx,661682,663269
Niñx,663674,664281
Niñx,664838,665665
Niñx,666188,673613
Niñx,674322,675199
Niñx,675705,677157
Niñx,677275,678422
Niñx,678709,680616
Niñx,681831,683063
Niñx,683535,687096
Niñx,687670,691028
Niñx,691500,691619
Niñx,692243,696715
Niñx,697137,697727
Niñx,698031,699972
Adultx,698099,699803
Niñx,700107,704342
Niñx,707582,712695
Adultx,708274,709185
Adultx,710333,710940
Adultx,712695,712712
Niñx,712712,712746
Adultx,712746,712780
Adultx,712965,713033
Adultx,713354,713387
Niñx,713387,713421
Adultx,713421,713624
Niñx,713624,713674
Adultx,713674,713910
Niñx,715109,719040
Adultx,715530,716087
Adultx,718382,718956
Niñx,719294,719985
Niñx,720357,723023
Adultx,720981,722567
Niñx,724559,727090
Niñx,727815,731022
Niñx,731359,732574
Niñx,733553,736050
Adultx,734346,735645
Adultx,736050,736067
Niñx,736945,741771
Niñx,742260,744589
Niñx,745045,748589
Niñx,750107,752132
Niñx,752504,767472
Adultx,761684,763354
Niñx,769969,770796
Niñx,771201,773074
Niñx,773125,775994
Niñx,777479,778390
Niñx,778812,781647
Adultx,779571,781140
Niñx,782389,783520
Niñx,784380,784819
Niñx,790911,791620
Niñx,792109,793037
Niñx,793493,794117
Niñx,794472,796412
Niñx,796682,797324
Niñx,798032,798690
Adultx,798353,798522
Niñx,799011,802538
Adultx,801087,802167
Niñx,803196,803888
Niñx,804107,807179
Niñx,807297,808900
Adultx,807330,808849
Adultx,808900,813557
Niñx,810368,813135
