ID,ELAN,Pyannote BORIS (kappa elan),Whisper ELAN,Pyannote Whisper,Whisper Pyannote,SAM2 Gazelle,GazeLLE,SAM Pyfeat,Pyfeat N,Pyfeat A,GazeLLE source,PyFeat Done
C3A02,1,1,1,,,1,1,1,SP,SG,A,1
C3A03,1,1,1,,,1,1,1,SG,SP,N,1
C3A04,,,,1,1,1,1,1,SG,SP,N,1
C3A07,,1,,1,1,1,1,1,SP,SG,N,1
C3B04,,,,1,1,1,1,1,SG,SG,Único,1
C3B09,,,,1,1,1,1,1,SP,SG,A,1
C3B12,,,,1,1,1,1,1,SP,SG,A,1
C3B14,,,,1,1,1,1,1,SP,SG,A,1
C3C02,1,1,1,,,2,2,2,SP,SG,A,1
C3C04,1,1,1,,,2,2,1,SG,SP,N,1
C3D02,,,,1,1,1,1,1,SP,SG,A,1
C3D04,,,,1,1,2,2,2,SG,SP,N,1
C3D05,,,,1,1,1,1,1,SG,SP,N,1
C3D06,,,,1,1,2,2,2,SG,SP,N,1
C3D07,,,,1,1,1,1,1,SP,SG,A,1
C3D08,,,,1,1,1,1,1,SG,SP,N,1
C3D11,,,,1,1,1,1,1,SP,SG,A,1
C3D12,1,1,1,,,1,1,1,SG,SP,N,1
C3D13,,,,1,1,1,1,1,SG,SP,N,1
C3E01,,1,,1,1,1,1,1,SG,SG,N,1
C3E03,1,1,1,,,1,1,1,SG,SG,N,1
C3E04,1,1,1,,,1,1,1,SG,SG,A,1
C3E05,,,,1,1,1,1,1,SG,SG,N,1
C3E06,1,1,1,,,1,1,1,SG,SG,A,1
C3E08,,,,1,1,2,2,1,SG,SG,A,1
C3E09,1,1,1,,,1,1,1,SP,SG,A,1
C3E10,1,1,1,,,1,1,1,SG,SG,N,1
C3F01,1,1,1,,,1,1,1,SG,SP,N,1
C3F02,,,,1,1,2,2,2,SG,SP,N,1
C3F07,,,,1,1,1,1,1,SG,SG,N,1
C3F08,1,1,1,,,1,1,1,SG,SP,N,1
C3F09,1,1,1,,,1,1,1,SG,SG,Único,1
C3F12,,,,1,1,1,1,1,SG,SG,A,1
C3F14,,1,,1,1,1,1,1,SG,SG,A,1
C3F19,,1,,1,1,1,1,1,SG,SG,A,1
C3F20,,,,1,1,1,1,1,SG,SG,A,1
C3F21,,,,1,1,2,2,1,SG,SG,A,1
C3G01,,,,1,1,1,1,1,SG,SP,N,1
C3G02,,,,1,1,1,1,1,SP,SG,A,1
C3G04,1,1,1,,,1,1,1,SG,SP,N,1
C3G05,1,1,1,,,1,1,1,SG,SP,N,1
C3G07,1,1,1,,,1,1,1,SG,SP,N,1
C3G08,,,,1,1,1,1,1,SP,SG,A,1
C3G10,1,1,1,,,2,2,2,SP,SG,A,1
C3G11,,,,1,1,1,1,1,SG,SP,N,1
C3H01,1,1,1,,,2,2,2,SP,SG,A,1
C3H03,,,,1,1,1,1,1,SP,SG,A,1
C3H05,1,1,1,,,1,1,1,SP,SG,A,1
C3H06,,,,1,1,1,1,1,SP,SG,A,1
C3H07,1,1,1,,,1,1,1,SG,SP,N,1
C3H08,1,1,1,,,1,1,1,SG,SP,N,1
C3H13,,,,1,1,2,2,2,SP,SG,A,1
C3H14,,1,,1,1,1,1,1,SP,SG,A,1
C3H15,1,1,1,,,1,1,1,SP,SG,A,1
C3H16,1,1,1,,,1,1,1,SP,SG,A,1
C3I02,,,,1,1,1,1,1,SG,SP,N,1
C3I03,1,1,1,,,1,1,1,SG,SP,N,
C3I04,1,1,1,,,1,1,1,SG,SP,N,
C3I05,1,1,1,,,1,1,1,SG,SP,N,
C3I06,1,1,1,,,1,1,1,SP,SG,A,
C3I07,,,,1,1,1,1,1,SP,SG,A,
C3I09,,,,1,1,1,1,1,SG,SP,N,
C3I10,,,,1,1,1,1,1,SG,SP,N,
C3I11,,,,1,1,1,1,1,SG,SP,N,
C3I12,1,1,1,,,1,1,1,SP,SG,A,
C3I14,1,1,1,,,1,1,1,SG,SP,N,
C3I16,,,,1,1,1,1,1,SP,SG,A,
C3I18,,,,1,1,1,1,1,SP,SG,A,
C3I20,1,1,1,,,1,1,1,SP,SG,A,
