ID,CBQ1,CBQ2,CBQ3,CBQ4,CBQ5,CBQ6,CBQ7,CBQ8,CBQ9,CBQ10,CBQ11,CBQ12,CBQ13,CBQ14,CBQ15,CBQ16,CBQ17,CBQ18,CBQ19,CBQ20,CBQ21,CBQ22,CBQ23,CBQ24,CBQ25,CBQ26,CBQ27,CBQ28,CBQ29,CBQ30,CBQ31,CBQ32,CBQ33,CBQ34,CBQ35,CBQ36,SUR,NAF,EFC
AA303,,1,6,5,5,1,5,5,5,5,6,,4,6,6,4,4,4,4,2,6,4,4,6,6,3,6,4,4,4,4,4,6,6,4,4,4.63636363636364,4.27272727272727,4.8
AA306,5,7,6,6,4,5,5,3,2,3,2,6,6,3,5,6,6,5,3,6,4,2,6,6,7,3,2,6,4,3,2,6,6,4,6,5,4.54545454545455,4.45454545454545,4.45454545454545
AA404,,,6,7,5,3,5,7,7,3,7,7,5,6,7,7,6,6,4,1,6,1,4,7,6,1,4,5,5,6,4,5,6,1,6,6,4.36363636363636,4.81818181818182,5.90909090909091
BA315,2,5,7,7,6,3,6,6,6,5,2,7,4,6,4,3,5,4,6,2,5,6,7,6,7,6,3,1,3,2,6,4,7,4,6,7,5,4.81818181818182,4.90909090909091
AB304,4,4,6,4,5,3,6,2,5,6,3,6,6,5,5,5,5,5,6,5,5,6,6,6,6,2,2,5,4,4,4,6,5,6,6,6,5.45454545454545,4.45454545454545,4.72727272727273
BB217,4,5,6,6,3,3,4,6,7,6,4,5,6,6,6,6,6,6,5,6,6,2,6,6,7,3,5,4,3,5,3,6,6,2,5,6,4.63636363636364,4.90909090909091,5.54545454545455
BB214,2,2,6,2,2,2,,2,4,5,6,4,6,2,5,5,2,6,6,6,5,2,6,2,6,6,6,2,6,2,6,5,6,6,2,2,4.6,4.09090909090909,4
BB222,,5,5,3,6,5,6,5,6,3,5,5,2,,5,2,6,6,2,5,6,2,5,5,5,6,5,5,5,5,3,6,5,3,2,3,3.27272727272727,5.1,5.09090909090909
AB313,4,6,6,5,4,3,5,6,5,4,5,6,3,6,6,5,6,5,4,3,4,3,4,4,5,5,4,4,3,4,3,4,4,4,3,4,4.09090909090909,4.45454545454545,4.45454545454545
BA308,2,5,6,2,2,6,6,5,7,6,4,7,2,2,6,7,5,6,6,2,6,4,2,7,4,3,2,1,2,6,6,2,6,5,5,7,4.45454545454545,3.09090909090909,6
BC110,4,6,,,2,6,5,4,7,5,6,6,4,6,5,5,6,4,3,6,7,3,6,7,6,5,5,4,5,6,2,5,7,6,5,7,4.3,5.09090909090909,6.09090909090909
BC109,3,5,7,6,6,7,6,5,7,5,6,7,4,6,6,5,6,5,3,5,6,4,5,7,5,5,5,3,3,6,2,5,6,4,5,7,4.27272727272727,5.18181818181818,6.27272727272727
