ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,CHAOSC
C3B05,,,,,,,,,,,,,,,,
C3C01,2,2,2,1,1,2,3,2,1,2,2,1,3,2,1,1.8
C3C02,1,2,2,2,2,3,1,3,1,1,1,2,4,1,1,1.8
C3C04,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2,1.4
C3C05,1,2,3,2,2,1,2,1,1,1,1,2,2,2,1,1.6
C3C06,3,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1.86666666666667
C3C11,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1.33333333333333
C3C10,2,1,2,3,2,1,2,1,1,2,2,3,2,1,1,1.73333333333333
C3D01,1,1,1,3,,1,1,1,,1,1,1,2,1,3,1.38461538461538
C3D02,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1.73333333333333
C3D03,1,2,2,1,2,2,3,1,1,2,1,1,2,1,1,1.53333333333333
C3D04,1,4,4,3,2,,3,2,2,2,2,3,2,1,1,2.28571428571429
C3D05,2,3,3,3,3,2,2,2,2,2,1,3,2,3,1,2.26666666666667
C3D06,3,2,3,2,2,2,2,2,1,1,1,2,2,2,1,1.86666666666667
C3D07,2,2,3,2,2,2,2,2,1,2,1,2,2,2,1,1.86666666666667
C3D08,2,3,3,1,2,2,2,1,1,2,2,1,2,2,1,1.8
C3D10,2,2,2,2,1,1,3,2,1,1,1,3,2,3,2,1.86666666666667
C3D09,1,2,4,1,4,1,1,1,2,4,1,1,3,1,1,1.86666666666667
C3D11,1,1,1,3,3,2,1,2,1,1,1,1,3,1,1,1.53333333333333
C3D13,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,1.6
C3D12,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1.33333333333333
C3E01,2,2,2,2,2,3,2,2,2,2,3,2,3,2,1,2.13333333333333
C3E03,2,1,2,2,2,2,3,1,1,2,2,3,2,3,2,2
C3E05,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1.73333333333333
C3E04,1,2,2,2,3,2,2,1,1,2,2,3,2,3,1,1.93333333333333
C3E06,1,1,2,2,2,2,2,1,1,1,2,2,3,1,1,1.6
C3E08,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1.4
C3E07,2,2,2,2,2,1,2,1,2,1,1,2,2,1,2,1.66666666666667
C3E09,2,3,3,2,2,2,2,2,2,2,2,1,3,2,1,2.06666666666667
C3E10,2,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1.4
C3F01,2,2,2,2,2,2,3,2,2,2,2,3,1,2,1,2
C3F02,2,2,3,2,2,2,3,2,1,2,2,2,,1,3,2.07142857142857
C3F03,1,2,3,3,3,2,3,2,2,1,1,3,2,3,1,2.13333333333333
C3F05,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1.8
