IDT,IDNA,IDNB,NEFNNA,NEFNNB,NEFNA,NEFNB,NEFPA,NEFPB,NEFPPA,NEFPPB,NEFNENA,NEFNENB,NEFNCA,NEFNCB,NEFPCA,NEFPCB,NEFEA,NEFEB,NEFECA,NEFECB,NITDA,NITDB,NITFA,NITFB,NITAA,NITAB,NITMA,NITMB,NITCDFA,NITCDFB,NITCFAA,NITCFAB,NITEA,NITEB,NITAIA,NITAIB,NITCFAIA,NITCFAIB,NITEIA,NITEIB,NPDRA,NPDRB,NPDDA,NPDDB,NAMBA,NAMBB,NAFA,NAFB,NIPPA,NIPPB,NIPDA,NIPDB,NIDGA,NIDGB,NIDPA,NIDPB,NIDDA,NIDDB
1,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,True,False,False,False,False,False,False,True,False,False,True,False,False,True,-2,2,-1,1,False,False,False,True,True,False,False,False,False,True,True,True,1.0,0.0,True,False,True,True,1,0,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
2,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,True,False,False,False,False,False,False,False,False,True,True,False,False,False,-2,0,-1,0,False,False,True,True,False,False,False,False,True,True,True,True,0.0,0.0,False,False,True,True,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,True,False,False,False,False,False,False,False,False,True,True,False,False,False,-2,0,-1,0,False,True,True,False,False,False,False,False,True,True,True,False,0.0,-1.0,False,False,True,False,0,-1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
4,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,True,False,False,False,False,False,False,False,False,True,True,False,False,False,-2,0,-1,0,False,True,True,False,False,False,False,False,True,True,True,False,0.0,-1.0,False,False,True,False,0,-1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,True,False,False,False,False,False,False,False,False,True,True,False,False,False,-2,0,-1,0,False,False,True,True,False,False,False,False,True,True,True,True,0.0,0.0,False,False,True,True,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
6,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,True,False,False,False,False,False,False,False,False,True,True,False,False,False,-2,0,-1,0,False,False,True,True,False,False,False,False,True,True,True,True,0.0,0.0,False,False,True,True,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,True,False,False,False,False,False,False,False,False,True,True,False,False,False,-2,0,-1,0,False,False,True,True,False,False,False,False,True,True,True,True,0.0,0.0,False,False,True,True,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
8,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,False,False,False,False,True,True,False,False,False,False,False,False,True,True,1,1,1,1,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
9,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,False,False,False,False,True,True,False,False,False,False,False,False,True,True,1,1,1,1,False,False,True,False,False,True,False,False,True,False,True,True,0.0,1.0,False,True,True,True,0,1,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
10,05_12_01_BA205_MD.xlsx,05_12_01_BA205_ZVT.xlsx,False,False,False,False,True,True,False,False,False,False,False,False,True,True,1,1,1,1,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
1,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,False,False,True,False,False,False,False,False,False,True,True,False,False,False,-1,0,-1,0,True,True,False,False,False,False,False,False,True,True,False,False,-1.0,-1.0,False,False,False,False,-1,-1,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,True,False,False,False,False,False,False,False,False,True,True,False,False,False,-2,0,-1,0,True,True,False,False,False,False,False,False,True,True,False,False,-1.0,-1.0,False,False,False,False,-1,-1,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
3,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,False,False,True,False,False,False,False,False,False,True,True,False,False,False,-1,0,-1,0,True,True,False,False,False,False,False,False,True,True,False,False,-1.0,-1.0,False,False,False,False,-1,-1,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,False,False,True,False,False,False,False,True,True,False,True,False,0.0,,False,True,True,True,0,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,True,True,False,False,False,False,False,False,True,True,False,False,-1.0,-1.0,False,False,False,False,-1,-1,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
6,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,False,False,False,False,False,True,False,False,True,False,False,False,False,True,0,1,0,1,False,False,True,False,False,False,False,True,True,False,True,False,0.0,,False,True,True,True,0,1,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
7,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,False,False,True,False,False,True,False,False,True,False,True,True,0.0,1.0,False,True,True,True,0,1,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
8,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,True,True,False,False,False,False,False,False,True,True,False,False,-1.0,-1.0,False,False,False,False,-1,-1,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,False,False,True,False,False,False,False,False,False,True,True,False,False,False,-1,0,-1,0,True,True,False,False,False,False,False,False,True,True,False,False,-1.0,-1.0,False,False,False,False,-1,-1,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10,05_19_01_BA101_JIN.xlsx,05_19_01_BA101_ZVT.xlsx,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,True,True,False,False,True,False,True,False,True,True,True,False,,-1.0,True,False,True,False,1,-1,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False
1,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,False,True,False,False,True,False,False,True,False,2,0,1,0,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,False,True,False,False,True,False,False,True,False,2,0,1,0,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
3,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,False,True,False,False,True,False,False,True,False,2,0,1,0,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,True,False,False,True,False,False,False,False,True,0,1,0,1,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
5,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,False,False,True,False,False,True,False,False,True,False,True,True,0.0,1.0,False,True,True,True,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,False,False,True,False,False,True,False,False,True,False,True,True,0.0,1.0,False,True,True,True,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,False,False,True,False,False,True,False,False,True,False,True,True,0.0,1.0,False,True,True,True,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,False,True,False,False,True,False,False,True,False,2,0,1,0,False,False,True,False,False,True,False,False,True,False,True,True,0.0,1.0,False,True,True,True,0,1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
10,05_19_03_BA103_MD.xlsx,05_19_03_BA103_ZVT.xlsx,False,False,False,False,False,True,False,False,True,False,False,False,False,True,0,1,0,1,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,05_19_04_BA102_JIN.xlsx,05_19_04_BA102_MD.xlsx,False,False,True,False,False,False,False,False,False,True,True,False,False,False,-1,0,-1,0,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
2,05_19_04_BA102_JIN.xlsx,05_19_04_BA102_MD.xlsx,False,False,True,False,False,False,False,False,False,True,True,False,False,False,-1,0,-1,0,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
