,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,True,True,True,False
1,False,True,True,True,True
2,False,False,True,False,False
3,False,False,False,True,False
4,False,False,False,False,False
5,True,False,False,False,False
6,False,False,True,True,True
7,False,False,True,True,True
8,False,False,True,True,True
9,False,False,True,True,True
10,False,False,True,True,True
11,False,True,True,True,True
12,False,False,True,True,True
13,False,False,True,True,False
14,False,False,True,False,True
15,False,True,True,True,True
16,False,True,True,True,False
17,False,True,True,True,False
18,False,True,True,True,True
19,False,True,True,True,True
20,False,True,True,True,False
21,False,True,True,True,True
22,False,True,True,True,True
23,False,True,True,True,True
24,False,True,True,True,True
25,False,True,True,True,True
26,False,True,True,True,False
27,False,True,True,True,True
28,False,True,True,True,True
29,False,True,True,True,False
30,False,True,True,True,False
31,False,True,True,True,False
32,False,True,True,True,False
33,False,True,True,True,False
34,False,True,True,True,False
35,False,True,True,True,False
36,False,False,True,False,True
37,,,,,
38,,,,,
39,False,True,True,True,True
40,False,True,True,True,True
41,False,True,True,True,True
42,False,True,True,True,True
43,False,True,True,True,True
44,False,True,True,True,False
45,False,True,True,True,True
46,False,True,True,True,False
47,False,True,True,True,True
48,False,True,True,True,True
49,False,True,True,True,True
50,False,True,True,True,True
51,False,True,True,True,True
52,False,True,True,True,True
53,False,True,True,True,True
54,False,True,True,True,True
55,False,True,True,True,False
56,False,True,True,True,True
57,False,False,True,True,True
58,False,True,True,True,False
59,False,False,True,False,True
60,False,False,True,False,False
61,False,True,True,True,False
62,False,True,True,True,True
63,False,True,True,True,True
64,False,True,True,True,False
65,False,True,True,True,True
66,,,,,
67,False,False,True,False,True
68,,,,,
69,,,,,
70,False,True,True,True,True
71,False,True,True,True,False
72,False,False,True,True,True
73,False,False,True,False,True
74,False,False,True,True,True
75,False,False,True,True,True
76,False,True,True,True,True
77,False,True,True,True,True
78,False,True,True,True,True
79,,,,,
80,False,False,True,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,True,False,False,False,False
84,False,True,True,True,True
85,False,True,True,True,False
86,False,True,True,True,False
87,False,True,True,True,False
88,False,True,True,True,False
89,False,True,True,True,False
90,False,True,True,True,True
91,False,True,True,True,True
92,False,True,True,True,True
93,False,True,True,True,True
94,False,True,True,True,True
95,False,False,True,False,True
96,False,False,False,False,False
97,True,False,False,False,True
98,False,False,True,True,True
99,False,True,True,True,False
100,False,True,True,True,False
101,False,True,True,True,True
102,False,True,True,True,False
103,,,,,
104,,,,,
105,False,True,True,True,True
106,,,,,
107,False,True,True,True,True
108,,,,,
109,False,True,True,True,False
110,False,True,True,True,False
111,,,,,
112,,,,,
113,,,,,
114,False,True,True,True,True
115,,,,,
116,,,,,
117,False,True,True,True,True
118,False,True,True,True,True
119,False,True,True,True,True
120,False,True,True,True,True
121,False,True,True,True,True
122,False,True,True,True,True
123,False,True,True,True,True
124,False,True,True,True,True
125,False,True,True,True,True
126,False,True,True,True,False
127,False,True,True,True,True
128,False,False,True,True,True
129,False,False,True,True,True
130,False,False,True,True,True
131,False,True,True,True,True
132,False,True,True,True,True
133,False,True,True,True,True
134,False,True,True,True,True
135,False,True,True,True,True
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,False,True,True,True,True
141,,,,,
142,False,False,True,True,True
143,False,True,True,True,True
144,False,True,True,True,True
145,False,True,True,True,True
146,False,True,True,True,False
147,,,,,
148,False,True,True,True,False
149,False,False,True,True,False
150,False,False,True,False,False
151,False,False,False,False,False
152,False,True,True,True,False
153,False,True,True,True,True
154,False,True,True,True,False
155,False,True,True,True,False
156,False,True,False,True,False
157,False,True,True,True,False
158,False,True,True,True,False
159,False,True,True,True,True
160,False,True,True,True,True
161,False,True,True,True,True
162,False,True,True,True,True
163,True,False,False,True,False
164,False,True,True,True,False
165,False,True,True,True,True
166,False,True,True,True,False
167,False,True,True,True,True
168,False,True,True,True,True
169,False,True,True,True,True
170,False,True,True,True,True
171,False,True,True,True,True
172,False,True,True,True,False
173,False,True,True,True,True
174,False,True,True,True,True
175,False,True,True,True,True
176,False,True,True,True,True
177,False,True,True,True,True
178,False,True,True,True,True
179,False,False,True,True,True
180,,,,,
181,,,,,
182,False,False,True,False,True
183,False,True,True,True,False
184,False,True,True,True,False
185,False,True,True,True,True
186,False,True,True,True,True
187,False,True,True,True,True
188,False,True,True,True,True
189,False,True,True,True,True
190,,,,,
191,,,,,
192,False,True,True,True,False
193,False,True,True,True,True
194,,,,,
195,False,True,True,True,True
196,False,True,True,True,True
197,,,,,
198,False,True,True,True,True
199,False,True,True,True,True
200,False,True,True,True,True
201,False,True,True,True,True
202,,,,,
203,False,True,True,True,True
204,False,True,True,True,True
205,,,,,
206,False,True,True,True,True
207,,,,,
208,False,True,True,True,False
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,False,True,True,True,False
215,False,True,True,True,True
