,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,True,True,True,True
1,False,True,True,True,True
2,False,True,True,True,True
3,False,True,True,True,True
4,False,True,True,True,True
5,False,True,True,True,True
6,False,True,True,True,True
7,False,True,True,True,True
8,False,True,True,True,False
9,False,True,True,True,False
10,False,True,True,True,True
11,False,True,True,True,False
12,False,True,True,True,True
13,False,True,True,True,True
14,False,True,True,True,True
15,False,True,True,True,True
16,False,True,True,True,True
17,False,True,True,True,True
18,False,True,True,True,True
19,False,True,True,True,True
20,False,True,True,True,True
21,False,True,True,True,True
22,False,True,True,True,True
23,False,True,True,True,True
24,False,True,True,True,True
25,False,True,True,True,True
26,True,False,False,True,False
27,False,False,True,True,False
28,False,True,True,True,False
29,False,True,True,True,True
30,False,True,True,True,True
31,False,True,True,True,True
32,False,True,True,True,True
33,False,True,True,True,True
34,False,True,True,True,True
35,False,True,True,True,True
36,False,True,False,True,False
37,False,True,True,True,True
38,False,True,True,True,False
39,False,True,True,True,True
40,False,True,True,True,True
41,False,True,True,True,True
42,False,True,True,True,True
43,False,True,True,True,True
44,False,True,True,True,True
45,False,True,True,True,True
46,False,True,True,True,True
47,False,True,True,True,True
48,False,False,True,False,False
49,False,True,True,True,True
50,False,True,True,True,True
51,False,True,True,True,True
52,False,True,True,True,False
53,False,True,True,True,True
54,False,True,True,True,True
55,False,True,True,True,True
56,False,True,True,True,True
57,False,True,True,True,True
58,False,True,True,True,True
59,False,True,True,True,True
60,False,True,True,True,True
61,False,True,True,True,True
62,False,True,True,True,True
63,False,True,True,True,True
64,False,True,True,True,True
65,False,True,True,True,False
66,False,True,True,True,True
67,False,True,True,True,True
68,False,True,True,True,True
69,False,True,True,True,True
70,False,True,True,True,True
71,False,True,True,True,False
72,False,True,True,True,True
73,False,True,True,True,True
74,False,True,True,True,True
75,False,True,True,True,True
76,False,True,True,True,False
77,False,True,True,True,True
78,False,True,True,True,True
79,False,True,True,True,True
80,False,True,True,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,False,True,True,True,False
84,False,True,True,True,False
85,False,True,True,True,True
86,False,True,False,True,False
87,False,True,True,True,True
88,False,True,True,True,True
89,False,True,True,True,True
90,False,False,True,False,True
91,False,False,True,False,True
92,False,True,True,True,True
93,False,False,True,False,True
94,False,False,True,False,True
95,False,False,True,False,True
96,False,False,True,False,True
97,True,False,False,False,False
98,False,False,True,False,True
99,False,False,True,False,True
100,False,False,True,False,False
101,False,False,True,False,True
102,False,True,False,True,False
103,False,True,True,True,False
104,False,True,True,True,False
105,False,True,True,True,True
106,False,True,True,True,False
107,False,True,True,True,False
108,False,False,True,False,True
109,True,False,False,False,False
110,False,True,True,True,True
111,False,True,False,True,False
112,False,False,False,False,False
113,False,False,False,False,False
114,False,False,False,False,False
115,False,False,False,False,False
116,True,False,False,False,False
117,True,False,False,False,False
118,True,False,False,False,False
119,False,False,False,False,False
120,False,False,False,False,False
121,True,False,False,False,False
122,True,False,False,False,False
123,True,False,False,False,False
124,True,False,False,False,False
125,True,False,False,False,False
126,True,False,False,False,False
127,False,False,False,True,False
128,False,False,False,False,False
129,False,False,False,False,False
130,False,False,False,False,False
131,False,False,True,False,True
132,False,False,False,False,False
133,False,False,False,False,False
134,False,False,False,False,False
135,False,False,False,False,False
136,False,False,False,False,False
137,False,False,False,False,False
138,False,True,False,True,False
139,False,True,False,True,False
140,False,False,False,False,False
141,False,False,False,False,False
142,False,False,False,False,False
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,False,False,False,False,False
148,,,,,
149,False,False,False,False,False
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,False,False,True,False,True
155,False,False,True,False,True
156,False,False,True,False,True
157,False,False,True,False,True
158,False,False,False,False,False
159,,,,,
160,False,False,False,False,False
161,False,False,False,False,False
162,False,False,False,False,False
163,False,False,False,False,False
164,False,False,False,False,False
165,False,False,False,False,False
