,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,True,False,False,False,False
1,False,False,False,False,False
2,False,False,False,False,False
3,True,False,False,False,False
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,False,False,True,False,True
28,False,True,True,True,True
29,False,True,True,True,True
30,False,True,True,True,True
31,False,True,True,True,True
32,False,True,True,True,True
33,False,True,True,True,True
34,False,True,True,True,True
35,False,True,True,True,True
36,False,True,False,True,False
37,False,True,False,True,False
38,False,True,True,True,True
39,False,True,True,True,True
40,False,True,True,True,True
41,False,True,True,True,True
42,False,False,True,False,True
43,False,False,True,False,True
44,False,False,True,False,True
45,False,False,True,False,True
46,False,False,True,False,True
47,False,False,True,False,True
48,False,True,True,True,True
49,False,False,True,False,True
50,,,,,
51,False,False,True,False,True
52,,,,,
53,False,True,True,True,True
54,False,True,True,True,True
55,False,True,True,True,True
56,False,True,True,False,True
57,False,True,True,False,True
58,False,False,True,False,True
59,False,False,True,False,True
60,False,True,True,False,True
61,False,True,True,True,True
62,False,True,True,True,True
63,False,True,True,True,True
64,False,True,True,True,True
65,False,True,True,True,True
66,False,True,True,False,True
67,False,True,True,False,True
68,False,True,True,False,True
69,False,True,True,True,True
70,,,,,
71,,,,,
72,False,False,True,False,True
73,False,True,True,True,True
74,False,True,True,True,True
75,False,True,True,True,True
76,False,True,True,True,True
77,False,True,True,False,True
78,False,True,True,True,True
79,False,True,True,True,True
80,False,True,True,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,False,True,True,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,False,True,True,True,True
87,False,True,True,True,True
88,False,True,True,True,True
89,False,True,True,True,True
90,False,True,True,True,True
91,False,True,True,True,True
92,False,True,True,True,True
93,False,True,True,True,True
94,False,True,True,True,True
95,False,True,True,True,True
96,False,True,True,True,True
97,False,True,True,True,True
98,False,True,True,True,True
99,False,True,True,False,True
100,False,True,True,False,True
101,False,True,True,False,True
102,,,,,
103,False,True,False,True,False
104,False,True,True,True,True
105,False,True,True,True,True
106,False,True,True,True,True
107,False,True,True,True,True
108,False,True,True,True,True
109,False,True,False,True,False
110,False,True,True,True,True
111,False,True,True,True,True
112,False,True,True,True,True
113,False,True,True,True,True
114,False,True,True,True,True
115,False,True,True,True,True
116,False,True,True,False,True
117,False,True,True,True,True
118,False,True,True,True,True
119,False,True,True,True,True
120,False,True,True,True,True
121,False,True,True,True,True
122,False,True,True,True,True
123,False,True,True,True,True
124,False,True,True,True,True
125,False,True,True,True,True
126,False,True,True,True,True
127,False,True,True,True,True
128,False,True,True,True,True
129,False,True,True,True,True
130,False,True,True,True,True
131,False,True,True,True,True
132,False,True,True,True,True
133,False,True,True,True,True
134,False,False,True,False,True
135,False,True,True,True,True
136,False,True,True,True,True
137,False,True,True,False,True
138,False,True,True,False,True
139,False,True,False,True,False
140,False,False,False,False,False
141,True,False,False,False,False
142,False,False,False,False,False
143,True,False,False,False,False
144,False,False,False,False,False
145,True,False,False,False,False
146,False,False,False,False,False
147,False,False,False,False,False
148,False,False,False,False,False
149,False,False,False,False,False
150,False,False,False,False,False
151,False,False,False,False,False
152,False,False,False,False,False
153,False,False,False,False,False
154,False,False,False,False,False
155,True,False,False,False,False
