,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,False,True,False,True
1,,,,,
2,False,False,True,False,True
3,False,False,False,False,False
4,False,False,False,False,False
5,False,False,False,False,False
6,False,False,False,False,False
7,False,False,False,False,False
8,False,False,False,False,False
9,False,False,False,False,False
10,False,False,False,False,False
11,True,False,False,False,False
12,False,False,True,False,True
13,False,False,True,False,True
14,True,False,False,False,False
15,True,False,False,False,False
16,False,False,False,False,False
17,False,False,False,False,False
18,False,False,False,False,False
19,False,False,False,False,False
20,False,False,False,False,False
21,False,False,False,False,False
22,False,False,False,False,False
23,False,False,False,False,False
24,False,False,False,False,False
25,False,False,False,False,False
26,False,False,False,False,False
27,False,True,False,True,False
28,False,True,False,True,False
29,False,True,False,True,False
30,False,True,False,True,False
31,False,True,False,True,False
32,False,True,False,True,False
33,False,True,False,True,False
34,False,True,False,True,False
35,False,False,False,True,False
36,False,True,False,True,False
37,True,False,False,True,False
38,False,True,False,True,False
39,False,True,False,True,False
40,False,True,False,True,False
41,False,True,False,True,False
42,True,False,False,False,False
43,False,False,False,False,False
44,False,False,False,False,False
45,False,False,False,False,False
46,False,False,False,False,False
47,False,False,False,False,False
48,False,False,False,False,False
49,True,False,False,False,False
50,True,False,False,False,True
51,True,False,False,False,False
52,True,False,False,False,False
53,False,True,False,True,False
54,False,False,False,False,False
55,True,False,False,False,False
56,True,False,False,False,True
57,True,False,False,False,True
58,True,False,False,False,False
59,,,,,
60,True,False,False,False,False
61,True,False,False,False,False
62,True,False,False,False,True
63,False,False,False,False,False
64,False,False,False,False,False
65,True,False,False,False,False
66,False,False,False,False,False
67,False,False,False,False,False
68,False,False,False,False,False
69,False,False,False,False,False
70,False,False,False,False,False
71,False,False,False,False,False
72,False,False,False,False,False
73,False,False,False,False,False
74,False,False,False,False,False
75,False,False,False,False,False
76,True,False,False,False,False
77,True,False,False,False,False
78,True,False,False,False,False
79,False,True,False,True,False
80,False,True,True,True,False
81,False,True,False,True,True
82,False,True,False,True,False
83,False,False,False,False,False
84,False,False,False,False,False
85,False,False,False,False,False
86,False,False,False,False,False
87,False,False,False,False,False
88,True,False,False,False,False
89,True,False,False,False,False
90,False,False,False,False,False
91,True,False,False,False,False
92,False,True,False,True,False
93,False,True,True,True,False
94,False,True,True,True,False
95,,,,,
96,,,,,
97,False,False,False,False,False
98,False,True,False,True,False
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,False,True,True,True,True
105,False,True,True,True,True
106,,,,,
107,,,,,
108,False,False,True,False,True
109,,,,,
110,False,True,False,True,False
111,False,True,False,True,False
112,False,False,False,False,False
113,False,False,False,False,False
114,False,False,False,False,False
115,False,False,False,False,False
116,False,False,False,False,False
117,False,False,False,False,False
118,False,False,False,False,False
119,False,False,False,True,False
120,False,False,False,True,False
121,False,False,False,True,False
122,False,False,False,False,False
123,False,False,False,True,False
124,False,False,False,True,False
125,False,False,False,True,False
126,False,False,False,False,False
127,False,False,False,False,False
128,False,False,False,True,False
129,False,False,False,True,False
130,False,False,False,True,False
131,False,False,False,True,False
132,False,False,False,False,False
133,False,False,False,False,False
134,False,False,False,True,False
135,False,False,False,False,False
136,False,False,False,True,False
137,False,False,False,False,False
138,False,False,False,False,False
139,True,False,False,True,False
140,True,False,False,False,False
141,True,False,False,True,False
142,False,False,False,False,False
143,True,False,False,True,False
144,True,False,False,True,False
145,False,True,False,True,False
146,False,False,False,False,False
147,False,False,False,False,False
148,True,False,False,False,False
149,False,False,False,False,False
150,False,False,False,False,False
151,False,False,False,False,False
152,False,False,False,False,False
153,True,False,False,False,False
154,False,False,False,False,False
155,True,False,False,False,False
156,True,False,False,False,False
157,False,False,False,False,False
158,True,False,False,False,False
159,True,False,False,False,True
160,True,False,False,False,False
161,False,False,False,False,False
162,False,False,False,False,False
163,False,False,False,True,False
164,False,False,False,False,False
165,False,False,False,False,False
166,False,False,False,False,False
167,False,False,False,False,False
168,True,False,False,False,False
169,False,True,False,True,False
170,True,False,False,False,False
171,True,False,False,False,False
172,True,False,False,False,False
173,True,False,False,False,False
174,False,False,False,False,False
175,False,False,False,False,False
176,False,False,False,False,False
177,False,False,False,False,False
178,False,False,False,False,False
179,True,False,False,False,False
180,True,False,False,False,False
181,False,False,False,False,False
182,True,False,False,False,False
183,True,False,False,False,False
184,False,False,False,False,False
185,False,False,False,False,False
186,False,False,False,False,False
187,False,False,False,False,False
188,False,False,False,False,False
189,False,False,False,False,False
190,False,False,False,False,False
191,True,False,False,False,False
192,False,False,False,False,False
193,False,True,False,True,False
194,True,False,False,False,False
195,False,False,False,False,False
196,False,False,False,False,False
197,False,False,False,False,False
198,False,True,False,True,False
199,False,False,False,False,False
200,False,False,False,False,False
201,False,True,False,True,False
202,True,False,False,True,False
203,False,False,False,False,False
204,False,False,False,False,False
205,False,False,False,False,False
206,False,False,False,False,False
207,False,False,False,False,False
208,False,False,False,False,False
209,False,True,False,True,False
210,False,False,False,True,False
211,False,False,False,False,False
212,False,False,False,False,False
213,False,False,False,False,False
214,False,False,False,False,False
215,True,False,False,True,False
216,False,True,False,True,False
217,True,False,False,True,False
218,True,False,False,True,False
219,True,False,False,True,False
220,True,False,False,True,False
221,False,False,False,False,False
222,False,False,False,False,False
223,False,False,False,False,False
224,False,False,False,False,True
225,False,False,False,False,False
226,True,False,False,False,False
227,False,False,False,False,False
228,True,False,False,False,False
229,False,False,False,True,False
230,True,False,False,False,False
231,False,False,False,False,False
232,True,False,False,True,False
233,False,False,False,False,False
234,False,False,False,True,False
235,True,False,False,False,True
236,False,False,False,False,False
237,True,False,False,False,True
238,True,False,False,False,False
239,True,False,False,False,False
240,True,False,False,False,False
241,True,False,False,True,False
242,True,False,False,False,False
243,False,False,False,False,False
244,True,False,False,True,False
