,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,,,,,
2,,,,,
3,False,False,True,False,True
4,False,False,True,False,True
5,,,,,
6,,,,,
7,,,,,
8,False,False,False,False,False
9,False,True,False,True,False
10,False,True,False,True,False
11,False,True,True,True,False
12,False,True,True,True,False
13,False,True,True,True,True
14,,,,,
15,,,,,
16,True,False,False,False,False
17,False,False,False,False,False
18,False,False,False,False,False
19,False,True,False,False,False
20,,,,,
21,False,False,False,False,False
22,False,False,False,False,False
23,False,True,False,True,False
24,False,True,False,True,False
25,False,True,False,True,False
26,False,True,False,True,False
27,True,False,False,False,False
28,False,False,False,False,False
29,False,True,False,True,False
30,True,False,False,False,False
31,True,False,False,False,False
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,False,True,True,True,True
37,False,True,True,True,False
38,False,True,False,True,False
39,False,True,False,True,False
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,False,True,False,True,False
45,True,False,False,False,False
46,False,False,False,False,False
47,False,True,False,True,False
48,False,True,False,True,False
49,False,True,False,True,False
50,False,True,False,True,False
51,False,True,False,True,False
52,True,False,False,False,False
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,True,False,False,False,False
60,False,False,False,False,False
61,,,,,
62,True,False,False,False,False
63,False,False,False,False,False
64,False,False,False,False,False
65,True,False,False,False,False
66,True,False,False,False,False
67,True,False,False,False,False
68,,,,,
69,True,False,False,False,False
70,False,True,False,True,False
71,False,True,False,True,False
72,False,True,False,True,False
73,False,True,False,True,False
74,False,True,False,True,False
75,False,True,False,True,False
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,True,False,False,False,False
83,False,False,False,False,False
84,True,False,False,False,False
85,True,False,False,False,False
86,False,False,False,False,False
87,False,True,False,True,False
88,False,True,False,True,False
89,False,True,False,True,False
90,False,True,False,True,False
91,True,False,False,False,False
92,False,False,False,False,False
93,False,False,False,False,False
94,True,False,False,False,False
95,False,True,False,True,False
96,False,False,False,False,False
97,False,True,False,True,False
98,False,True,True,True,True
99,False,True,False,True,False
100,False,True,False,True,False
101,,,,,
102,False,False,False,False,False
103,True,False,False,True,False
104,True,False,False,True,False
105,True,False,False,True,False
106,True,False,False,True,False
107,False,False,False,True,False
108,False,True,False,True,False
109,False,True,False,True,False
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,False,True,False,True,False
119,False,True,False,True,False
120,False,True,False,True,False
121,False,True,False,True,False
122,False,True,False,True,False
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,False,True,False,True,False
131,False,True,False,True,False
132,False,True,False,True,False
133,False,True,False,True,False
134,False,True,False,True,False
135,False,True,False,True,False
