,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,,,,,
2,,,,,
3,False,True,True,True,True
4,False,True,True,True,True
5,,,,,
6,False,False,True,False,True
7,False,False,True,False,True
8,False,False,True,False,True
9,False,False,False,False,True
10,False,False,True,False,True
11,False,False,True,False,True
12,False,True,True,True,True
13,,,,,
14,,,,,
15,False,False,True,False,True
16,False,False,False,False,False
17,True,False,False,False,False
18,False,False,False,False,False
19,False,False,False,False,True
20,False,False,False,False,False
21,False,False,False,False,True
22,False,False,True,False,True
23,False,False,True,False,True
24,False,True,True,True,True
25,False,True,True,True,True
26,False,True,True,True,True
27,,,,,
28,False,False,True,False,True
29,False,False,True,False,True
30,False,True,True,True,True
31,,,,,
32,False,True,True,True,False
33,False,True,True,False,False
34,False,True,True,False,False
35,False,True,True,True,False
36,,,,,
37,,,,,
38,,,,,
39,False,True,True,True,True
40,False,True,True,True,True
41,,,,,
42,False,True,True,True,True
43,False,True,True,True,True
44,False,True,True,True,True
45,False,True,True,True,True
46,,,,,
47,False,True,True,True,True
48,False,True,True,True,True
49,False,True,True,True,True
50,False,True,True,True,True
51,False,True,True,True,True
52,,,,,
53,False,True,True,True,True
54,False,True,True,True,True
55,False,False,True,False,True
56,False,False,True,True,True
57,False,True,True,True,True
58,False,True,True,True,True
59,False,True,True,True,True
60,False,True,True,True,True
61,False,True,True,True,True
62,False,True,True,True,True
63,False,True,True,True,True
64,False,True,True,True,True
65,False,True,True,True,True
66,True,False,False,True,False
67,False,True,False,True,False
68,False,True,True,True,True
69,False,True,False,True,False
70,False,True,True,True,True
71,False,True,True,True,True
72,False,True,True,True,True
73,False,True,True,True,True
74,False,True,True,True,True
75,False,True,True,True,True
76,False,True,True,True,True
77,False,True,True,True,False
78,False,True,True,True,True
79,,,,,
80,False,True,True,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,False,True,True,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,False,True,True,True,True
87,False,False,True,True,True
88,False,True,True,True,True
89,False,True,True,True,True
90,False,True,True,True,True
91,False,True,True,True,True
92,False,True,True,True,True
93,False,True,True,True,True
94,False,True,True,True,True
95,False,True,True,True,True
96,False,True,True,True,True
97,False,False,True,True,True
98,False,False,False,True,False
99,False,False,False,False,True
100,False,False,False,False,False
101,,,,,
102,,,,,
103,False,False,False,False,False
104,False,False,False,False,False
105,False,False,False,False,False
106,False,False,False,False,False
107,False,False,False,False,False
108,False,False,False,False,False
109,False,False,False,False,False
110,False,False,False,False,False
111,True,False,False,False,False
112,True,False,False,False,False
113,False,False,False,False,False
114,False,False,False,False,False
115,True,False,False,False,False
116,False,False,False,False,False
117,False,False,False,False,False
118,False,False,False,False,False
119,False,False,False,False,False
120,True,False,False,False,False
121,False,False,False,False,False
122,False,False,False,False,False
123,False,False,False,False,False
