,0,1,2,3,4
0,False,True,False,True,False
1,False,True,False,True,False
2,False,True,False,True,False
3,False,True,False,True,False
4,False,True,False,True,False
5,False,True,False,True,False
6,False,True,False,True,False
7,False,True,False,True,False
8,False,True,False,True,False
9,False,True,True,True,
10,,,,,
11,False,True,True,True,
12,,,,,False
13,False,True,True,,False
14,,,,False,
15,True,False,False,False,False
16,True,False,False,,False
17,,,,False,False
18,True,False,False,False,
19,True,False,False,True,False
20,False,True,False,,False
21,False,True,False,True,False
22,,,,True,False
23,False,True,False,True,False
24,False,True,False,True,
25,False,True,False,False,False
26,False,True,False,False,False
27,False,False,False,,
28,False,False,True,True,
29,,,,True,True
30,False,True,False,True,True
31,False,True,False,,True
32,False,True,True,True,True
33,,,,,False
34,False,True,True,True,False
35,,,,True,True
36,False,True,True,False,True
37,False,True,True,False,False
38,False,False,True,False,True
39,False,False,True,False,True
40,False,False,False,True,True
41,False,False,False,True,True
42,False,True,True,True,
43,False,True,True,True,False
44,False,True,False,True,False
45,False,True,True,True,False
46,False,True,True,True,False
47,False,True,True,,False
48,False,True,True,True,False
49,False,True,True,True,False
50,,,,False,False
51,False,True,False,False,False
52,False,True,False,False,True
53,False,False,False,False,True
54,True,False,False,False,False
55,True,False,False,False,False
56,True,False,False,False,False
57,False,False,False,False,False
58,False,False,False,True,False
59,False,False,False,True,False
60,False,False,True,True,True
61,False,True,True,False,True
62,False,True,False,False,False
63,False,True,False,False,False
64,True,False,False,False,False
65,True,False,False,False,False
66,True,False,False,False,False
67,True,False,False,False,True
68,False,False,True,False,False
69,False,False,True,False,True
70,True,False,False,True,False
71,True,False,False,True,False
72,True,False,False,True,False
73,False,True,False,True,False
74,False,True,False,True,False
75,False,True,True,True,False
76,False,True,False,True,False
77,False,True,True,True,True
78,False,True,False,True,False
79,False,True,False,True,True
80,False,True,False,True,True
81,False,True,False,True,True
82,False,True,False,True,True
83,False,True,False,True,True
84,False,True,False,True,False
85,False,True,True,True,False
86,False,True,False,True,False
87,False,True,True,True,False
88,False,True,True,True,False
89,False,True,True,True,False
90,False,True,True,False,False
91,False,True,True,False,False
92,False,True,False,False,True
93,True,False,False,False,True
94,False,False,False,False,True
95,True,False,False,False,True
96,True,False,False,True,True
97,True,False,False,True,True
98,True,False,False,True,True
99,False,True,False,True,True
100,False,True,True,True,True
101,False,True,True,True,
102,False,True,True,True,True
103,False,True,True,True,False
104,False,True,True,True,False
105,False,True,True,True,False
106,False,True,True,,False
107,False,True,True,True,True
108,False,True,True,True,True
109,,,,True,True
110,False,True,True,True,True
111,False,True,False,True,True
112,False,True,False,True,True
113,False,True,False,True,True
114,False,True,False,True,True
115,False,True,True,True,True
116,False,True,True,True,True
117,False,True,True,True,True
118,False,True,True,True,True
119,False,True,True,True,True
120,False,True,True,True,True
121,False,True,True,True,True
122,False,True,True,True,True
123,False,True,True,True,True
124,False,True,True,True,True
125,False,True,True,True,True
126,False,True,True,True,True
127,False,True,True,True,True
128,False,True,True,True,
129,False,True,True,True,True
130,False,False,True,True,False
131,False,True,True,True,False
132,False,True,True,False,False
133,False,True,True,,False
134,False,True,True,False,False
135,False,False,True,False,
136,,,,True,False
137,False,False,True,True,False
138,True,False,False,False,False
139,False,False,False,False,False
140,True,False,False,,False
141,False,False,False,False,False
142,True,False,False,True,False
143,False,True,False,False,False
144,,,,False,False
145,True,False,False,True,False
146,True,False,False,True,False
147,True,False,False,False,False
148,False,False,False,True,False
149,True,False,False,False,False
150,True,False,False,False,False
151,True,False,False,False,False
152,True,False,False,False,
153,True,False,False,False,False
154,True,False,False,False,
155,True,False,False,False,False
156,True,False,False,False,False
157,True,False,False,,False
158,True,False,False,False,False
159,True,False,False,,False
160,True,False,False,False,False
161,,,,False,False
162,True,False,False,False,False
163,,,,False,
164,True,False,False,False,False
165,True,False,False,False,False
166,True,False,False,False,False
167,True,False,False,False,False
168,True,False,False,,True
169,True,False,False,False,False
170,True,False,False,False,False
171,True,False,False,False,False
172,,,,False,
173,True,False,False,False,False
174,True,False,False,False,False
175,True,False,False,False,False
176,True,False,False,False,False
177,False,False,True,,False
178,True,False,False,False,False
179,True,False,False,False,
180,True,False,False,False,False
181,,,,False,False
182,True,False,False,False,False
183,True,False,False,True,False
184,True,False,False,,False
185,True,False,False,False,
186,True,False,False,False,True
187,True,False,False,False,False
188,,,,False,False
189,True,False,False,False,False
190,True,False,False,,False
191,True,False,False,False,False
192,True,False,False,False,False
193,True,False,False,False,False
194,,,,False,True
195,False,False,True,False,True
196,True,False,False,True,False
197,True,False,False,True,False
198,True,False,False,False,True
199,True,False,False,False,True
200,False,True,False,True,True
201,False,True,False,False,True
202,True,False,False,False,True
203,False,False,True,True,False
204,False,True,True,True,False
205,False,False,False,True,False
206,True,False,False,True,True
207,False,True,True,True,False
208,False,True,True,True,False
209,False,True,True,False,False
210,False,True,True,True,False
211,False,True,True,True,False
212,False,True,False,True,True
213,False,False,False,True,True
214,False,True,False,True,False
215,False,True,True,True,False
216,False,True,False,True,False
217,False,True,False,True,False
218,False,True,False,True,
219,False,True,False,False,
220,False,True,False,True,False
221,False,True,True,True,False
222,False,True,True,True,False
223,False,False,False,,False
224,False,False,False,,False
225,False,False,False,False,False
226,False,False,False,False,False
227,False,True,False,False,
228,,,,False,False
229,False,True,False,False,False
230,,,,False,False
231,True,False,False,False,False
232,True,False,False,,False
233,True,False,False,False,False
234,True,False,False,False,False
235,True,False,False,False,False
236,True,False,False,False,False
237,False,False,False,False,False
238,,,,False,False
239,True,False,False,False,False
240,False,False,False,False,False
241,False,False,False,False,False
242,True,False,False,True,False
243,False,False,False,True,
244,False,False,False,True,False
245,True,False,False,True,False
246,True,False,False,True,
247,True,False,False,True,
248,False,True,False,,
249,False,True,False,True,False
250,False,True,False,True,False
251,False,True,False,,False
252,False,True,False,,False
253,False,True,False,,False
254,False,True,False,False,False
255,,,,False,False
256,False,True,False,False,False
257,False,True,False,False,False
258,False,True,False,False,False
259,,,,True,False
260,False,True,False,False,False
261,,,,False,
262,False,True,False,False,
263,,,,False,False
264,False,False,False,False,
265,False,False,False,False,False
266,False,False,False,,
267,False,False,False,,
268,True,False,False,False,False
269,False,True,False,,False
270,True,False,False,False,False
271,False,False,False,,False
272,True,False,False,,False
273,False,False,False,False,True
274,False,False,False,False,
275,False,False,False,False,True
276,,,,True,True
277,,,,True,True
278,False,False,False,True,False
279,,,,,False
280,False,False,False,True,False
281,,,,True,False
282,,,,True,False
283,False,False,False,False,False
284,False,False,False,False,
285,False,False,False,False,True
286,False,True,False,False,True
287,False,True,False,False,True
288,False,True,True,False,True
289,False,True,True,,True
290,,,,False,False
291,False,True,True,True,True
292,False,True,True,True,True
293,False,True,True,True,True
294,True,False,False,True,True
295,True,False,False,True,True
296,True,False,False,False,True
297,False,False,False,False,True
298,False,False,False,False,True
299,True,False,False,False,
300,,,,False,False
301,False,False,True,True,True
302,False,True,True,True,True
303,False,True,True,True,True
304,False,True,True,,False
305,False,True,True,True,True
306,True,True,False,True,False
307,False,False,True,True,False
308,False,False,True,True,False
309,False,False,True,True,False
310,False,False,True,True,False
311,False,False,True,True,False
312,False,True,True,True,False
313,False,True,True,True,False
314,False,True,True,False,False
315,,,,False,False
316,False,True,False,False,False
317,False,True,True,False,False
318,False,True,True,False,False
319,False,False,True,False,True
320,True,True,False,False,
321,False,True,True,False,True
322,True,True,False,False,True
323,False,True,False,False,True
324,False,True,False,False,True
325,False,False,False,,True
326,False,False,False,True,True
327,True,False,False,True,True
328,False,False,False,True,True
329,False,False,False,True,True
330,True,False,False,True,True
331,True,False,False,True,True
332,True,False,False,True,True
333,True,False,False,True,True
334,False,False,False,True,True
335,False,False,True,True,
336,,,,True,True
337,False,True,True,True,False
338,False,True,True,True,True
339,False,True,True,True,True
340,False,True,True,,True
341,False,True,True,True,True
342,False,True,True,True,True
343,False,True,True,True,True
344,False,True,True,True,True
345,False,True,True,True,False
346,False,True,True,True,True
347,False,True,True,True,True
348,False,True,True,True,True
349,False,True,True,True,True
350,False,True,True,True,
351,,,,True,
352,False,True,True,True,True
353,False,True,True,True,True
354,False,True,True,True,True
355,False,True,True,,True
356,False,True,True,,True
357,False,True,True,True,True
358,False,False,True,True,True
359,False,False,True,True,True
360,False,True,True,True,True
361,False,True,True,True,True
362,False,True,True,True,True
363,False,True,True,True,True
364,False,True,True,True,False
365,False,True,True,True,True
366,,,,True,True
367,,,,True,True
368,False,True,True,True,False
369,False,True,True,True,True
370,False,True,True,True,True
371,False,True,True,True,True
372,False,True,True,True,True
373,False,True,True,True,True
374,False,True,True,True,True
375,False,True,True,True,True
376,False,True,True,True,True
377,False,True,True,True,True
378,False,True,True,True,True
