,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,False,False,True,False,False
1,,,,,
2,,,,,
3,,,,,
4,False,False,True,False,True
5,,,,,
6,,,,,
7,False,False,True,True,True
8,False,True,True,True,True
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,True,False,False,True,False
21,False,True,False,True,False
22,False,True,False,True,False
23,False,True,False,True,False
24,False,True,False,True,False
25,False,True,False,True,False
26,,,,,
27,,,,,
28,False,False,True,False,False
29,False,False,False,False,False
30,False,False,True,False,True
31,False,False,True,False,True
32,False,True,False,True,False
33,False,False,True,True,False
34,False,True,True,True,True
35,False,True,True,True,True
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,False,False,True,True,True
41,False,False,True,False,False
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,False,False,True,False,True
48,False,False,False,False,False
49,,,,,
50,,,,,
51,False,False,True,False,False
52,False,False,True,False,False
53,False,False,True,False,False
54,True,False,False,False,False
55,False,False,False,False,False
56,,,,,
57,,,,,
58,False,False,False,False,False
59,True,False,False,False,False
60,False,False,False,False,False
61,,,,,
62,False,False,False,False,False
63,False,False,False,False,False
64,True,False,False,False,False
65,True,False,False,True,False
66,True,False,False,True,False
67,True,False,False,False,False
68,True,False,False,False,False
69,False,False,False,False,False
70,,,,,
71,,,,,
72,True,False,False,False,False
73,,,,,
74,,,,,
75,,,,,
76,False,False,False,False,False
77,False,False,False,False,False
78,False,False,False,False,False
79,False,False,False,False,False
80,True,False,False,False,False
81,True,False,False,False,False
82,False,False,False,False,False
83,True,False,False,False,False
84,True,False,False,False,False
85,False,False,False,False,False
86,True,False,False,False,False
87,True,False,False,False,False
88,False,True,False,True,False
89,False,True,False,True,False
90,False,True,False,True,False
91,False,True,False,True,False
92,True,False,False,False,False
93,True,False,False,False,False
94,True,False,False,False,False
95,True,False,False,False,False
96,False,False,False,False,False
97,False,False,False,False,False
98,True,False,False,False,False
99,True,False,False,False,False
100,True,False,False,False,False
101,True,False,False,False,False
102,True,False,False,False,False
103,True,False,False,False,False
104,True,False,False,False,False
105,True,False,False,False,False
106,False,False,False,False,False
107,False,False,False,False,False
108,False,False,False,False,False
