,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,False,False,False,False,False
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,False,False,False,False,False
12,False,True,True,True,True
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,False,False,False,False,False
22,,,,,
23,,,,,
24,,,,,
25,True,False,False,False,False
26,,,,,
27,True,False,False,False,False
28,,,,,
29,False,False,False,False,False
30,,,,,
31,False,False,False,False,False
32,True,False,False,False,False
33,True,False,False,False,False
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,False,False,True,False,True
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,False,False,False,False,False
78,,,,,
79,True,False,False,False,False
80,,,,,
81,,,,,
82,,,,,
83,False,False,False,False,False
84,,,,,
85,False,False,False,False,False
86,,,,,
87,True,False,False,False,False
88,,,,,
89,True,False,False,False,False
90,,,,,
91,False,False,False,False,False
92,False,False,False,False,False
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,True,False,False,False,False
102,True,False,False,False,False
103,,,,,
104,True,False,False,False,False
105,,,,,
106,False,False,False,False,False
107,False,False,False,False,False
108,False,False,False,False,False
109,False,False,False,False,False
110,False,False,False,False,False
111,False,False,False,False,False
112,True,False,False,False,False
113,True,False,False,False,False
114,,,,,
115,False,False,False,False,False
116,True,False,False,False,False
117,True,False,False,False,False
118,,,,,
119,True,False,False,False,False
120,True,False,False,False,False
121,True,False,False,False,False
122,True,False,False,False,False
123,True,False,False,False,False
124,False,False,False,False,False
125,False,False,False,False,False
126,False,False,False,False,False
127,False,False,False,False,False
128,False,False,False,False,False
129,False,False,False,False,False
130,False,False,False,False,False
131,False,False,False,False,False
132,True,False,False,False,False
133,True,False,False,False,False
134,True,False,False,False,False
135,True,False,False,False,False
136,True,False,False,False,False
137,True,False,False,False,False
138,True,False,False,False,False
139,,,,,
140,True,False,False,False,False
141,True,False,False,False,False
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,True,False,False,False,False
148,True,False,False,False,False
149,False,False,False,False,False
150,True,False,False,False,False
151,False,False,False,False,False
152,True,False,False,False,False
153,True,False,False,False,False
154,True,False,False,False,False
155,True,False,False,False,False
156,,,,,
157,True,False,False,False,False
158,,,,,
159,,,,,
160,True,False,False,False,False
161,True,False,False,False,False
162,True,False,False,False,False
163,,,,,
164,True,False,False,False,False
165,True,False,False,False,False
166,True,False,False,False,False
167,True,False,False,False,False
168,True,False,False,False,False
169,,,,,
170,,,,,
171,,,,,
172,True,False,False,False,False
173,True,False,False,False,False
174,True,False,False,False,False
175,True,False,False,False,False
176,False,False,False,False,False
177,True,False,False,False,False
178,True,False,False,False,False
179,True,False,False,False,False
180,,,,,
181,True,False,False,False,False
182,True,False,False,False,False
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,False,False,True,False,True
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
