,sync,n_gaze_face,a_gaze_face,n_gaze_mask,a_gaze_mask
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,False,True,False,True,False
11,False,True,False,True,False
12,,,,,
13,False,False,False,False,False
14,False,False,False,False,False
15,,,,,
16,False,False,False,False,False
17,False,False,False,False,False
18,False,False,False,False,False
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,False,True,True,True,True
32,False,False,True,False,True
33,False,False,True,False,True
34,False,False,False,False,False
35,False,False,False,False,False
36,False,True,True,True,True
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,False,True,True,True,False
44,False,True,True,True,True
45,False,True,True,True,True
46,False,True,True,True,True
47,False,True,True,True,True
48,False,True,True,True,True
49,False,True,True,True,True
50,False,True,True,True,True
51,False,True,True,True,True
52,False,True,True,True,True
53,False,True,True,True,True
54,False,True,True,True,True
55,False,True,True,True,True
56,False,True,True,True,True
57,False,True,True,True,True
58,False,True,True,True,True
59,False,True,True,True,True
60,False,True,True,True,True
61,False,True,True,True,True
62,False,True,True,True,True
63,False,True,True,True,True
64,False,True,True,True,True
65,False,True,True,True,True
66,False,True,False,True,False
67,,,,,
68,False,True,True,True,True
69,False,True,True,True,True
70,False,True,True,True,True
71,False,True,True,True,True
72,False,True,True,True,True
73,False,True,True,True,True
74,False,True,True,True,True
75,False,True,True,True,True
76,,,,,
77,False,True,True,True,True
78,False,True,True,True,True
79,,,,,
80,False,True,False,True,True
81,False,True,True,True,True
82,False,True,True,True,True
83,False,True,True,True,True
84,False,True,True,True,True
85,False,True,True,True,True
86,False,True,True,True,True
87,False,True,True,True,True
88,,,,,
89,False,True,False,True,False
90,,,,,
91,False,True,True,True,True
92,False,True,False,True,True
93,,,,,
94,,,,,
95,,,,,
96,False,True,True,True,True
97,False,True,True,True,True
98,False,True,True,True,True
99,False,True,True,True,True
100,False,True,True,True,True
101,,,,,
102,,,,,
103,,,,,
104,False,True,True,True,True
105,False,True,True,True,True
106,False,True,True,True,False
107,False,True,True,True,True
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,False,False,False,False,False
117,False,False,False,False,False
118,False,False,False,False,False
119,False,True,True,True,True
120,False,True,False,True,False
121,False,True,False,True,False
122,True,False,False,True,False
123,True,False,False,True,False
124,True,False,False,False,False
125,False,False,False,False,False
126,False,False,False,False,False
127,False,False,False,False,False
128,False,False,False,False,False
129,False,False,False,False,False
130,True,False,False,False,False
131,True,False,False,False,False
132,False,False,False,False,False
133,False,False,False,False,False
134,True,False,False,False,False
135,False,False,False,False,False
136,True,False,False,False,False
