Sujeto,Onset,Offset
Adultx,17732,18812
Adultx,19859,20685
Adultx,21546,21563
Niñx,21563,22744
Niñx,25917,26440
Niñx,29005,31384
Niñx,33038,36312
Niñx,38117,38843
Niñx,38877,39585
Niñx,40260,41172
Niñx,43585,44648
Niñx,45222,46302
Niñx,47078,47432
Niñx,49744,50790
Niñx,53170,56477
Niñx,56646,59751
Niñx,60662,61152
Niñx,61911,64139
Adultx,62873,63160
Adultx,63396,64020
Niñx,64476,68155
Adultx,66670,67682
Niñx,70973,72053
Niñx,78010,82853
Niñx,84490,87831
Niñx,92927,97045
Adultx,95374,96809
Adultx,97602,99171
Niñx,99964,104436
Niñx,104790,107052
Niñx,107609,112958
Adultx,108520,109009
Adultx,113127,113279
Niñx,114747,119522
Adultx,115979,117413
Adultx,118004,118020
Niñx,121699,122222
Niñx,123083,125108
Niñx,127285,129681
Niñx,130305,132651
Adultx,130339,130964
Niñx,133022,135739
Niñx,136279,143350
Niñx,146590,146961
Niñx,148109,151365
Niñx,151787,152699
Adultx,152277,152682
Adultx,152699,153120
Niñx,153863,156968
Adultx,156968,157019
Niñx,157019,157086
Adultx,157086,157170
Niñx,157170,157238
Adultx,157238,157440
Niñx,157964,161153
Niñx,166232,166992
Niñx,170316,171632
Niñx,172763,173067
Niñx,196844,197687
Niñx,198379,199662
Niñx,213128,213280
Niñx,215879,217549
Niñx,226037,226560
Niñx,231690,232669
Niñx,233732,238643
Niñx,238980,240668
Niñx,240837,242035
Niñx,244583,245157
Niñx,246287,247722
Niñx,248498,248565
Niñx,249207,249662
Niñx,256598,257222
Niñx,257931,258944
Adultx,260564,260580
Niñx,260580,260817
Niñx,263213,265322
Niñx,270874,272494
Niñx,273861,274587
Adultx,274587,274755
Adultx,274975,275245
Niñx,275245,280864
Adultx,279227,279700
Adultx,281438,283277
Niñx,286821,286990
Niñx,293723,293774
Niñx,293790,296474
Niñx,296592,300338
Niñx,300642,301232
Niñx,302397,302447
Niñx,302633,303494
Niñx,303899,303966
Niñx,304827,308860
Niñx,308978,309535
Niñx,309771,310530
Niñx,310986,312134
Adultx,311087,311509
Niñx,313770,315559
Niñx,316015,318816
Adultx,316049,316605
Niñx,319845,320892
Niñx,321195,321786
Niñx,322613,324672
Niñx,325127,327051
Niñx,345276,345563
Niñx,345985,347301
Niñx,350676,356380
Niñx,356397,358877
Niñx,361949,362033
Niñx,377710,378554
Niñx,379971,380427
Niñx,382975,384359
Niñx,388290,389455
Niñx,390839,392054
Niñx,396390,399023
Adultx,398145,398753
Niñx,400272,401504
Niñx,402128,404170
Niñx,404946,409097
Niñx,420876,421669
Niñx,425314,426428
Niñx,427035,428385
Niñx,432132,433937
Niñx,433971,434899
Niñx,437616,438932
Niñx,462962,467097
Adultx,464717,465072
Adultx,466000,466067
Adultx,466270,467080
Adultx,467097,467552
Niñx,467890,480765
Adultx,478960,479719
Adultx,480209,480529
Niñx,480934,482149
Adultx,482149,484377
Adultx,484984,488022
Niñx,485085,485288
Niñx,486621,487566
