Sujeto,Onset,Offset
Niñx,74044,76035
Adultx,76035,76373
Niñx,76373,76542
Niñx,77369,77487
Adultx,77487,83730
Adultx,84000,96404
Adultx,96960,100403
Adultx,101719,103407
Adultx,104234,104436
Adultx,104976,104993
Adultx,105449,106191
Adultx,108334,110123
Adultx,110882,115287
Adultx,115877,117025
Adultx,117329,119489
Adultx,120164,125395
Adultx,128213,129563
Adultx,131217,134828
Adultx,134963,135030
Adultx,135098,137309
Adultx,139182,139452
Niñx,141359,141375
Adultx,141375,141831
Adultx,142675,144092
Niñx,144092,144126
Niñx,144210,144632
Adultx,146759,148463
Niñx,148463,149762
Adultx,149762,150775
Niñx,149796,150235
Adultx,151112,152142
Adultx,153728,153829
Adultx,157440,163836
Adultx,164967,165254
Adultx,167650,173084
Adultx,179040,180812
Adultx,182010,182584
Adultx,183090,184795
Adultx,184913,185639
Adultx,187140,191224
Niñx,189368,190853
Adultx,192186,193064
Adultx,198362,200775
Adultx,202581,204032
Adultx,204285,206192
Adultx,206631,207120
Adultx,208335,209837
Adultx,211812,212065
Adultx,215490,216469
Adultx,221970,222477
Adultx,225700,226223
Adultx,226257,227286
Niñx,226611,226965
Niñx,227286,227354
Adultx,228974,233445
Niñx,234407,235589
Niñx,236702,236955
Niñx,241022,242119
Adultx,242119,250455
Niñx,242136,242760
Niñx,250455,251164
Adultx,251164,251265
Niñx,251265,251282
Adultx,254691,256109
Adultx,257661,260175
Adultx,262454,262909
Adultx,264934,265710
Adultx,269102,270419
Adultx,271971,271988
Adultx,272579,274806
Adultx,275228,275717
Adultx,278012,278670
Niñx,290753,291310
Niñx,291327,291344
Adultx,291344,292086
Niñx,292474,296018
Adultx,299663,301705
Adultx,301907,303038
Adultx,303207,303730
Adultx,304084,304725
Niñx,304219,304455
Niñx,304489,304540
Adultx,307830,312505
Adultx,313973,314648
Adultx,315576,316116
Adultx,320318,321803
Adultx,324840,325887
Niñx,325887,325937
Niñx,326140,326680
Adultx,326680,327574
Niñx,326882,327355
Adultx,329093,329835
Adultx,333835,334679
Adultx,334797,335590
Adultx,337750,337885
Adultx,340787,341125
Adultx,350187,350642
Niñx,353224,356869
Niñx,364193,364362
Adultx,370099,372344
Adultx,372833,373778
Adultx,374723,375330
Adultx,376140,377355
Adultx,380899,381726
Adultx,393083,394028
Adultx,395918,396323
Adultx,403225,404575
Adultx,404895,405047
Adultx,405182,407174
Niñx,405537,405908
Adultx,407629,409485
Niñx,409485,409772
Niñx,411021,412945
Niñx,420674,421028
Niñx,422175,422867
Niñx,422969,423036
Niñx,425129,425145
Adultx,425145,426327
Adultx,428115,429482
Adultx,430512,432807
Adultx,433785,434595
Adultx,443067,447134
Adultx,447674,450711
Adultx,451673,452635
Niñx,452213,452264
Niñx,452635,452939
Adultx,453141,456263
Adultx,456381,459300
Adultx,462304,462709
Adultx,463857,465038
Adultx,467519,468025
Adultx,468531,468548
Adultx,469965,470016
Adultx,473070,473087
Adultx,474741,477171
Niñx,478470,478555
Adultx,478555,479297
Adultx,479449,481677
Niñx,479685,481356
Adultx,484697,487802
Adultx,488545,492342
Adultx,493574,495295
Adultx,500526,501454
Adultx,503412,504357
Adultx,505420,506112
Adultx,509588,509790
Adultx,509892,512187
Niñx,511377,512052
Adultx,512980,517182
Niñx,513554,513705
Adultx,517975,519156
Adultx,519494,520034
Adultx,520118,520945
Adultx,521502,525484
Adultx,526598,528319
Adultx,529568,529838
Adultx,532538,532707
Adultx,532960,533618
Niñx,533230,533466
Adultx,534563,536267
Adultx,537195,538140
Adultx,540351,542039
Adultx,542714,543034
Adultx,544215,544418
Niñx,551556,551995
Adultx,553952,555285
Adultx,560483,561141
Adultx,562289,564904
Niñx,573055,573662
Adultx,574270,574844
Adultx,575620,576936
Adultx,582336,584294
Niñx,585019,585188
Adultx,585660,587314
Niñx,588968,589356
Adultx,589356,590453
Niñx,589457,589525
Adultx,597304,597895
Adultx,605387,606585
Adultx,608459,610382
Adultx,612374,614399
Adultx,615141,615664
Adultx,615749,616035
Adultx,616744,616913
Adultx,618179,618195
Niñx,618195,618786
Adultx,619714,619967
Niñx,619967,620035
Adultx,620035,620052
Niñx,620052,620069
Adultx,620069,620085
Niñx,620085,620204
Adultx,620760,620777
Niñx,620777,620811
Adultx,620811,622769
Niñx,621908,622347
Adultx,624270,624338
Adultx,624692,625469
Adultx,625536,626245
Adultx,628506,629299
Adultx,634699,635374
Adultx,640184,641078
Adultx,642512,643964
Niñx,643964,644774
Adultx,644774,644790
