Sujeto,Onset,Offset
Adultx,49322,50369
Adultx,50942,50959
Niñx,50959,52579
Niñx,52950,53828
Niñx,54435,56275
Niñx,59785,70686
Niñx,71226,72930
Niñx,74230,74652
Niñx,75209,76896
Niñx,77605,78263
Niñx,78381,79022
Niñx,79917,80305
Niñx,80490,81486
Niñx,83494,84169
Niñx,84929,86076
Niñx,86211,87527
Niñx,88472,89147
Niñx,89316,90548
Niñx,91020,93906
Niñx,94311,96420
Niñx,97197,97872
Niñx,98310,100217
Niñx,100960,101297
Niñx,101669,103035
Niñx,103069,103187
Niñx,103525,107676
Niñx,108756,112941
Niñx,112975,113025
Niñx,113295,116299
Adultx,115759,116130
Niñx,116822,116839
Adultx,116839,117194
Niñx,117345,118577
Niñx,119438,121125
Adultx,120214,123066
Niñx,122661,123724
Adultx,123539,124349
Niñx,124045,126053
Niñx,126475,151095
Niñx,151163,153087
Niñx,154200,160292
Adultx,154217,154977
Niñx,160309,162908
Niñx,164410,164950
Niñx,165473,166317
Niñx,168207,169371
Niñx,170198,171109
Niñx,172375,172814
Niñx,174197,176087
Niñx,176172,177758
Niñx,179631,179952
Niñx,192962,193620
Niñx,195055,196084
Niñx,198869,199999
Adultx,203374,203526
Niñx,203526,205365
Niñx,206530,209247
Adultx,206715,207289
Niñx,209432,211120
Adultx,209550,210006
Niñx,211322,213719
Niñx,215136,215845
Niñx,221262,221717
Adultx,225464,225919
Niñx,226662,227742
Niñx,237293,241174
Niñx,241647,241866
Niñx,244009,245950
Niñx,246051,246473
Niñx,247097,248346
Niñx,248380,250405
Niñx,250759,251367
Niñx,252042,252599
Niñx,253881,256598
Niñx,260580,260867
Niñx,261981,263145
Niñx,264934,265305
Niñx,266318,266639
Niñx,267735,268562
Niñx,278046,278265
Niñx,279953,282029
Niñx,286905,287530
Niñx,293504,294499
Niñx,297300,299055
Niñx,299207,300473
Niñx,301300,303612
Adultx,302852,302987
Adultx,303392,303460
Niñx,306987,307915
Niñx,308995,309029
Niñx,309045,309366
Niñx,311003,311256
Niñx,312724,313551
Niñx,318917,318951
Adultx,318951,319019
Niñx,319019,319120
Niñx,319778,320234
Niñx,323085,325634
Adultx,326545,326798
Niñx,329684,332400
Niñx,335033,336653
Niñx,339539,340247
Niñx,340332,350524
Niñx,354270,355148
Niñx,357021,358101
Niñx,360295,363704
Niñx,364480,367382
Niñx,368783,370251
Niñx,371095,372090
Niñx,373356,374132
Niñx,375955,378284
Niñx,380325,381287
Niñx,382249,383954
Niñx,384814,387075
Niñx,388797,391379
Niñx,391514,392577
Niñx,393572,396019
Niñx,396441,397268
Niñx,397403,399614
Niñx,399681,400744
Niñx,401504,402246
Niñx,402617,405402
Niñx,405419,405689
Niñx,407005,413384
Adultx,408017,409080
Adultx,410835,411122
Niñx,413805,417990
Adultx,416792,417062
Niñx,420235,422108
Niñx,423525,423947
Niñx,425652,429128
Niñx,430174,431490
Niñx,432199,432554
Niñx,435135,436975
Niñx,437920,439725
Niñx,440755,441396
Niñx,441447,446610
Niñx,449597,454930
Adultx,450424,451065
Adultx,451167,451184
Adultx,452044,452601
Adultx,454019,454221
Niñx,454964,454980
Niñx,455031,459638
Niñx,462254,462827
Niñx,463300,463890
Niñx,464160,465477
Niñx,466405,467215
Niñx,468379,472514
Niñx,473239,482284
Adultx,477829,478437
Adultx,479955,480006
Niñx,483803,485187
Niñx,485355,486469
Niñx,486857,487566
Niñx,487718,488275
Niñx,488579,489321
Niñx,490114,491582
Niñx,492848,493658
Niñx,493759,495430
Niñx,496172,496493
Niñx,498349,504525
Adultx,498872,499277
Adultx,500712,501083
Niñx,506280,507141
Niñx,507479,508272
Niñx,508542,509369
Adultx,509369,509419
Niñx,509537,510094
Adultx,510094,510111
Niñx,510111,510145
Adultx,510145,510195
Niñx,510195,515832
Adultx,510719,511090
Adultx,514482,514735
Adultx,515832,516389
Niñx,516389,516912
Adultx,516912,517030
Niñx,522970,524185
Niñx,524235,525231
Adultx,525231,525282
Niñx,525282,525332
Adultx,525332,525450
Niñx,525450,525501
Niñx,526784,528960
Niñx,530159,534614
Adultx,532589,533871
Adultx,533972,534057
Adultx,534074,534141
Niñx,534816,538512
Niñx,543692,544215
Niñx,546814,547118
Niñx,549379,550257
Niñx,550932,551860
Niñx,551877,551894
Niñx,552704,553564
Niñx,556045,558255
Niñx,558846,560449
Niñx,561107,561698
Niñx,562643,567233
Niñx,567807,568667
Niñx,569258,574759
Niñx,574962,575029
Niñx,575097,575873
Niñx,575974,576025
Niñx,576227,576649
Niñx,582488,582893
Niñx,583973,584564
Niñx,585424,586622
Niñx,589339,591044
Niñx,591432,592394
Niñx,593659,594824
Niñx,598519,598890
Niñx,599616,600629
Niñx,600848,601742
Niñx,601860,602654
Niñx,603261,603852
Niñx,605505,606484
Niñx,607530,608087
Niñx,608526,609893
Niñx,611952,612475
Niñx,614162,619326
Niñx,620389,621452
Niñx,623832,625924
Niñx,627747,628439
Niñx,631611,632016
Niñx,634733,635037
Niñx,637230,638648
Niñx,639576,639829
Niñx,640892,642276
Niñx,651490,652654
Adultx,653380,653447
Niñx,654156,655489
Adultx,655489,655523
Adultx,656080,656586
Adultx,656721,659134
Niñx,656839,657396
Niñx,658139,658223
