Sujeto,Onset,Offset
Niñx,71091,71277
Niñx,71884,71901
Niñx,71969,72728
Niñx,74702,74837
Adultx,75074,75833
Adultx,76238,77031
Niñx,77976,78145
Adultx,79883,80187
Adultx,80963,81081
Adultx,81351,84794
Niñx,85772,87460
Niñx,87527,87561
Niñx,88118,88202
Niñx,88219,88489
Adultx,88489,89181
Adultx,89974,91662
Adultx,97973,99914
Niñx,100015,101669
Niñx,102175,104892
Adultx,104909,106765
Niñx,107204,109684
Adultx,111996,112030
Niñx,112030,112080
Adultx,112975,115675
Adultx,118729,129968
Niñx,121969,121986
Niñx,122020,122054
Niñx,122087,122172
Niñx,124973,125024
Niñx,125969,126036
Niñx,129968,130035
Adultx,141882,142641
Adultx,142725,142962
Adultx,143974,144497
Adultx,146573,147704
Adultx,148345,150336
Adultx,152715,152732
Adultx,152834,153171
Adultx,157069,157575
Adultx,159314,163026
Adultx,163347,163364
Adultx,163414,164393
Adultx,164545,164882
Adultx,166975,167228
Niñx,167093,167160
Niñx,167228,167650
Adultx,167819,168797
Adultx,168882,169050
Adultx,169152,170569
Adultx,171042,175581
Adultx,175868,175885
Niñx,175885,176459
Adultx,176408,177285
Niñx,177218,177269
Niñx,177285,178770
Niñx,179445,180711
Adultx,180576,181656
Adultx,182314,183394
Adultx,184559,184964
Niñx,186972,188035
Adultx,188575,191039
Adultx,194970,195645
Adultx,197569,198514
Adultx,200472,208116
Niñx,202564,203543
Niñx,208335,208487
Niñx,208521,208943
Adultx,210124,221464
Niñx,215811,216554
Niñx,224350,225582
Adultx,225582,226982
Niñx,225615,225987
Adultx,227775,230695
Adultx,231572,232095
Niñx,232956,234458
Adultx,233699,235622
Niñx,235977,236415
Adultx,236415,236500
Adultx,236669,240567
Adultx,240972,243132
Adultx,244870,247469
Adultx,249308,251147
Adultx,253881,260867
Adultx,262437,263027
Adultx,264715,265356
Adultx,265424,265812
Adultx,265964,266031
Adultx,266284,268157
Adultx,268377,270014
Adultx,270098,277540
Niñx,272410,272595
Adultx,277962,278552
Adultx,278603,278620
Adultx,283581,283935
Adultx,286500,286770
Adultx,290787,291158
Adultx,293284,293824
Adultx,301114,302802
Adultx,302970,303443
Adultx,305333,306767
Adultx,306835,307206
Adultx,311914,313011
Adultx,313163,315070
Adultx,316184,316774
Niñx,317365,318158
Adultx,318614,319120
Adultx,320352,321297
Adultx,322292,323085
Adultx,324604,324621
Adultx,324756,325785
Adultx,326089,328199
Niñx,331152,331405
Adultx,331439,333480
Adultx,336619,336636
Adultx,336653,336788
Adultx,336974,337024
Niñx,337952,339235
Adultx,341142,342104
Adultx,342542,342829
Adultx,343774,343791
Adultx,343808,343875
Adultx,343977,344027
Adultx,345040,345681
Niñx,346187,347132
Adultx,347132,347622
Niñx,347166,349090
Adultx,348735,350001
Niñx,351705,351739
Adultx,352313,352347
Adultx,353477,355772
Adultx,358574,359164
Niñx,361341,362607
Adultx,362792,363113
Adultx,365610,366015
Adultx,369475,370335
Adultx,373761,373913
Adultx,373947,374520
Adultx,375955,382941
Adultx,384240,386822
Adultx,386974,390180
Adultx,391345,400035
Niñx,402027,402398
Niñx,404119,406330
Adultx,406330,408692
Adultx,409890,412624
Adultx,419256,420252
Adultx,424200,427390
Niñx,427440,428014
Adultx,428014,428031
Adultx,428166,428841
Niñx,428841,429212
Niñx,430005,431322
Adultx,431558,432165
Niñx,432925,433769
Adultx,433769,433785
Niñx,433785,433920
Niñx,434342,436620
Adultx,436654,438240
Adultx,439979,441362
Adultx,441902,442679
Niñx,445564,446897
Niñx,447623,448332
Niñx,448382,448399
Adultx,448399,449361
Niñx,448467,448534
Niñx,449564,449665
Niñx,449850,450795
Adultx,451065,452399
Niñx,453192,455031
Adultx,455048,457529
Niñx,457967,458609
Adultx,458609,459115
Niñx,459385,462237
Adultx,461882,463199
Niñx,463334,465240
Adultx,465662,468970
Niñx,466810,466827
Niñx,469425,469763
Niñx,469932,471720
Niñx,472851,473779
Adultx,474066,474707
Adultx,474910,474927
Niñx,474927,476024
Adultx,476024,477644
Adultx,478065,479280
Adultx,480411,491464
Niñx,489321,489625
Adultx,493489,494029
Adultx,494130,495312
Niñx,495480,497202
Adultx,497674,502484
Niñx,502484,502905
Adultx,503226,503530
Niñx,506297,508137
Adultx,508019,514954
Adultx,516810,517435
Niñx,523341,525602
Niñx,526109,530327
Niñx,532605,534023
Niñx,534242,534715
Adultx,534715,535829
Adultx,540435,540807
Adultx,542190,542224
Adultx,542410,542849
Adultx,544317,545127
Niñx,546527,547472
Niñx,547725,548451
Adultx,548755,548772
Niñx,548772,549278
Niñx,549734,550257
Niñx,550324,551387
