Sujeto,Onset,Offset
Adultx,7810,8940
Niñx,8940,8974
Adultx,8974,9025
Adultx,9430,10560
Niñx,9784,14374
Adultx,10628,10729
Adultx,12771,13109
Adultx,13379,13581
Niñx,14678,18087
Adultx,16551,16889
Niñx,18542,20922
Niñx,21951,23369
Adultx,22035,22474
Niñx,24077,25410
Niñx,25647,27064
Niñx,27284,27773
Niñx,27975,29140
Niñx,30135,30220
Niñx,30844,32667
Niñx,33510,34540
Niñx,34911,36852
Adultx,37155,38100
Niñx,38100,43298
Adultx,38168,40935
Adultx,41155,41864
Adultx,42184,42370
Niñx,44479,46825
Niñx,49761,50605
Niñx,53474,56207
Adultx,55110,55718
Adultx,55870,56089
Niñx,57827,58435
Niñx,61101,65860
Adultx,65303,65691
Niñx,68121,69792
Niñx,71412,76744
Niñx,77520,81469
Adultx,78702,79478
Adultx,80001,80085
Niñx,86228,96809
Adultx,88371,89080
Adultx,90413,91290
Adultx,91560,91932
Adultx,92910,92995
Niñx,97062,98159
Niñx,100302,100909
Adultx,100352,100673
Niñx,101162,101736
Niñx,103373,108587
Adultx,105600,105972
Niñx,108975,110950
Adultx,109110,109870
Adultx,110089,110325
Niñx,113245,114797
Niñx,119978,120366
Niñx,121699,126053
Niñx,126660,130120
Adultx,129141,129816
Niñx,130845,132145
Niñx,132955,137933
Niñx,138760,144801
Adultx,139485,139604
Niñx,146387,149003
Adultx,147332,148058
Niñx,164680,165608
Niñx,180188,183850
Adultx,181909,182382
Niñx,184660,186314
Niñx,187360,190566
Niñx,190735,194262
Adultx,194262,194684
Adultx,195240,196034
Niñx,197029,197063
Niñx,197181,197569
Niñx,197789,197805
Adultx,197805,198227
Adultx,198734,199037
Niñx,200421,201012
Niñx,202092,202497
Niñx,210951,211542
Niñx,213010,214039
Niñx,231218,232939
Niñx,232956,235065
Niñx,235268,235521
Niñx,235875,236905
Niñx,236972,236989
Niñx,237512,239031
Niñx,239250,245157
Niñx,246119,250624
Niñx,251805,252902
Adultx,252126,252177
Adultx,252194,252227
Adultx,252345,252430
Niñx,259517,260024
Adultx,272967,273760
Niñx,273962,276038
Adultx,274097,274317
Niñx,276848,277152
Niñx,280206,281421
Niñx,281910,282923
Niñx,283952,285859
Niñx,286011,288002
Niñx,290129,294651
Adultx,290196,291360
Adultx,292440,293132
Niñx,295022,299849
Adultx,296372,297064
Niñx,301080,301722
Niñx,302616,310716
Niñx,314783,317213
Adultx,315863,316875
Niñx,318630,320672
Niñx,323474,323895
Niñx,324014,326190
Niñx,331725,332991
Niñx,333666,334122
Niñx,334172,334206
Niñx,334949,335775
Niñx,338543,340585
Niñx,348803,349967
Niñx,354827,357578
Adultx,357224,357325
Niñx,363366,366117
Adultx,364682,365307
Adultx,365509,365948
Niñx,367433,370049
Niñx,370926,374554
Niñx,375516,376090
Adultx,375735,375955
Adultx,376090,376225
Niñx,376917,379482
Niñx,388493,393319
Niñx,409182,410970
Niñx,411375,412945
Adultx,411544,411696
Niñx,413012,413738
Niñx,414345,416050
Niñx,416775,417805
Adultx,416944,417552
Niñx,419037,421399
Niñx,421720,422597
Niñx,422732,422766
Niñx,423762,426023
Niñx,426563,429567
Niñx,430934,431980
Niñx,432773,433195
Niñx,434899,435557
Niñx,436266,437346
Niñx,440097,449192
Adultx,448095,448905
Niñx,449209,450390
Niñx,451639,455588
Adultx,451774,452162
Adultx,453900,454964
Niñx,455909,457275
Niñx,457832,460937
Niñx,469290,471569
Niñx,475079,479399
Niñx,479787,484394
Adultx,481795,482790
Niñx,484748,487853
Adultx,485018,485271
Niñx,488815,490671
Niñx,491447,498062
Adultx,496881,497792
Niñx,499480,499851
Niñx,501859,502619
Niñx,503192,505724
Niñx,506753,509149
Niñx,509267,509369
Niñx,510600,510617
Niñx,510634,510668
Niñx,511461,511866
Niñx,513216,513773
Niñx,514718,519173
Niñx,537077,539187
Niñx,539474,541431
Niñx,541937,542849
Niñx,544030,544992
Niñx,546021,555404
Adultx,546409,546747
Niñx,555825,558745
Adultx,557159,557918
Niñx,558812,563537
Adultx,559032,559977
Niñx,563554,563824
Niñx,568785,572262
Niñx,577949,580092
Niñx,580733,586521
Niñx,587162,588023
Niñx,588580,589626
Niñx,594452,596342
Niñx,596579,597338
Niñx,597355,599144
Adultx,598806,598823
Niñx,599835,603936
Adultx,602890,603143
Niñx,604864,605539
Niñx,606872,607362
Niñx,608543,609454
Niñx,610163,610686
Niñx,612593,613251
Niñx,616710,616913
Niñx,623039,623106
Niñx,623123,625266
Niñx,628371,630936
Adultx,629974,630666
Niñx,631594,632775
Niñx,632894,640065
Adultx,640065,643356
Niñx,641230,642512
Adultx,643575,644385
