ID,P1,P1L,P2,P2L,Defasaje P2,IZQ,Setup,Sexo presumido del adulto,Comentarios,fases,dup,expresiones niñx,miradas niño,expresiones adulto,miradas adulto,transcripciones,misc,expresiones niñx,miradas niño,expresiones adulto,miradas adulto
C3A02,A,985.550,N,940.510,34.384,N,A2,F,izoom,1,1,yo,yo,MLL,MLL,ML,,AC,AC,JCP,JCP
C3A03,N,472.667,A,449.533,11.195,A,A1,F,,1,,AC,AC,MG,MG,AB,,,,,
C3A04,A,681.533,N,681.467,-5.906,A,A2,F,izoom,1,,JCP,JCP,ML,ML,,,,,,
C3A05,N,574.567,A,564.833,18.552,A,A1,F,,1,,,,,,,,,,,
C3A06,N,"1,057.067",A,"1,057.067",-35.652,A,A1,M,,1,,,,,,,,,,,
C3A07,N,"1,640.556",A,"1,619.535",13.013,N,A3,F,x2sin zoom a2        13:52 entra 7n,1,,ML,ML,,,,,,,,
C3A08,N,"1,640.556",A,"1,619.535",13.013,N,A3,F,"Están mesclados 11:18 sale 8n
usar mp4 del a07",1,,,,,,,,,,,
C3A09,N,914.067,A,912.600,11.495,A,A3,F,,1,,,,,,,,,,,
C3A10,N,678.700,A,633.167,53.837,A,A1,F,,1,,,,,,,,,,,
C3B01,A,516.367,N,510.267,-3.903,N,B2,F,El padre está presente e interviene gran parte del video,1,,,,,,,,,,,
C3B03,A,516.233,N,497.533,23.673,A,B1,M,,1,,,,,,,,,,,
C3B04,,544.677,,,0.000,A,B3,F,"cámara única
se corta antes del final",1,,MG,MG,JCP,JCP,,,,,,
C3B05,N,581.067,A,544.700,45.946,A,B1,F,,1,,,,,,,,,,,
C3B06,N,"1,058.067",A,"1,058.067",14.915,N,B2,F,,1,,,,,,,,,,,
C3B07,A,449.467,N,447.133,12.163,N,B1,M,,1,,,,,,,,,,,
C3B08,A,917.433,N,916.567,-11.378,A,B1,M,La madre está presente buena parte del principio,1,,,,,,,,,,,
C3B09,N,493.533,A,474.900,2.853,A,B1,F,,1,,AC,AC,MG,MG,,,,,,
C3B10,A,"1,025.333",N,"1,019.933",-3.337,A,B2,F,,1,,,,,,,,,,,
C3B11,A,968.333,N,946.333,17.384,A,B1,M,,1,,,,,,,,,,,
C3B12,N,782.498,A,778.911,3.789,A,B2,M,,1,1,AG,AG,MG,MG,,,JCP,,JCP,JCP
C3B13,N,"1,139.733",A,"1,134.227",9.810,A,B2,M,"x2
el nene come hasta el min 5",1,,,,,,,,,,,
C3B14,N,483.100,A,464.633,15.448,A,B2,F,,1,,AC,AC,MLL,MLL,,,,,,
C3B15,A,787.800,N,785.600,-3.019,A,B1,F,,1,,,,,,,,,,,
C3C01,N,672.167,A,672.000,-3.687,N,C1,F,portugués,1,,,,,,,,,,,
C3C02,N,"1,002.967",A,"1,002.567",-4.214,N,C1,M,,1,,JCP,JCP,AC,AC,,,,,,
C3C03,N,247.633,A,240.600,12.229,A,C1,M,tiene gorra el nene,1,,,,,,,,,,,
C3C04,A,958.567,N,957.400,-2.802,A,C1,F,,1,,ABA,ABA,AC,AC,,,,,,
C3C05,N,785.284,A,774.257,6.991,A,C2,F,el 10015 es el A ta mal etiquetado,1,,,,,,,,,,,
C3C06,A,"1,159.575",N,"1,156.789",-1.936,N,C2,F,x2,1,,,,,,,,,,,
C3C08,A,655.533,N,653.067,7.474,A,C2,F,,1,,,,,,,,,,,
C3C09,N,572.033,A,564.367,2.953,N,C1,F,,1,,,,,,,,,,,
C3C10,A,"1,057.067",N,"1,057.067",-2.536,A,C2,F,"x2 omitir 2
el padre está presente toda la filmación e interviene constantemente",1,,,,,,,,,,,
C3C11,N,"1,102.012",A,"1,090.801",2.219,N,C1,F,x2 ,1,,,,,,,,,,,
C3C12,A,460.200,N,459.100,-2.603,A,C1,M,Hay un bebé dando vueltas,1,,,,,,,,,,,
C3C13,A,540.900,N,539.967,-3.804,N,C2,F,,1,,,,,,,,,,,
C3C14,A,464.700,N,457.700,11.479,N,C1,F,Pibe encapuchado,1,,,,,,,,,,,
C3C15,N,508.500,A,501.167,2.269,N,C1,F,,1,,,,,,,,,,,
C3C16,A,760.233,N,759.567,4.721,A,C2,F,,1,,,,,,,,,,,
C3C17,N,599.900,A,599.300,-2.986,N,C1,F,,1,,,,,,,,,,,
C3D01,N,361.467,A,356.567,1.151,N,D1,F,,1,,,,,,,,,,,
C3D02,A,690.667,N,682.800,3.470,A,D1,M,,1,,ABA,ABA,CM,CM,,,,,,
C3D03,A,"1,317.477",N,"1,316.376",-2.870,N,D2,M,x2,1,,,,,,,,,,,
C3D04,A,"1,085.846",N,"1,084.711",-2.152,A,D1,M,x2,1,,AG,AG,ABA,ABA,,,,,,
C3D05,A,382.867,N,380.533,-2.586,N,D2,F,,1,,JCP,JCP,ML,ML,,,,,,
C3D06,N,,A,,18.719,A,D2,F,"x2 el ppt lo grabaron en otro video
def 2 -1.418
Lo dividí en 2 .boris",1,,AC,AC,AC,AC,,,,,,
C3D07,A,493.500,N,488.400,2.052,A,D1,F, ,1,1,AC,AC,MG,MG,,,JCP,,JCP,JCP
C3D08,N,529.067,A,528.100,-1.435,N,D1,F,,1,,MG,MG,MLL,MLL,,,,,,
C3D09,A,785.167,N,782.800,-1.535,A,D1,M,,1,,,,,,,,,,,
C3D10,N,625.600,A,624.167,-1.919,A,D2,M,,1,,,,,,,,,,,
C3D11,A,414.200,N,407.567,2.736,A,D1,F,,1,,CM,CM,AC,AC,,,,,,
C3D12,N,866.033,A,864.067,-2.019,N,D1,F,,1,,PV,LL,ABA,ABA,,,,,,
C3D13,N,768.500,A,763.200,2.370,A,D2,F,,1,,ML,ML,AC,AC,,,,,,
C3E01,A,705.200,N,704.867,-3.204,A,E2,M,,1,,AC,AC,ABA,ABA,ML,,,,,
C3E02,A,350.933,N,348.000,-3.400,A,E2,F,,1,,,,,,,,,,,
C3E03,A,620.100,N,618.633,-3.020,A,E2,F,,1,,FM,FM,JCP,JCP,,,,,,
C3E04,N,521.633,A,521.067,-2.052,N,E2,F,,1,,MG,MG,CM,CM,,,,,,
C3E05,A,781.080,N,780.230,-2.869,A,E1,M,,1,,SR,SR,CM,CM,,,,,,
C3E06,N,367.733,A,365.967,-2.002,N,E1,F,,1,,ML,ML,CM,CM,,,,,,
C3E07,N,"1,102.401",A,"1,094.477",10.911,A,E2,M,x2,1,,,,,,,,,,,
C3E08,N,"1,037.467",A,"1,035.100",-2.636,N,E1,F,,1,,JCP,JCP,JCP,JCP,,,,,,
C3E09,N,516.333,A,513.067,0.033,N,E1,F,,1,,AIB,LL,,,,,,,,
C3E10,N,535.467,A,530.433,8.392,A,E2,F,,1,,MG,MG,SR,,,,,,,
C3F01,A,667.000,N,660.900,9.493,N,F1,F,Nena con barbijo,1,,NA (barbijo),ABA,JCP,JCP,,,,,,
C3F02,A,"1,340.823",N,"1,339,188.000",-1.518,A,F2,F,"x2
abuela de fondo 
evaluar si excluir in y da",1,,MG,MG,SR,SR,,,,,,
C3F03,N,"1,375.074",A,"1,370.252",8.075,A,F1,F,"x2 a2 es n2, n1 no procesado",1,,,,,,,,,,,
C3F04,A,495.267,N,493.833,-1.434,A,F2,M,,1,,,,,,,,,,,
C3F05,A,515.467,N,507.500,3.186,A,F1,F,,1,,,,,,,,,,,
C3F06,N,"1,065.281",A,"1,062.445",0.868,N,F1,M,x2,1,,,,,,,,,,,
C3F07,N,961.833,A,961.067,-2.035,N,F2,F,,1,,JCP,JCP,ABA,ABA,,,,,,
C3F08,N,586.570,A,586.420,3.070,N,F2,F,,1,,AC,AC,CM,CM,,,,,,
C3F09,A,446.663,,,0.000,N,F2,F,x1 A me fallaron con la del nene,1,,JCP,JCP,,,,,,,,
C3F10,A,715.767,N,714.967,4.838,A,F1,M,,1,,,,,,,,,,,
C3F11,A,"1,001.370",N,990.540,13.464,N,F1,M,,1,,,,,,,,,,,
C3F12,A,726.100,N,717.567,11.278,N,F2,F,N1 es del F13,1,,MG,MG,AC,AC,,,,,,
C3F13,N,"2,046.494",A,"2,034.933",8.091,A,F2,F,"x2 f12_n1 es 13_n1
dura mil años
dejan ppt para el final",1,,,,,,,,,,,
C3F14,N,"1,076.409",A,"1,070.636",8.658,A,F1,M,x2,1,,AC,AC,ABA,,,,,,,
C3F16,N,679.033,A,674.067,1.702,N,F1,M,,1,,,,,,,,,,,
C3F17,N,977.360,A,972.121,1.969,N,F1,F,A es 10048,1,,,,,,,,,,,
C3F18,N,784.967,A,777.567,3.036,N,F1,F,,1,,,,,,,,,,,
C3F19,A,661.600,N,656.667,3.204,N,F2,M,,1,,JCP,JCP,MG,MG,,,,,,
C3F20,N,417.500,A,410.000,4.721,N,F2,F,,1,,LL,LL,JCP,JCP,,,,,,
