"ID","tc_total","tc_ppt","tc_av","tc_pal"
"C3A02",243,12,133,97
"C3A03",116,78,37,NA
"C3A04",92,8,36,48
"C3A07",72,19,24,28
"C3B04",81,8,27,44
"C3B09",164,18,54,90
"C3B12",153,11,41,100
"C3B14",53,10,11,31
"C3C02",56,2,15,38
"C3C04",192,20,53,119
"C3D02",113,17,20,76
"C3D04",58,1,11,45
"C3D05",42,10,32,NA
"C3D06",72,NA,27,45
"C3D07",94,13,27,54
"C3D08",116,6,41,69
"C3D11",53,8,24,21
"C3D12",143,19,55,69
"C3D13",84,13,27,44
"C3E01",125,24,35,65
"C3E03",109,13,38,58
"C3E04",78,14,31,33
"C3E05",205,22,45,137
"C3E06",27,2,25,NA
"C3E08",189,15,67,107
"C3E09",155,13,49,93
"C3E10",82,33,20,27
"C3F01",86,26,27,31
"C3F02",201,17,60,124
"C3F07",188,16,56,115
"C3F08",90,32,37,20
"C3F09",54,2,17,34
"C3F12",135,37,26,71
"C3F14",164,21,49,93
"C3F19",68,3,27,38
"C3F20",53,22,23,7
"C3F21",182,10,60,111
"C3G01",68,18,14,35
"C3G02",82,19,31,32
"C3G04",64,0,17,46
"C3G05",72,5,24,42
"C3G07",76,16,15,44
"C3G08",79,NA,29,50
"C3G10",207,8,106,91
"C3G11",4,0,0,4
"C3H01",179,23,43,112
"C3H03",79,19,21,37
"C3H05",13,0,5,8
"C3H06",18,4,7,7
"C3H07",92,26,38,28
"C3H08",34,10,9,15
"C3H13",274,18,111,144
"C3H14",96,13,27,55
"C3H15",107,21,32,54
"C3H16",56,3,13,38
"C3I02",71,7,14,50
"C3I03",64,30,4,29
"C3I04",113,16,42,54
"C3I05",187,19,74,93
"C3I06",41,18,21,2
"C3I07",91,2,32,56
"C3I09",62,26,35,NA
"C3I10",65,7,18,40
"C3I11",99,10,52,35
"C3I12",117,32,37,48
"C3I14",80,14,27,39
"C3I16",86,17,26,41
"C3I18",67,22,12,32
"C3I20",88,8,26,53
