"ID","Informante","Años_previos_de_escolaridad","Usa_dispositivos_electrónicos_cotidianamente","Libros_en_el_hogar","Frecuencia_de_lectura_compartida","Materiales_didácticos_en_el_hogar","Acceso_a_vestimenta","Hace_deporte","Vida_social","Calidad_de_sueño","Edad_de_la_madre","Edad_del_padre","Educación_de_la_madre","Educación_del_padre","Composición_del_hogar","Hogar_biparental","Cohabitantes","Son_inmigrantes","Mudanzas_desde_el_nacimiento","Madre_trabaja_en_blanco","Padre_trabaja_en_blanco","Madre_estabilidad_laboral","Padre_estabilidad_laboral","Barrio_tranquilo","Percepción_de_ingresos","Percepción_de_recursos","Percepción_de_calma"
"AA101","Madre",3,1,2,2,3,2,0,4,2,26,NA,3,NA,"Monoparental",0,2,0,0,0,NA,0,NA,2,1,1,3
"AA104","Madre",1,1,2,1,3,3,0,6,1,28,NA,9,NA,"Monoparental",0,4,1,3,1,NA,1,NA,2,1,3,0
"AA105","Madre",2,1,2,0,3,3,0,6,0,43,41,5,10,"Biparental",1,3,0,0,1,1,1,1,3,2,2,1
"AA108","Madre",4,1,1,1,3,3,1,7,1,32,31,11,8,"Monoparental",0,3,1,1,0,0,0,NA,3,1,3,2
"AA203","Padre",5,0,2,3,3,3,0,6,1,36,36,11,11,"Tenencia compartida",0,3,0,2,1,1,1,1,3,3,3,2
"AA204","Madre",4,1,2,3,3,3,0,6,0,40,45,10,9,"Biparental",1,2,0,0,1,1,1,0,3,2,3,1
"AA301","Madre",2,1,1,NA,3,3,1,5,1,30,34,11,13,"Biparental",1,4,0,4,1,1,1,0,3,2,4,3
"AA302","Madre",4,0,3,3,3,3,0,7,0,47,50,14,9,"Tenencia compartida",0,3,0,0,1,1,1,1,1,3,4,1
"AA303","Madre",NA,0,2,2,3,3,0,3,2,36,39,3,5,"Biparental",1,4,0,1,0,NA,NA,NA,2,3,3,2
"AA304","Madre",3,0,0,0,2,3,0,4,0,33,36,5,8,"Biparental",1,4,0,3,1,1,1,1,3,2,2,0
"AA305","Madre",3,1,1,1,3,3,0,4,0,41,NA,3,NA,"Monoparental",0,3,0,4,0,NA,1,NA,2,2,3,2
"AA306","Madre",2,1,2,0,3,3,1,4,0,37,39,8,11,"Biparental",1,3,0,1,1,0,1,0,3,2,3,1
"AA307","Madre",5,1,1,1,3,3,1,5,2,37,35,9,5,"Monoparental",0,2,0,0,1,0,1,1,2,2,3,1
"AA308","Madre",2,1,2,NA,2,2,0,4,1,37,41,5,3,"Biparental",1,4,0,2,1,1,1,0,3,2,3,1
"AA309","Madre",2,1,1,2,3,3,0,4,0,49,52,5,2,"Biparental",1,4,0,1,NA,1,NA,1,4,NA,2,1
"AA402","Padre",3,1,2,3,3,3,1,5,0,28,36,3,5,"Biparental",1,4,0,1,0,1,0,0,2,2,3,1
"AA403","Madre",3,1,2,3,3,3,0,6,1,45,38,11,14,"Biparental",1,4,0,0,0,1,0,0,3,2,3,1
"AA404","Madre",0,1,1,1,3,3,1,5,1,30,26,5,3,"Monoparental",0,3,0,1,0,0,1,1,3,3,3,1
"AA405","Madre",5,0,2,3,3,3,1,6,1,47,50,14,5,"Tenencia compartida",0,3,0,0,1,1,1,1,1,3,4,0
"AA406","Madre",2,1,2,2,3,3,0,6,0,35,39,10,11,"Biparental",1,3,0,0,0,1,0,1,3,2,3,1
"AA407","Madre",2,1,2,3,3,3,0,6,1,48,49,11,8,"Biparental",1,3,0,0,NA,1,1,1,2,1,3,1
"AA408","Madre",3,1,3,3,3,3,1,6,1,40,43,9,6,"Biparental",1,4,0,4,NA,NA,1,1,3,2,4,2
"AA409","Madre",4,1,2,2,2,3,1,4,2,43,40,8,11,"Biparental",1,5,0,0,1,1,0,1,3,2,3,2
